# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Carp::Heavy;
0.000000,0,0.000000,
0.000125,2,0.000063,use Carp ();
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '1.52';
0.000001,1,0.000001,$VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.000000,0,0.000000,# Carp::Heavy was merged into Carp in version 1.12.  Any mismatched versions
0.000000,0,0.000000,# after this point are not significant and can be ignored.
0.000001,1,0.000001,if(($Carp::VERSION || 0) < 1.12) {
0.000000,0,0.000000,my $cv = defined($Carp::VERSION) ? $Carp::VERSION : "undef";
0.000000,0,0.000000,die "Version mismatch between Carp $cv ($INC{q(Carp.pm)}) and Carp::Heavy $VERSION ($INC{q(Carp/Heavy.pm)}).  Did you alter \@INC after Carp was loaded?\n";
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000005,1,0.000005,1;
0.000000,0,0.000000,
0.000000,0,0.000000,# Most of the machinery of Carp used to be here.
0.000000,0,0.000000,# It has been moved in Carp.pm now, but this placeholder remains for
0.000000,0,0.000000,# the benefit of modules that like to preload Carp::Heavy directly.
0.000000,0,0.000000,# This must load Carp, because some modules rely on the historical
0.000000,0,0.000000,# behaviour of Carp::Heavy loading Carp.
