# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,# This file was created by configpm when Perl was built. Any changes
0.000000,0,0.000000,# made to this file will be lost the next time perl is built.
0.000000,0,0.000000,
0.000000,0,0.000000,# for a description of the variables, please have a look at the
0.000000,0,0.000000,# Glossary file, as written in the Porting folder, or use the url:
0.000000,0,0.000000,# https://github.com/Perl/perl5/blob/blead/Porting/Glossary
0.000000,0,0.000000,
0.000000,0,0.000000,package Config;
0.000021,2,0.000011,use strict;
0.000107,2,0.000053,use warnings;
0.000000,0,0.000000,our ( %Config, $VERSION );
0.000000,0,0.000000,
0.000001,1,0.000001,$VERSION = "5.036000";
0.000000,0,0.000000,
0.000000,0,0.000000,# Skip @Config::EXPORT because it only contains %Config, which we special
0.000000,0,0.000000,# case below as it's not a function. @Config::EXPORT won't change in the
0.000000,0,0.000000,# lifetime of Perl 5.
0.000002,1,0.000002,my %Export_Cache = (myconfig => 1, config_sh => 1, config_vars => 1,
0.000000,0,0.000000,config_re => 1, compile_date => 1, local_patches => 1,
0.000000,0,0.000000,bincompat_options => 1, non_bincompat_options => 1,
0.000000,0,0.000000,header_files => 1);
0.000000,0,0.000000,
0.000001,1,0.000001,@Config::EXPORT = qw(%Config);
0.000001,1,0.000001,@Config::EXPORT_OK = keys %Export_Cache;
0.000000,0,0.000000,
0.000000,0,0.000000,# Need to stub all the functions to make code such as print Config::config_sh
0.000000,0,0.000000,# keep working
0.000000,0,0.000000,
0.000000,0,0.000000,sub bincompat_options;
0.000000,0,0.000000,sub compile_date;
0.000000,0,0.000000,sub config_re;
0.000000,0,0.000000,sub config_sh;
0.000000,0,0.000000,sub config_vars;
0.000000,0,0.000000,sub header_files;
0.000000,0,0.000000,sub local_patches;
0.000000,0,0.000000,sub myconfig;
0.000000,0,0.000000,sub non_bincompat_options;
0.000000,0,0.000000,
0.000000,0,0.000000,# Define our own import method to avoid pulling in the full Exporter:
0.000000,0,0.000000,sub import {
0.000002,2,0.000001,shift;
0.000003,2,0.000002,@_ = @Config::EXPORT unless @_;
0.000000,0,0.000000,
0.000004,2,0.000002,my @funcs = grep $_ ne '%Config', @_;
0.000002,2,0.000001,my $export_Config = @funcs < @_ ? 1 : 0;
0.000000,0,0.000000,
0.000265,2,0.000132,no strict 'refs';
0.000002,2,0.000001,my $callpkg = caller(0);
0.000001,2,0.000000,foreach my $func (@funcs) {
0.000000,0,0.000000,die qq{"$func" is not exported by the Config module\n}
0.000000,0,0.000000,unless $Export_Cache{$func};
0.000000,0,0.000000,*{$callpkg.'::'.$func} = \&{$func};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000006,2,0.000003,*{"$callpkg\::Config"} = \%Config if $export_Config;
0.000010,2,0.000005,return;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000023,1,0.000023,die "$0: Perl lib version (5.36.0) doesn't match executable '$^X' version ($])"
0.000000,0,0.000000,unless $^V;
0.000000,0,0.000000,
0.000005,1,0.000005,$^V eq 5.36.0
0.000000,0,0.000000,or die sprintf "%s: Perl lib version (5.36.0) doesn't match executable '$^X' version (%vd)", $0, $^V;
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,sub FETCH {
0.000002,2,0.000001,my($self, $key) = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,# check for cached value (which may be undef so we use exists not defined)
