# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,######################################################################
0.000000,0,0.000000,# WARNING: 'lib/Config_git.pl' is generated by make_patchnum.pl
0.000000,0,0.000000,#          DO NOT EDIT DIRECTLY - edit make_patchnum.pl instead
0.000000,0,0.000000,######################################################################
0.000009,1,0.000009,$Config::Git_Data=<<'ENDOFGIT';
0.000000,0,0.000000,git_commit_id=''
0.000000,0,0.000000,git_describe=''
0.000000,0,0.000000,git_branch=''
0.000000,0,0.000000,git_uncommitted_changes=''
0.000000,0,0.000000,git_commit_id_title=''
0.000000,0,0.000000,
0.000000,0,0.000000,ENDOFGIT
