# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Digest::MD5;
0.000000,0,0.000000,
0.000027,2,0.000013,use strict;
0.000162,2,0.000081,use warnings;
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '2.58';
0.000000,0,0.000000,
0.000000,1,0.000000,require Exporter;
0.000002,1,0.000002,*import = \&Exporter::import;
0.000001,1,0.000001,our @EXPORT_OK = qw(md5 md5_hex md5_base64);
0.000000,0,0.000000,
0.000000,0,0.000000,our @ISA;
0.000000,1,0.000000,eval {
0.000134,1,0.000134,require Digest::base;
0.000008,1,0.000008,@ISA = qw/Digest::base/;
0.000000,0,0.000000,};
0.000001,1,0.000001,if ($@) {
0.000000,0,0.000000,my $err = $@;
0.000000,0,0.000000,*add_bits = sub { die $err };
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,1,0.000000,eval {
0.000001,1,0.000001,require XSLoader;
0.000562,1,0.000562,XSLoader::load('Digest::MD5', $VERSION);
0.000000,0,0.000000,};
0.000001,1,0.000001,if ($@) {
0.000000,0,0.000000,my $olderr = $@;
0.000000,0,0.000000,eval {
0.000000,0,0.000000,# Try to load the pure perl version
0.000000,0,0.000000,require Digest::Perl::MD5;
0.000000,0,0.000000,
0.000000,0,0.000000,Digest::Perl::MD5->import(qw(md5 md5_hex md5_base64));
0.000000,0,0.000000,unshift(@ISA, "Digest::Perl::MD5");  # make OO interface work
0.000000,0,0.000000,};
0.000000,0,0.000000,if ($@) {
0.000000,0,0.000000,# restore the original error
0.000000,0,0.000000,die $olderr;
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000001,1,0.000001,*reset = \&new;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000010,1,0.000010,1;
0.000000,0,0.000000,__END__
