# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Encode::MIME::Name;
0.000026,2,0.000013,use strict;
0.000273,2,0.000137,use warnings;
0.000014,3,0.000005,our $VERSION = do { my @r = ( q$Revision: 1.3 $ =~ /\d+/g ); sprintf "%d." . "%02d" x $#r, @r };
0.000000,0,0.000000,
0.000000,0,0.000000,# NOTE: This table must be 1:1 mapping
0.000045,1,0.000045,our %MIME_NAME_OF = (
0.000000,0,0.000000,'AdobeStandardEncoding' => 'Adobe-Standard-Encoding',
0.000000,0,0.000000,'AdobeSymbol'           => 'Adobe-Symbol-Encoding',
0.000000,0,0.000000,'ascii'                 => 'US-ASCII',
0.000000,0,0.000000,'big5-hkscs'            => 'Big5-HKSCS',
0.000000,0,0.000000,'cp1026'                => 'IBM1026',
0.000000,0,0.000000,'cp1047'                => 'IBM1047',
0.000000,0,0.000000,'cp1250'                => 'windows-1250',
0.000000,0,0.000000,'cp1251'                => 'windows-1251',
0.000000,0,0.000000,'cp1252'                => 'windows-1252',
0.000000,0,0.000000,'cp1253'                => 'windows-1253',
0.000000,0,0.000000,'cp1254'                => 'windows-1254',
0.000000,0,0.000000,'cp1255'                => 'windows-1255',
0.000000,0,0.000000,'cp1256'                => 'windows-1256',
0.000000,0,0.000000,'cp1257'                => 'windows-1257',
0.000000,0,0.000000,'cp1258'                => 'windows-1258',
0.000000,0,0.000000,'cp37'                  => 'IBM037',
0.000000,0,0.000000,'cp424'                 => 'IBM424',
0.000000,0,0.000000,'cp437'                 => 'IBM437',
0.000000,0,0.000000,'cp500'                 => 'IBM500',
0.000000,0,0.000000,'cp775'                 => 'IBM775',
0.000000,0,0.000000,'cp850'                 => 'IBM850',
0.000000,0,0.000000,'cp852'                 => 'IBM852',
0.000000,0,0.000000,'cp855'                 => 'IBM855',
0.000000,0,0.000000,'cp857'                 => 'IBM857',
0.000000,0,0.000000,'cp860'                 => 'IBM860',
0.000000,0,0.000000,'cp861'                 => 'IBM861',
0.000000,0,0.000000,'cp862'                 => 'IBM862',
0.000000,0,0.000000,'cp863'                 => 'IBM863',
0.000000,0,0.000000,'cp864'                 => 'IBM864',
0.000000,0,0.000000,'cp865'                 => 'IBM865',
0.000000,0,0.000000,'cp866'                 => 'IBM866',
0.000000,0,0.000000,'cp869'                 => 'IBM869',
0.000000,0,0.000000,'cp936'                 => 'GBK',
0.000000,0,0.000000,'euc-cn'                => 'EUC-CN',
0.000000,0,0.000000,'euc-jp'                => 'EUC-JP',
0.000000,0,0.000000,'euc-kr'                => 'EUC-KR',
0.000000,0,0.000000,#'gb2312-raw'            => 'GB2312', # no, you're wrong, I18N::Charset
0.000000,0,0.000000,'hp-roman8'             => 'hp-roman8',
0.000000,0,0.000000,'hz'                    => 'HZ-GB-2312',
0.000000,0,0.000000,'iso-2022-jp'           => 'ISO-2022-JP',
