# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,=head1 NAME
0.000000,0,0.000000,
0.000000,0,0.000000,File::Basename - Parse file paths into directory, filename and suffix.
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 SYNOPSIS
0.000000,0,0.000000,
0.000000,0,0.000000,use File::Basename;
0.000000,0,0.000000,
0.000000,0,0.000000,($name,$path,$suffix) = fileparse($fullname,@suffixlist);
0.000000,0,0.000000,$name = fileparse($fullname,@suffixlist);
0.000000,0,0.000000,
0.000000,0,0.000000,$basename = basename($fullname,@suffixlist);
0.000000,0,0.000000,$dirname  = dirname($fullname);
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 DESCRIPTION
0.000000,0,0.000000,
0.000000,0,0.000000,These routines allow you to parse file paths into their directory, filename
0.000000,0,0.000000,and suffix.
0.000000,0,0.000000,
0.000000,0,0.000000,B<NOTE>: C<dirname()> and C<basename()> emulate the behaviours, and
0.000000,0,0.000000,quirks, of the shell and C functions of the same name.  See each
0.000000,0,0.000000,function's documentation for details.  If your concern is just parsing
0.000000,0,0.000000,paths it is safer to use L<File::Spec>'s C<splitpath()> and
0.000000,0,0.000000,C<splitdir()> methods.
0.000000,0,0.000000,
0.000000,0,0.000000,It is guaranteed that
0.000000,0,0.000000,
0.000000,0,0.000000,# Where $path_separator is / for Unix, \ for Windows, etc...
0.000000,0,0.000000,dirname($path) . $path_separator . basename($path);
0.000000,0,0.000000,
0.000000,0,0.000000,is equivalent to the original path for all systems but VMS.
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,=cut
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,package File::Basename;
0.000000,0,0.000000,
0.000000,0,0.000000,# File::Basename is used during the Perl build, when the re extension may
0.000000,0,0.000000,# not be available, but we only actually need it if running under tainting.
0.000000,0,0.000000,BEGIN {
0.000004,1,0.000004,if (${^TAINT}) {
0.000000,0,0.000000,require re;
0.000000,0,0.000000,re->import('taint');
0.000000,0,0.000000,}
0.000012,1,0.000012,}
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000016,2,0.000008,use strict;
0.000023,2,0.000012,use 5.006;
0.000755,2,0.000377,use warnings;
0.000000,0,0.000000,our(@ISA, @EXPORT, $VERSION, $Fileparse_fstype, $Fileparse_igncase);
0.000000,1,0.000000,require Exporter;
0.000006,1,0.000006,@ISA = qw(Exporter);
0.000000,1,0.000000,@EXPORT = qw(fileparse fileparse_set_fstype basename dirname);
0.000000,1,0.000000,$VERSION = "2.85";
0.000000,0,0.000000,
0.000001,1,0.000001,fileparse_set_fstype($^O);
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,=over 4
0.000000,0,0.000000,
0.000000,0,0.000000,=item C<fileparse>
0.000000,0,0.000000,X<fileparse>
0.000000,0,0.000000,
0.000000,0,0.000000,my($filename, $dirs, $suffix) = fileparse($path);
0.000000,0,0.000000,my($filename, $dirs, $suffix) = fileparse($path, @suffixes);
