# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,
0.000000,0,0.000000,package IO::Compress::Base ;
0.000000,0,0.000000,
0.000012,1,0.000012,require 5.006 ;
0.000000,0,0.000000,
0.000069,2,0.000034,use strict ;
0.000025,2,0.000012,use warnings;
0.000000,0,0.000000,
0.000575,3,0.000192,use IO::Compress::Base::Common 2.106 ;
0.000000,0,0.000000,
0.000356,2,0.000178,use IO::File (); ;
0.000030,2,0.000015,use Scalar::Util ();
0.000000,0,0.000000,
0.000000,0,0.000000,#use File::Glob;
0.000000,0,0.000000,#require Exporter ;
0.000015,2,0.000008,use Carp() ;
0.001016,2,0.000508,use Symbol();
0.000000,0,0.000000,#use bytes;
0.000000,0,0.000000,
0.000000,0,0.000000,our (@ISA, $VERSION);
0.000012,1,0.000012,@ISA    = qw(IO::File Exporter);
0.000000,0,0.000000,
0.000001,1,0.000001,$VERSION = '2.106';
0.000000,0,0.000000,
0.000000,0,0.000000,#Can't locate object method "SWASHNEW" via package "utf8" (perhaps you forgot to load "utf8"?) at .../ext/Compress-Zlib/Gzip/blib/lib/Compress/Zlib/Common.pm line 16.
0.000000,0,0.000000,
0.000000,0,0.000000,sub saveStatus
0.000000,0,0.000000,{
0.000000,0,0.000000,my $self   = shift ;
0.000000,0,0.000000,${ *$self->{ErrorNo} } = shift() + 0 ;
0.000000,0,0.000000,${ *$self->{Error} } = '' ;
0.000000,0,0.000000,
0.000000,0,0.000000,return ${ *$self->{ErrorNo} } ;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,sub saveErrorString
0.000000,0,0.000000,{
0.000000,0,0.000000,my $self   = shift ;
0.000000,0,0.000000,my $retval = shift ;
0.000000,0,0.000000,${ *$self->{Error} } = shift ;
0.000000,0,0.000000,${ *$self->{ErrorNo} } = shift() + 0 if @_ ;
0.000000,0,0.000000,
0.000000,0,0.000000,return $retval;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub croakError
0.000000,0,0.000000,{
0.000000,0,0.000000,my $self   = shift ;
0.000000,0,0.000000,$self->saveErrorString(0, $_[0]);
0.000000,0,0.000000,Carp::croak $_[0];
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub closeError
0.000000,0,0.000000,{
0.000000,0,0.000000,my $self = shift ;
