# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package JSON::PP;
0.000000,0,0.000000,
0.000000,0,0.000000,# JSON-2.0
0.000000,0,0.000000,
0.000027,2,0.000013,use 5.005;
0.000015,2,0.000007,use strict;
0.000000,0,0.000000,
0.000019,2,0.000010,use Exporter ();
0.000018,1,0.000018,BEGIN { @JSON::PP::ISA = ('Exporter') }
0.000000,0,0.000000,
0.000015,2,0.000007,use overload ();
0.000158,2,0.000079,use JSON::PP::Boolean;
0.000000,0,0.000000,
0.000024,2,0.000012,use Carp ();
0.000000,0,0.000000,#use Devel::Peek;
0.000000,0,0.000000,
0.000001,1,0.000001,$JSON::PP::VERSION = '4.07';
0.000000,0,0.000000,
0.000001,1,0.000001,@JSON::PP::EXPORT = qw(encode_json decode_json from_json to_json);
0.000000,0,0.000000,
0.000000,0,0.000000,# instead of hash-access, i tried index-access for speed.
0.000000,0,0.000000,# but this method is not faster than what i expected. so it will be changed.
0.000000,0,0.000000,
0.000015,2,0.000007,use constant P_ASCII                => 0;
0.000012,2,0.000006,use constant P_LATIN1               => 1;
0.000011,2,0.000005,use constant P_UTF8                 => 2;
0.000010,2,0.000005,use constant P_INDENT               => 3;
0.000011,2,0.000005,use constant P_CANONICAL            => 4;
0.000012,2,0.000006,use constant P_SPACE_BEFORE         => 5;
0.000009,2,0.000005,use constant P_SPACE_AFTER          => 6;
0.000011,2,0.000005,use constant P_ALLOW_NONREF         => 7;
0.000009,2,0.000005,use constant P_SHRINK               => 8;
0.000013,2,0.000007,use constant P_ALLOW_BLESSED        => 9;
0.000018,2,0.000009,use constant P_CONVERT_BLESSED      => 10;
0.000026,2,0.000013,use constant P_RELAXED              => 11;
0.000000,0,0.000000,
0.000036,2,0.000018,use constant P_LOOSE                => 12;
0.000037,2,0.000018,use constant P_ALLOW_BIGNUM         => 13;
0.000039,2,0.000019,use constant P_ALLOW_BAREKEY        => 14;
0.000142,2,0.000071,use constant P_ALLOW_SINGLEQUOTE    => 15;
0.000029,2,0.000015,use constant P_ESCAPE_SLASH         => 16;
0.000025,2,0.000012,use constant P_AS_NONBLESSED        => 17;
0.000000,0,0.000000,
0.000058,2,0.000029,use constant P_ALLOW_UNKNOWN        => 18;
0.000078,2,0.000039,use constant P_ALLOW_TAGS           => 19;
0.000000,0,0.000000,
0.000047,2,0.000024,use constant OLD_PERL => $] < 5.008 ? 1 : 0;
