# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000028,2,0.000014,use strict;
0.000041,2,0.000020,use warnings;
0.000000,0,0.000000,package JSON::Schema::Modern::Document::OpenAPI;
0.000000,0,0.000000,# vim: set ts=8 sts=2 sw=2 tw=100 et :
0.000000,0,0.000000,# ABSTRACT: One OpenAPI v3.1 document
0.000000,0,0.000000,# KEYWORDS: JSON Schema data validation request response OpenAPI
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.034';
0.000000,0,0.000000,
0.000029,2,0.000015,use 5.020;
0.000023,2,0.000012,use Moo;
0.000038,3,0.000013,use strictures 2;
0.000043,2,0.000022,use experimental qw(signatures postderef);
0.000073,2,0.000036,use if "$]" >= 5.022, experimental => 're_strict';
0.000044,2,0.000022,no if "$]" >= 5.031009, feature => 'indirect';
0.000068,2,0.000034,no if "$]" >= 5.033001, feature => 'multidimensional';
0.000043,2,0.000021,no if "$]" >= 5.033006, feature => 'bareword_filehandles';
0.000061,3,0.000020,use JSON::Schema::Modern::Utilities 0.525 qw(assert_keyword_exists assert_keyword_type E canonical_uri get_type);
0.000044,2,0.000022,use Safe::Isa;
0.000041,2,0.000021,use File::ShareDir 'dist_dir';
0.000122,2,0.000061,use Path::Tiny;
0.000050,2,0.000025,use List::Util qw(any pairs);
0.000025,2,0.000013,use Ref::Util 'is_plain_hashref';
0.000041,2,0.000021,use MooX::HandlesVia;
0.000050,3,0.000017,use MooX::TypeTiny 0.002002;
0.000031,2,0.000016,use Types::Standard qw(InstanceOf HashRef Str);
0.000044,2,0.000022,use namespace::clean;
0.000000,0,0.000000,
0.000001,1,0.000001,extends 'JSON::Schema::Modern::Document';
0.000000,0,0.000000,
0.000048,2,0.000024,use constant DEFAULT_DIALECT => 'https://spec.openapis.org/oas/3.1/dialect/base';
0.000000,0,0.000000,
0.000000,1,0.000000,use constant DEFAULT_SCHEMAS => {
0.000000,0,0.000000,# local filename => identifier to add the schema as
0.000000,0,0.000000,'oas/dialect/base.schema.json' => 'https://spec.openapis.org/oas/3.1/dialect/base', # metaschema for json schemas contained within openapi documents
