# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000034,2,0.000017,use strict;
0.000039,2,0.000019,use warnings;
0.000000,0,0.000000,package JSON::Schema::Modern::Vocabulary::Applicator;
0.000000,0,0.000000,# vim: set ts=8 sts=2 sw=2 tw=100 et :
0.000000,0,0.000000,# ABSTRACT: Implementation of the JSON Schema Applicator vocabulary
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.556';
0.000000,0,0.000000,
0.000027,2,0.000013,use 5.020;
0.000022,2,0.000011,use Moo;
0.000095,3,0.000032,use strictures 2;
0.000069,2,0.000034,use experimental qw(signatures postderef);
0.000056,2,0.000028,use if "$]" >= 5.022, experimental => 're_strict';
0.000041,2,0.000020,no if "$]" >= 5.031009, feature => 'indirect';
0.000077,2,0.000039,no if "$]" >= 5.033001, feature => 'multidimensional';
0.000052,2,0.000026,no if "$]" >= 5.033006, feature => 'bareword_filehandles';
0.000076,3,0.000025,use List::Util 1.45 qw(any uniqstr);
0.000052,3,0.000017,use Ref::Util 0.100 'is_plain_arrayref';
0.000731,2,0.000365,use Sub::Install;
0.000029,2,0.000015,use JSON::Schema::Modern::Utilities qw(is_type jsonp E A assert_keyword_type assert_pattern true is_elements_unique);
0.000429,2,0.000215,use JSON::Schema::Modern::Vocabulary::Unevaluated;
0.003699,2,0.001849,use namespace::clean;
0.000000,0,0.000000,
0.000002,1,0.000002,with 'JSON::Schema::Modern::Vocabulary';
0.000000,0,0.000000,
0.000000,0,0.000000,sub vocabulary {
0.000003,1,0.000003,'https://json-schema.org/draft/2019-09/vocab/applicator' => 'draft2019-09',
0.000000,0,0.000000,'https://json-schema.org/draft/2020-12/vocab/applicator' => 'draft2020-12';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000007,4,0.000002,sub evaluation_order { 1 }
0.000000,0,0.000000,
0.000000,0,0.000000,# the keyword order is arbitrary, except:
0.000000,0,0.000000,# - if must be evaluated before then, else
0.000000,0,0.000000,# - items must be evaluated before additionalItems
0.000000,0,0.000000,# - in-place applicators (allOf, anyOf, oneOf, not, if/then/else, dependentSchemas) and items,
0.000000,0,0.000000,#   additionalItems must be evaluated before unevaluatedItems (in the Unevaluated vocabulary)
0.000000,0,0.000000,# - properties and patternProperties must be evaluated before additionalProperties
0.000000,0,0.000000,# - in-place applicators and properties, patternProperties, additionalProperties must be evaluated
0.000000,0,0.000000,#   before unevaluatedProperties (in the Unevaluated vocabulary)
0.000000,0,0.000000,# - contains must be evaluated before maxContains, minContains (in the Validator vocabulary)
0.000001,6,0.000000,sub keywords ($self, $spec_version) {
0.000000,0,0.000000,return (
0.000068,2,0.000034,qw(allOf anyOf oneOf not if then else),
0.000000,0,0.000000,$spec_version eq 'draft7' ? 'dependencies' : 'dependentSchemas',
0.000000,0,0.000000,$spec_version !~ qr/^draft(7|2019-09)$/ ? 'prefixItems' : (),
0.000000,0,0.000000,'items',
0.000000,0,0.000000,$spec_version =~ qr/^draft(7|2019-09)$/ ? 'additionalItems' : (),
0.000000,0,0.000000,qw(contains properties patternProperties additionalProperties propertyNames),
0.000000,0,0.000000,$spec_version eq 'draft2019-09' ? qw(unevaluatedItems unevaluatedProperties) : (),
0.000000,0,0.000000,);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# in draft2019-09, the unevaluated keywords were part of the Applicator vocabulary
0.000000,1,0.000000,foreach my $phase (qw(traverse eval)) {
0.000002,2,0.000001,foreach my $type (qw(Items Properties)) {
0.000003,4,0.000001,my $method = '_'.$phase.'_keyword_unevaluated'.$type;
0.000000,0,0.000000,Sub::Install::install_sub({
0.000000,0,0.000000,as   => $method,
0.000000,0,0.000000,code => sub {
0.000000,0,0.000000,shift;
0.000000,0,0.000000,JSON::Schema::Modern::Vocabulary::Unevaluated->$method(@_);
0.000000,0,0.000000,}
0.000011,4,0.000003,}),
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000131,23,0.000006,sub _traverse_keyword_allOf { shift->traverse_array_schemas(@_) }
0.000000,0,0.000000,
