# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000090,2,0.000045,use strict;
0.000071,2,0.000036,use warnings;
0.000000,0,0.000000,package JSON::Schema::Modern::Vocabulary::Core;
0.000000,0,0.000000,# vim: set ts=8 sts=2 sw=2 tw=100 et :
0.000000,0,0.000000,# ABSTRACT: Implementation of the JSON Schema Core vocabulary
0.000000,0,0.000000,
0.000001,1,0.000001,our $VERSION = '0.556';
0.000000,0,0.000000,
0.000067,2,0.000034,use 5.020;
0.000036,2,0.000018,use Moo;
0.000089,3,0.000030,use strictures 2;
0.000057,2,0.000029,use experimental qw(signatures postderef);
0.000049,2,0.000025,use if "$]" >= 5.022, experimental => 're_strict';
0.000032,2,0.000016,no if "$]" >= 5.031009, feature => 'indirect';
0.000028,2,0.000014,no if "$]" >= 5.033001, feature => 'multidimensional';
0.000026,2,0.000013,no if "$]" >= 5.033006, feature => 'bareword_filehandles';
0.000031,2,0.000016,use JSON::Schema::Modern::Utilities qw(is_type abort assert_keyword_type canonical_uri E assert_uri_reference assert_uri jsonp);
0.002189,2,0.001094,use namespace::clean;
0.000000,0,0.000000,
0.000016,1,0.000016,with 'JSON::Schema::Modern::Vocabulary';
0.000000,0,0.000000,
0.000000,0,0.000000,sub vocabulary {
0.000004,1,0.000004,'https://json-schema.org/draft/2019-09/vocab/core' => 'draft2019-09',
0.000000,0,0.000000,'https://json-schema.org/draft/2020-12/vocab/core' => 'draft2020-12';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000007,3,0.000002,sub evaluation_order { 0 }
0.000000,0,0.000000,
0.000004,6,0.000001,sub keywords ($self, $spec_version) {
0.000000,0,0.000000,return (
0.000019,2,0.000010,qw($id $schema),
0.000000,0,0.000000,$spec_version ne 'draft7' ? '$anchor' : (),
0.000000,0,0.000000,$spec_version eq 'draft2019-09' ? '$recursiveAnchor' : (),
0.000000,0,0.000000,$spec_version eq 'draft2020-12' ? '$dynamicAnchor' : (),
0.000000,0,0.000000,'$ref',
0.000000,0,0.000000,$spec_version eq 'draft2019-09' ? '$recursiveRef' : (),
0.000000,0,0.000000,$spec_version eq 'draft2020-12' ? '$dynamicRef' : (),
0.000000,0,0.000000,$spec_version eq 'draft7' ? 'definitions' : qw($vocabulary $comment $defs),
0.000000,0,0.000000,);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# adds the following keys to $state during traversal:
0.000000,0,0.000000,# - identifiers: an arrayref of tuples:
0.000000,0,0.000000,#   $uri => { path => $path_to_identifier, canonical_uri => Mojo::URL (absolute when possible) }
0.000000,0,0.000000,# this is used by the Document constructor to build its resource_index.
0.000000,0,0.000000,
0.000012,56,0.000000,sub _traverse_keyword_id ($self, $schema, $state) {
0.000059,14,0.000004,return if not assert_keyword_type($state, $schema, 'string')
0.000000,0,0.000000,or not assert_uri_reference($state, $schema);
0.000000,0,0.000000,
0.000027,14,0.000002,my $uri = Mojo::URL->new($schema->{'$id'});
0.000000,0,0.000000,
0.000012,14,0.000001,if ($state->{spec_version} eq 'draft7') {
0.000000,0,0.000000,if (length($uri->fragment)) {
0.000000,0,0.000000,return E($state, '$id cannot change the base uri at the same time as declaring an anchor')
0.000000,0,0.000000,if length($uri->clone->fragment(undef));
0.000000,0,0.000000,
0.000000,0,0.000000,return $self->_traverse_keyword_anchor({ %$schema, $state->{keyword} => $uri->fragment }, $state);
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000014,14,0.000001,return E($state, '$id value "%s" cannot have a non-empty fragment', $schema->{'$id'})
0.000000,0,0.000000,if length $uri->fragment;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000008,14,0.000001,$uri->fragment(undef);
0.000035,14,0.000003,return E($state, '$id cannot be empty') if not length $uri;
0.000000,0,0.000000,
0.000026,14,0.000002,$state->{initial_schema_uri} = $uri->is_abs ? $uri : $uri->to_abs($state->{initial_schema_uri});
0.000018,14,0.000001,$state->{traversed_schema_path} = $state->{traversed_schema_path}.$state->{schema_path};
0.000000,0,0.000000,# we don't set or update document_path because it is identical to traversed_schema_path
0.000009,14,0.000001,$state->{schema_path} = '';
0.000000,0,0.000000,
0.000000,0,0.000000,push $state->{identifiers}->@*,
0.000000,0,0.000000,$state->{initial_schema_uri} => {
0.000000,0,0.000000,path => $state->{traversed_schema_path},
0.000000,0,0.000000,canonical_uri => $state->{initial_schema_uri}->clone,
0.000000,0,0.000000,specification_version => $state->{spec_version}, # note! $schema keyword can change this
0.000000,0,0.000000,vocabularies => $state->{vocabularies}, # reference, not copy
0.000000,0,0.000000,configs => $state->{configs},
0.000083,14,0.000006,};
0.000032,14,0.000002,return 1;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.028076,129310,0.000000,sub _eval_keyword_id ($self, $data, $schema, $state) {
0.088894,25862,0.000003,my $schema_info = $state->{document}->path_to_resource($state->{document_path}.$state->{schema_path});
0.000000,0,0.000000,# this should never happen, if the pre-evaluation traversal was performed correctly
0.008584,25862,0.000000,abort($state, 'failed to resolve %s to canonical uri', $state->{keyword}) if not $schema_info;
0.000000,0,0.000000,
0.045083,25862,0.000002,$state->{initial_schema_uri} = $schema_info->{canonical_uri}->clone;
0.031878,25862,0.000001,$state->{traversed_schema_path} = $state->{traversed_schema_path}.$state->{schema_path};
0.009702,25862,0.000000,$state->{document_path} = $state->{document_path}.$state->{schema_path};
0.009335,25862,0.000000,$state->{schema_path} = '';
0.010837,25862,0.000000,$state->{spec_version} = $schema_info->{specification_version};
0.009803,25862,0.000000,$state->{vocabularies} = $schema_info->{vocabularies};
0.000000,0,0.000000,# it's possible that a different schema resource has its own set of configs, different from the
0.000000,0,0.000000,# JSM attribute value
0.012376,25862,0.000000,if ($state->{validate_formats}) {
0.000000,0,0.000000,$state->{vocabularies} = [
0.000000,0,0.000000,map s/^JSON::Schema::Modern::Vocabulary::Format\KAnnotation$/Assertion/r, $state->{vocabularies}->@*
0.454345,25862,0.000018,];
0.026733,25862,0.000001,require JSON::Schema::Modern::Vocabulary::FormatAssertion;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.025100,25862,0.000001,$state->@{keys $state->{configs}->%*} = values $state->{configs}->%*;
0.024671,25862,0.000001,push $state->{dynamic_scope}->@*, $state->{initial_schema_uri};
0.000000,0,0.000000,
0.053682,25862,0.000002,return 1;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000015,60,0.000000,sub _traverse_keyword_schema ($self, $schema, $state) {
0.000062,15,0.000004,return if not assert_keyword_type($state, $schema, 'string') or not assert_uri($state, $schema);
0.000000,0,0.000000,
0.000000,0,0.000000,# "A JSON Schema resource is a schema which is canonically identified by an absolute URI."
0.000000,0,0.000000,# "A resource's root schema is its top-level schema object."
0.000000,0,0.000000,# note: we need not be at the document root, but simply adjacent to an $id (or be the at the
0.000000,0,0.000000,# document root)
0.000000,0,0.000000,return E($state, '$schema can only appear at the schema resource root')
0.000011,15,0.000001,if length($state->{schema_path});
0.000000,0,0.000000,
0.000004,15,0.000000,my ($spec_version, $vocabularies);
0.000000,0,0.000000,
0.000056,15,0.000004,if (my $metaschema_info = $state->{evaluator}->_get_metaschema_vocabulary_classes($schema->{'$schema'})) {
0.000000,0,0.000000,($spec_version, $vocabularies) = @$metaschema_info;
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000007,1,0.000007,my $schema_info = $state->{evaluator}->_fetch_from_uri($schema->{'$schema'});
0.000000,1,0.000000,return E($state, 'EXCEPTION: unable to find resource %s', $schema->{'$schema'}) if not $schema_info;
0.000000,0,0.000000,
0.000000,0,0.000000,($spec_version, $vocabularies) = $self->__fetch_vocabulary_data({ %$state,
0.000000,0,0.000000,keyword => '$vocabulary', initial_schema_uri => Mojo::URL->new($schema->{'$schema'}),
0.000020,1,0.000020,traversed_schema_path => jsonp($state->{schema_path}, '$schema'),
0.000000,0,0.000000,}, $schema_info);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000006,15,0.000000,return E($state, '"%s" is not a valid metaschema', $schema->{'$schema'}) if not @$vocabularies;
0.000000,0,0.000000,
0.000000,0,0.000000,# we special-case this because the check in _eval_subschema for older drafts + $ref has already happened
0.000000,0,0.000000,return E($state, '$schema and $ref cannot be used together in older drafts')
0.000009,15,0.000001,if exists $schema->{'$ref'} and $spec_version eq 'draft7';
0.000000,0,0.000000,
0.000018,15,0.000001,$state->@{qw(spec_version vocabularies)} = ($spec_version, $vocabularies);
0.000000,0,0.000000,
0.000000,0,0.000000,# remember, if we don't have a sibling $id, we must be at the document root with no identifiers
0.000024,15,0.000002,if ($state->{identifiers}->@*) {
0.000000,0,0.000000,$state->{identifiers}[-1]->@{qw(specification_version vocabularies)} = $state->@{qw(spec_version vocabularies)};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000035,15,0.000002,return 1;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000010,60,0.000000,sub _traverse_keyword_anchor ($self, $schema, $state) {
0.000040,15,0.000003,return if not assert_keyword_type($state, $schema, 'string');
0.000000,0,0.000000,
0.000000,0,0.000000,return E($state, '%s value "%s" does not match required syntax',
0.000000,0,0.000000,$state->{keyword}, ($state->{keyword} eq '$id' ? '#' : '').$schema->{$state->{keyword}})
0.000000,0,0.000000,if $state->{spec_version} =~ /^draft(?:7|2019-09)$/
0.000000,0,0.000000,and $schema->{$state->{keyword}} !~ /^[A-Za-z][A-Za-z0-9_:.-]*$/
0.000000,0,0.000000,or $state->{spec_version} eq 'draft2020-12'
0.000193,15,0.000013,and $schema->{$state->{keyword}} !~ /^[A-Za-z_][A-Za-z0-9._-]*$/;
0.000000,0,0.000000,
0.000057,15,0.000004,my $canonical_uri = canonical_uri($state);
0.000000,0,0.000000,
0.000000,0,0.000000,push $state->{identifiers}->@*,
0.000000,0,0.000000,Mojo::URL->new->to_abs($canonical_uri)->fragment($schema->{$state->{keyword}}) => {
0.000000,0,0.000000,path => $state->{traversed_schema_path}.$state->{schema_path},
0.000000,0,0.000000,canonical_uri => $canonical_uri,
0.000000,0,0.000000,specification_version => $state->{spec_version},
0.000000,0,0.000000,vocabularies => $state->{vocabularies}, # reference, not copy
