# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000022,2,0.000011,use strict;
0.000040,2,0.000020,use warnings;
0.000000,0,0.000000,package JSON::Schema::Modern; # git description: v0.555-12-g5cd1dee9
0.000000,0,0.000000,# vim: set ts=8 sts=2 sw=2 tw=100 et :
0.000000,0,0.000000,# ABSTRACT: Validate data against a schema
0.000000,0,0.000000,# KEYWORDS: JSON Schema validator data validation structure specification
0.000000,0,0.000000,
0.000001,1,0.000001,our $VERSION = '0.556';
0.000000,0,0.000000,
0.000027,2,0.000013,use 5.020;  # for fc, unicode_strings features
0.000025,2,0.000013,use Moo;
0.000041,3,0.000014,use strictures 2;
0.000060,2,0.000030,use experimental qw(signatures postderef);
0.000030,2,0.000015,use if "$]" >= 5.022, experimental => 're_strict';
0.000020,2,0.000010,no if "$]" >= 5.031009, feature => 'indirect';
0.000016,2,0.000008,no if "$]" >= 5.033001, feature => 'multidimensional';
0.000013,2,0.000006,no if "$]" >= 5.033006, feature => 'bareword_filehandles';
0.000265,2,0.000133,use JSON::MaybeXS;
0.000077,2,0.000039,use Carp qw(croak carp);
0.000058,3,0.000019,use List::Util 1.55 qw(pairs first uniqint pairmap uniq any);
0.000047,3,0.000016,use Ref::Util 0.100 qw(is_ref is_plain_hashref);
0.000023,2,0.000012,use Scalar::Util 'refaddr';
0.000658,2,0.000329,use Mojo::URL;
0.000021,2,0.000011,use Safe::Isa;
0.000495,2,0.000247,use Path::Tiny;
0.000019,2,0.000010,use Storable 'dclone';
0.000609,2,0.000305,use File::ShareDir 'dist_dir';
0.000777,2,0.000388,use Module::Runtime qw(use_module require_module);
0.000493,3,0.000164,use MooX::TypeTiny 0.002002;
0.000558,2,0.000279,use MooX::HandlesVia;
0.000520,3,0.000173,use Types::Standard 1.016003 qw(Bool Int Str HasMethods Enum InstanceOf HashRef Dict CodeRef Optional Slurpy ArrayRef Undef ClassName Tuple Map);
0.000051,2,0.000025,use Feature::Compat::Try;
0.000639,2,0.000320,use JSON::Schema::Modern::Error;
0.000632,2,0.000316,use JSON::Schema::Modern::Result;
0.000704,2,0.000352,use JSON::Schema::Modern::Document;
0.000748,2,0.000374,use JSON::Schema::Modern::Utilities qw(get_type canonical_uri E abort annotate_self);
0.000094,2,0.000047,use namespace::clean;
0.000000,0,0.000000,
0.000002,1,0.000002,our @CARP_NOT = qw(
