# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package List::MoreUtils;
0.000000,0,0.000000,
0.000033,2,0.000017,use 5.008_001;
0.000024,2,0.000012,use strict;
0.000060,2,0.000030,use warnings;
0.000000,0,0.000000,
0.000001,1,0.000001,my $have_xs;
0.000001,1,0.000001,our $VERSION = '0.430';
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN
0.000000,0,0.000000,{
0.000005,1,0.000005,unless (defined($have_xs))
0.000000,0,0.000000,{
0.000000,0,0.000000,## no critic (ErrorHandling::RequireCheckingReturnValueOfEval)
0.000581,2,0.000290,eval { require List::MoreUtils::XS; } unless $ENV{LIST_MOREUTILS_PP};
0.000000,0,0.000000,## no critic (ErrorHandling::RequireCarping)
0.000001,1,0.000001,die $@ if $@ && defined $ENV{LIST_MOREUTILS_PP} && $ENV{LIST_MOREUTILS_PP} == 0;
0.000002,1,0.000002,$have_xs = 0 + defined($INC{'List/MoreUtils/XS.pm'});
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000675,2,0.000338,use List::MoreUtils::PP qw();
0.000072,1,0.000072,}
0.000000,0,0.000000,
0.000655,2,0.000327,use Exporter::Tiny qw();
0.000000,0,0.000000,
0.000003,1,0.000003,my @junctions = qw(any all none notall);
0.000004,1,0.000004,my @v0_22     = qw(
0.000000,0,0.000000,true false
0.000000,0,0.000000,firstidx lastidx
0.000000,0,0.000000,insert_after insert_after_string
0.000000,0,0.000000,apply indexes
0.000000,0,0.000000,after after_incl before before_incl
0.000000,0,0.000000,firstval lastval
0.000000,0,0.000000,each_array each_arrayref
0.000000,0,0.000000,pairwise natatime
0.000000,0,0.000000,mesh uniq
0.000000,0,0.000000,minmax part
0.000000,0,0.000000,_XScompiled
0.000000,0,0.000000,);
0.000001,1,0.000001,my @v0_24  = qw(bsearch);
0.000001,1,0.000001,my @v0_33  = qw(sort_by nsort_by);
0.000002,1,0.000002,my @v0_400 = qw(one any_u all_u none_u notall_u one_u
0.000000,0,0.000000,firstres onlyidx onlyval onlyres lastres
0.000000,0,0.000000,singleton bsearchidx
0.000000,0,0.000000,);
0.000003,1,0.000003,my @v0_420 = qw(arrayify duplicates minmaxstr samples zip6 reduce_0 reduce_1 reduce_u
0.000000,0,0.000000,listcmp frequency occurrences mode
0.000000,0,0.000000,binsert bremove equal_range lower_bound upper_bound qsort
0.000000,0,0.000000,slide slideatatime);
0.000000,0,0.000000,
0.000004,1,0.000004,my @all_functions = (@junctions, @v0_22, @v0_24, @v0_33, @v0_400, @v0_420);
0.000000,0,0.000000,
0.000000,0,0.000000,## no critic (TestingAndDebugging::ProhibitNoStrict)
0.000124,2,0.000062,no strict "refs";
0.000000,1,0.000000,if ($have_xs)
0.000000,0,0.000000,{
0.000000,1,0.000000,my $x;
0.000001,1,0.000001,for (@all_functions)
0.000000,0,0.000000,{
0.000440,63,0.000007,List::MoreUtils->can($_) or *$_ = $x if ($x = List::MoreUtils::XS->can($_));
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000165,1,0.000165,List::MoreUtils->can($_) or *$_ = List::MoreUtils::PP->can($_) for (@all_functions);
0.000065,2,0.000032,use strict;
0.000000,0,0.000000,## use critic (TestingAndDebugging::ProhibitNoStrict)
0.000192,2,0.000096,use parent qw(Exporter::Tiny);
0.000000,0,0.000000,
0.000016,1,0.000016,my %alias_list = (
0.000000,0,0.000000,v0_22 => {
0.000000,0,0.000000,first_index => "firstidx",
0.000000,0,0.000000,last_index  => "lastidx",
0.000000,0,0.000000,first_value => "firstval",
0.000000,0,0.000000,last_value  => "lastval",
0.000000,0,0.000000,zip         => "mesh",
0.000000,0,0.000000,},
0.000000,0,0.000000,v0_33 => {
0.000000,0,0.000000,distinct => "uniq",
0.000000,0,0.000000,},
0.000000,0,0.000000,v0_400 => {
0.000000,0,0.000000,first_result  => "firstres",
0.000000,0,0.000000,only_index    => "onlyidx",
0.000000,0,0.000000,only_value    => "onlyval",
0.000000,0,0.000000,only_result   => "onlyres",
0.000000,0,0.000000,last_result   => "lastres",
0.000000,0,0.000000,bsearch_index => "bsearchidx",
0.000000,0,0.000000,},
0.000000,0,0.000000,v0_420 => {
0.000000,0,0.000000,bsearch_insert => "binsert",
0.000000,0,0.000000,bsearch_remove => "bremove",
0.000000,0,0.000000,zip_unflatten  => "zip6",
0.000000,0,0.000000,},
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000014,1,0.000014,our @EXPORT_OK   = (@all_functions, map { keys %$_ } values %alias_list);
0.000000,0,0.000000,our %EXPORT_TAGS = (
0.000000,0,0.000000,all         => \@EXPORT_OK,
0.000000,0,0.000000,'like_0.22' => [
0.000000,0,0.000000,any_u    => {-as => 'any'},
0.000000,0,0.000000,all_u    => {-as => 'all'},
0.000000,0,0.000000,none_u   => {-as => 'none'},
0.000000,0,0.000000,notall_u => {-as => 'notall'},
0.000000,0,0.000000,@v0_22,
0.000000,0,0.000000,keys %{$alias_list{v0_22}},
0.000000,0,0.000000,],
0.000000,0,0.000000,'like_0.24' => [
0.000000,0,0.000000,any_u    => {-as => 'any'},
0.000000,0,0.000000,all_u    => {-as => 'all'},
0.000000,0,0.000000,notall_u => {-as => 'notall'},
0.000000,0,0.000000,'none',
0.000000,0,0.000000,@v0_22,
0.000000,0,0.000000,@v0_24,
0.000000,0,0.000000,keys %{$alias_list{v0_22}},
0.000000,0,0.000000,],
0.000000,0,0.000000,'like_0.33' => [
0.000000,0,0.000000,@junctions,
0.000000,0,0.000000,@v0_22,
0.000000,0,0.000000,# v0_24 functions were omitted
0.000000,0,0.000000,@v0_33,
0.000000,0,0.000000,keys %{$alias_list{v0_22}},
0.000017,1,0.000017,keys %{$alias_list{v0_33}},
0.000000,0,0.000000,],
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000002,1,0.000002,for my $set (values %alias_list)
0.000000,0,0.000000,{
0.000002,4,0.000000,for my $alias (keys %$set)
0.000000,0,0.000000,{
0.000000,0,0.000000,## no critic (TestingAndDebugging::ProhibitNoStrict)
0.000051,2,0.000025,no strict qw(refs);
0.000061,15,0.000004,*$alias = __PACKAGE__->can($set->{$alias});
0.000000,0,0.000000,## use critic (TestingAndDebugging::ProhibitNoStrict)
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000928,2,0.000464,use strict;
0.000000,0,0.000000,
0.000000,0,0.000000,=pod
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 NAME
0.000000,0,0.000000,
0.000000,0,0.000000,List::MoreUtils - Provide the stuff missing in List::Util
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 SYNOPSIS
0.000000,0,0.000000,
0.000000,0,0.000000,# import specific functions
0.000000,0,0.000000,
0.000000,0,0.000000,use List::MoreUtils qw(any uniq);
0.000000,0,0.000000,
0.000000,0,0.000000,if ( any { /foo/ } uniq @has_duplicates ) {
0.000000,0,0.000000,# do stuff
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# import everything
0.000000,0,0.000000,
0.000000,0,0.000000,use List::MoreUtils ':all';
0.000000,0,0.000000,
