# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Mojo::Parameters;
0.000150,2,0.000075,use Mojo::Base -base;
1.076823,632183,0.000002,use overload '@{}' => sub { shift->pairs }, bool => sub {1}, '""' => sub { shift->to_string }, fallback => 1;
0.000000,0,0.000000,
0.002004,2,0.001002,use Mojo::Util qw(decode encode url_escape url_unescape);
0.000000,0,0.000000,
0.000002,1,0.000002,has charset => 'UTF-8';
0.000000,0,0.000000,
0.000000,0,0.000000,sub append {
0.000000,0,0.000000,my $self = shift;
0.000000,0,0.000000,
0.000000,0,0.000000,my $old = $self->pairs;
0.000000,0,0.000000,my @new = @_ == 1 ? @{shift->pairs} : @_;
0.000000,0,0.000000,while (my ($name, $value) = splice @new, 0, 2) {
0.000000,0,0.000000,
0.000000,0,0.000000,# Multiple values
0.000000,0,0.000000,if (ref $value eq 'ARRAY') { push @$old, $name => $_ // '' for @$value }
0.000000,0,0.000000,
0.000000,0,0.000000,# Single value
0.000000,0,0.000000,elsif (defined $value) { push @$old, $name => $value }
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,return $self;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub clone {
0.049393,335145,0.000000,my $self = shift;
0.000000,0,0.000000,
0.260245,335145,0.000001,my $clone = $self->new;
0.281298,335145,0.000001,if   (exists $self->{charset}) { $clone->{charset} = $self->{charset} }
0.149130,335145,0.000000,if   (defined $self->{string}) { $clone->{string}  = $self->{string} }
0.431712,335145,0.000001,else                           { $clone->{pairs}   = [@{$self->pairs}] }
0.000000,0,0.000000,
0.427133,335145,0.000001,return $clone;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub every_param {
0.000000,0,0.000000,my ($self, $name) = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,my @values;
0.000000,0,0.000000,my $pairs = $self->pairs;
0.000000,0,0.000000,for (my $i = 0; $i < @$pairs; $i += 2) {
0.000000,0,0.000000,push @values, $pairs->[$i + 1] if $pairs->[$i] eq $name;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,return \@values;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub merge {
0.000000,0,0.000000,my $self = shift;
0.000000,0,0.000000,
0.000000,0,0.000000,my $merge = @_ == 1 ? shift->to_hash : {@_};
0.000000,0,0.000000,for my $name (sort keys %$merge) {
0.000000,0,0.000000,my $value = $merge->{$name};
0.000000,0,0.000000,defined $value ? $self->param($name => $value) : $self->remove($name);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,return $self;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub names { [sort keys %{shift->to_hash}] }
0.000000,0,0.000000,
0.754422,381772,0.000002,sub new { @_ > 1 ? shift->SUPER::new->parse(@_) : shift->SUPER::new }
0.000000,0,0.000000,
0.000000,0,0.000000,sub pairs {
0.094549,662947,0.000000,my $self = shift;
0.000000,0,0.000000,
0.000000,0,0.000000,# Replace parameters
0.083640,662947,0.000000,if (@_) {
0.000000,0,0.000000,$self->{pairs} = shift;
0.000000,0,0.000000,delete $self->{string};
0.000000,0,0.000000,return $self;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# Parse string
0.204523,662947,0.000000,if (defined(my $str = delete $self->{string})) {
0.000000,0,0.000000,my $pairs = $self->{pairs} = [];
0.000000,0,0.000000,return $pairs unless length $str;
0.000000,0,0.000000,
0.000000,0,0.000000,my $charset = $self->charset;
0.000000,0,0.000000,for my $pair (split /&/, $str) {
0.000000,0,0.000000,next unless $pair =~ /^([^=]+)(?:=(.*))?$/;
0.000000,0,0.000000,my ($name, $value) = ($1, $2 // '');
0.000000,0,0.000000,
0.000000,0,0.000000,# Replace "+" with whitespace, unescape and decode
0.000000,0,0.000000,s/\+/ /g for $name, $value;
0.000000,0,0.000000,$name  = url_unescape $name;
0.000000,0,0.000000,$name  = decode($charset, $name) // $name if $charset;
0.000000,0,0.000000,$value = url_unescape $value;
0.000000,0,0.000000,$value = decode($charset, $value) // $value if $charset;
0.000000,0,0.000000,
0.000000,0,0.000000,push @$pairs, $name, $value;
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.942662,662947,0.000001,return $self->{pairs} //= [];
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub param {
0.000000,0,0.000000,my ($self, $name) = (shift, shift);
0.000000,0,0.000000,return $self->every_param($name)->[-1] unless @_;
0.000000,0,0.000000,$self->remove($name);
0.000000,0,0.000000,return $self->append($name => ref $_[0] eq 'ARRAY' ? $_[0] : [@_]);
