# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Moo::Role;
0.000025,2,0.000013,use strict;
0.000026,2,0.000013,use warnings;
0.000000,0,0.000000,
0.000000,1,0.000000,use Moo::_Utils qw(
0.000000,0,0.000000,_check_tracked
0.000000,0,0.000000,_getglob
0.000000,0,0.000000,_getstash
0.000000,0,0.000000,_install_coderef
0.000000,0,0.000000,_install_modifier
0.000000,0,0.000000,_install_tracked
0.000000,0,0.000000,_load_module
0.000000,0,0.000000,_name_coderef
0.000000,0,0.000000,_set_loaded
0.000000,0,0.000000,_unimport_coderefs
0.000019,1,0.000019,);
0.000011,2,0.000005,use Carp qw(croak);
0.000020,2,0.000010,use Role::Tiny ();
0.000027,1,0.000027,BEGIN { our @ISA = qw(Role::Tiny) }
0.000000,0,0.000000,BEGIN {
0.000002,1,0.000002,our @CARP_NOT = qw(
0.000000,0,0.000000,Method::Generate::Accessor
0.000000,0,0.000000,Method::Generate::Constructor
0.000000,0,0.000000,Moo::sification
0.000000,0,0.000000,Moo::_Utils
0.000000,0,0.000000,Role::Tiny
0.000000,0,0.000000,);
0.000058,1,0.000058,}
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '2.005004';
0.000000,1,0.000000,$VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.000001,1,0.000001,require Moo::sification;
0.000002,1,0.000002,Moo::sification->import;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000000,1,0.000000,*INFO = \%Role::Tiny::INFO;
0.000000,1,0.000000,*APPLIED_TO = \%Role::Tiny::APPLIED_TO;
0.000000,1,0.000000,*COMPOSED = \%Role::Tiny::COMPOSED;
0.000002,1,0.000002,*ON_ROLE_CREATE = \@Role::Tiny::ON_ROLE_CREATE;
0.001280,1,0.001280,}
0.000000,0,0.000000,
0.000000,0,0.000000,our %INFO;
0.000000,0,0.000000,our %APPLIED_TO;
0.000000,0,0.000000,our %APPLY_DEFAULTS;
0.000000,0,0.000000,our %COMPOSED;
0.000000,0,0.000000,our @ON_ROLE_CREATE;
0.000000,0,0.000000,
0.000000,0,0.000000,sub import {
0.000002,2,0.000001,my $target = caller;
0.000002,2,0.000001,if ($Moo::MAKERS{$target} and $Moo::MAKERS{$target}{is_class}) {
0.000000,0,0.000000,croak "Cannot import Moo::Role into a Moo class";
0.000000,0,0.000000,}
0.000010,2,0.000005,_set_loaded(caller);
0.000012,2,0.000006,goto &Role::Tiny::import;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _accessor_maker_for {
0.000000,0,0.000000,my ($class, $target) = @_;
0.000000,0,0.000000,($INFO{$target}{accessor_maker} ||= do {
0.000000,0,0.000000,require Method::Generate::Accessor;
0.000000,0,0.000000,Method::Generate::Accessor->new
0.000000,0,0.000000,});
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _install_subs {
0.000000,2,0.000000,my ($me, $target) = @_;
0.000009,2,0.000005,my %install = $me->_gen_subs($target);
0.000000,0,0.000000,_install_tracked $target => $_ => $install{$_}
0.000053,2,0.000027,for sort keys %install;
0.000014,2,0.000007,*{_getglob("${target}::meta")} = $me->can('meta');
0.000006,2,0.000003,return;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _require_module {
0.000102,24,0.000004,_load_module($_[1]);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _gen_subs {
0.000001,2,0.000000,my ($me, $target) = @_;
0.000000,0,0.000000,return (
0.000000,0,0.000000,has => sub {
0.000000,0,0.000000,my $name_proto = shift;
0.000000,0,0.000000,my @name_proto = ref $name_proto eq 'ARRAY' ? @$name_proto : $name_proto;
