# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Moo;
0.000026,2,0.000013,use strict;
0.000017,2,0.000008,use warnings;
0.000026,2,0.000013,no warnings 'once';
0.000000,0,0.000000,
0.000374,1,0.000374,use Moo::_Utils qw(
0.000000,0,0.000000,_check_tracked
0.000000,0,0.000000,_getglob
0.000000,0,0.000000,_getstash
0.000000,0,0.000000,_install_coderef
0.000000,0,0.000000,_install_modifier
0.000000,0,0.000000,_install_tracked
0.000000,0,0.000000,_linear_isa
0.000000,0,0.000000,_load_module
0.000000,0,0.000000,_set_loaded
0.000000,0,0.000000,_unimport_coderefs
0.000072,1,0.000072,);
0.000063,2,0.000031,use Carp qw(croak);
0.000000,0,0.000000,BEGIN {
0.000004,1,0.000004,our @CARP_NOT = qw(
0.000000,0,0.000000,Method::Generate::Constructor
0.000000,0,0.000000,Method::Generate::Accessor
0.000000,0,0.000000,Moo::sification
0.000000,0,0.000000,Moo::_Utils
0.000000,0,0.000000,Moo::Role
0.000000,0,0.000000,);
0.000353,1,0.000353,}
0.000000,0,0.000000,
0.000001,1,0.000001,our $VERSION = '2.005004';
0.000002,1,0.000002,$VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.001419,1,0.001419,require Moo::sification;
0.000002,1,0.000002,Moo::sification->import;
0.000000,0,0.000000,
0.000000,0,0.000000,our %MAKERS;
0.000000,0,0.000000,
0.000000,0,0.000000,sub import {
0.000019,17,0.000001,my $target = caller;
0.000006,17,0.000000,my $class = shift;
0.000058,17,0.000003,if ($INC{'Role/Tiny.pm'} and Role::Tiny->is_role($target)) {
0.000000,0,0.000000,croak "Cannot import Moo into a role";
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000056,17,0.000003,_set_loaded(caller);
0.000000,0,0.000000,
0.000075,17,0.000004,strict->import;
0.000019,17,0.000001,warnings->import;
0.000000,0,0.000000,
0.000038,17,0.000002,$class->_install_subs($target, @_);
0.000034,17,0.000002,$class->make_class($target);
0.000071,17,0.000004,return;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub make_class {
0.000002,17,0.000000,my ($me, $target) = @_;
0.000000,0,0.000000,
0.000024,17,0.000001,my $makers = $MAKERS{$target} ||= {};
0.000009,17,0.000001,return $target if $makers->{is_class};
0.000000,0,0.000000,
0.000020,17,0.000001,my $stash = _getstash($target);
0.000000,0,0.000000,$makers->{non_methods} = {
0.000000,0,0.000000,map +($_ => \&{"${target}::${_}"}),
0.000635,17,0.000037,grep exists &{"${target}::${_}"},
0.000000,0,0.000000,grep !/::\z/ && !/\A\(/,
0.000000,0,0.000000,keys %$stash
0.000000,0,0.000000,};
0.000000,0,0.000000,
0.000007,17,0.000000,$makers->{is_class} = 1;
0.000000,0,0.000000,{
