# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Params::Util::PP;
0.000000,0,0.000000,
0.000033,2,0.000017,use strict;
0.000044,2,0.000022,use warnings;
0.000000,0,0.000000,
0.000003,1,0.000003,our $VERSION = '1.102';
0.000000,0,0.000000,
0.000000,0,0.000000,=pod
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 NAME
0.000000,0,0.000000,
0.000000,0,0.000000,Params::Util::PP - PurePerl Params::Util routines
0.000000,0,0.000000,
0.000000,0,0.000000,=cut
0.000000,0,0.000000,
0.000028,2,0.000014,use Scalar::Util ();
0.001757,2,0.000879,use overload     ();
0.000000,0,0.000000,
0.000065,1,0.000065,Scalar::Util->can("looks_like_number") and Scalar::Util->import("looks_like_number");
0.000000,0,0.000000,# Use a private pure-perl copy of looks_like_number if the version of
0.000000,0,0.000000,# Scalar::Util is old (for whatever reason).
0.000000,0,0.000000,Params::Util::PP->can("looks_like_number") or *looks_like_number = sub {
0.000000,0,0.000000,local $_ = shift;
0.000000,0,0.000000,
0.000000,0,0.000000,# checks from perlfaq4
0.000000,0,0.000000,return 0 if !defined($_);
0.000000,0,0.000000,if (ref($_))
0.000000,0,0.000000,{
0.000000,0,0.000000,return overload::Overloaded($_) ? defined(0 + $_) : 0;
0.000000,0,0.000000,}
0.000000,0,0.000000,return 1 if (/^[+-]?[0-9]+$/);    # is a +/- integer
0.000000,0,0.000000,## no critic (RegularExpressions::ProhibitComplexRegexes)
0.000000,0,0.000000,return 1 if (/^(?:[+-]?)(?=[0-9]|\.[0-9])[0-9]*(?:\.[0-9]*)?(?:[Ee](?:[+-]?[0-9]+))?$/);     # a C float
0.000000,0,0.000000,return 1 if ($] >= 5.008 and /^(?:Inf(?:inity)?|NaN)$/i) or ($] >= 5.006001 and /^Inf$/i);
0.000000,0,0.000000,
0.000000,0,0.000000,0;
0.000012,1,0.000012,};
0.000000,0,0.000000,
0.000000,0,0.000000,## no critic (Subroutines::ProhibitSubroutinePrototypes, Subroutines::RequireArgUnpacking)
0.000000,0,0.000000,## no critic (Subroutines::ProhibitUnusedPrivateSubroutines)
0.000000,0,0.000000,
0.000000,0,0.000000,sub _XScompiled { return 0; }
0.000000,0,0.000000,
0.000000,0,0.000000,sub _STRING ($)
0.000000,0,0.000000,{
0.000000,0,0.000000,my $arg = $_[0];
0.000000,0,0.000000,return (defined $arg and not ref $arg and length($arg)) ? $arg : undef;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _IDENTIFIER ($)
0.000000,0,0.000000,{
0.000000,0,0.000000,my $arg = $_[0];
0.000000,0,0.000000,return (defined $arg and not ref $arg and $arg =~ m/^[^\W\d]\w*\z/s) ? $arg : undef;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _CLASS ($)
0.000000,0,0.000000,{
0.000000,0,0.000000,my $arg = $_[0];
0.000000,0,0.000000,return (defined $arg and not ref $arg and $arg =~ m/^[^\W\d]\w*(?:::\w+)*\z/s) ? $arg : undef;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _CLASSISA ($$)
0.000000,0,0.000000,{
0.000000,0,0.000000,return (defined $_[0] and not ref $_[0] and $_[0] =~ m/^[^\W\d]\w*(?:::\w+)*\z/s and $_[0]->isa($_[1])) ? $_[0] : undef;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _CLASSDOES ($$)
0.000000,0,0.000000,{
