# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000037,2,0.000019,use 5.008001;
0.000022,2,0.000011,use strict;
0.000051,2,0.000025,use warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,package Path::Tiny;
0.000000,0,0.000000,# ABSTRACT: File path utility
0.000000,0,0.000000,
0.000002,1,0.000002,our $VERSION = '0.144';
0.000000,0,0.000000,
0.000000,0,0.000000,# Dependencies
0.000055,2,0.000028,use Config;
0.000061,3,0.000020,use Exporter 5.57   (qw/import/);
0.000041,3,0.000014,use File::Spec 0.86 ();          # shipped with 5.8.1
0.000123,2,0.000062,use Carp ();
0.000000,0,0.000000,
0.000001,1,0.000001,our @EXPORT    = qw/path/;
0.000001,1,0.000001,our @EXPORT_OK = qw/cwd rootdir tempfile tempdir/;
0.000000,0,0.000000,
0.000000,0,0.000000,use constant {
0.000001,1,0.000001,PATH     => 0,
0.000000,0,0.000000,CANON    => 1,
0.000000,0,0.000000,VOL      => 2,
0.000000,0,0.000000,DIR      => 3,
0.000000,0,0.000000,FILE     => 4,
0.000000,0,0.000000,TEMP     => 5,
0.000000,0,0.000000,IS_WIN32 => ( $^O eq 'MSWin32' ),
0.000097,1,0.000097,};
0.000000,0,0.000000,
0.000000,0,0.000000,use overload (
0.000000,0,0.000000,q{""}    => 'stringify',
0.000000,0,0.000000,bool     => sub () { 1 },
0.000001,1,0.000001,fallback => 1,
0.000102,1,0.000102,);
0.000000,0,0.000000,
0.000000,0,0.000000,# FREEZE/THAW per Sereal/CBOR/Types::Serialiser protocol
0.000000,0,0.000000,sub THAW   { return path( $_[2] ) }
0.000432,4,0.000108,{ no warnings 'once'; *TO_JSON = *FREEZE = \&stringify };
0.000000,0,0.000000,
0.000000,1,0.000000,my $HAS_UU; # has Unicode::UTF8; lazily populated
0.000000,0,0.000000,
0.000000,0,0.000000,sub _check_UU {
0.000000,0,0.000000,local $SIG{__DIE__}; # prevent outer handler from being called
0.000000,0,0.000000,!!eval {
0.000000,0,0.000000,require Unicode::UTF8;
0.000000,0,0.000000,Unicode::UTF8->VERSION(0.58);
0.000000,0,0.000000,1;
0.000000,0,0.000000,};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,my $HAS_PU;              # has PerlIO::utf8_strict; lazily populated
0.000000,0,0.000000,
0.000000,0,0.000000,sub _check_PU {
0.000000,0,0.000000,local $SIG{__DIE__}; # prevent outer handler from being called
0.000000,0,0.000000,!!eval {
0.000000,0,0.000000,# MUST preload Encode or $SIG{__DIE__} localization fails
0.000000,0,0.000000,# on some Perl 5.8.8 (maybe other 5.8.*) compiled with -O2.
0.000000,0,0.000000,require Encode;
0.000000,0,0.000000,require PerlIO::utf8_strict;
0.000000,0,0.000000,PerlIO::utf8_strict->VERSION(0.003);
0.000000,0,0.000000,1;
0.000000,0,0.000000,};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000008,1,0.000008,my $HAS_FLOCK = $Config{d_flock} || $Config{d_fcntl_can_lock} || $Config{d_lockf};
0.000000,0,0.000000,
0.000000,0,0.000000,# notions of "root" directories differ on Win32: \\server\dir\ or C:\ or \
0.000006,1,0.000006,my $SLASH      = qr{[\\/]};
0.000002,1,0.000002,my $NOTSLASH   = qr{[^\\/]};
0.000002,1,0.000002,my $DRV_VOL    = qr{[a-z]:}i;
0.000048,1,0.000048,my $UNC_VOL    = qr{$SLASH $SLASH $NOTSLASH+ $SLASH $NOTSLASH+}x;
0.000075,1,0.000075,my $WIN32_ROOT = qr{(?: $UNC_VOL $SLASH | $DRV_VOL $SLASH | $SLASH )}x;
0.000000,0,0.000000,
0.000000,0,0.000000,sub _win32_vol {
0.000000,0,0.000000,my ( $path, $drv ) = @_;
0.000000,0,0.000000,require Cwd;
0.000000,0,0.000000,my $dcwd = eval { Cwd::getdcwd($drv) }; # C: -> C:\some\cwd
0.000000,0,0.000000,# getdcwd on non-existent drive returns empty string
0.000000,0,0.000000,# so just use the original drive Z: -> Z:
0.000000,0,0.000000,$dcwd = "$drv" unless defined $dcwd && length $dcwd;
0.000000,0,0.000000,# normalize dwcd to end with a slash: might be C:\some\cwd or D:\ or Z:
0.000000,0,0.000000,$dcwd =~ s{$SLASH?\z}{/};
0.000000,0,0.000000,# make the path absolute with dcwd
0.000000,0,0.000000,$path =~ s{^$DRV_VOL}{$dcwd};
0.000000,0,0.000000,return $path;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# This is a string test for before we have the object; see is_rootdir for well-formed
0.000000,0,0.000000,# object test
0.000000,0,0.000000,sub _is_root {
0.000076,28,0.000003,return IS_WIN32() ? ( $_[0] =~ /^$WIN32_ROOT\z/ ) : ( $_[0] eq '/' );
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000008,1,0.000008,*_same = IS_WIN32() ? sub { lc( $_[0] ) eq lc( $_[1] ) } : sub { $_[0] eq $_[1] };
0.000364,1,0.000364,}
0.000000,0,0.000000,
0.000000,0,0.000000,# mode bits encoded for chmod in symbolic mode
0.000003,1,0.000003,my %MODEBITS = ( om => 0007, gm => 0070, um => 0700 ); ## no critic
0.000008,3,0.000003,{ my $m = 0; $MODEBITS{$_} = ( 1 << $m++ ) for qw/ox ow or gx gw gr ux uw ur/ };
0.000000,0,0.000000,
0.000000,0,0.000000,sub _symbolic_chmod {
0.000000,0,0.000000,my ( $mode, $symbolic ) = @_;
0.000000,0,0.000000,for my $clause ( split /,\s*/, $symbolic ) {
0.000000,0,0.000000,if ( $clause =~ m{\A([augo]+)([=+-])([rwx]+)\z} ) {
0.000000,0,0.000000,my ( $who, $action, $perms ) = ( $1, $2, $3 );
0.000000,0,0.000000,$who =~ s/a/ugo/g;
0.000000,0,0.000000,for my $w ( split //, $who ) {
0.000000,0,0.000000,my $p = 0;
0.000000,0,0.000000,$p |= $MODEBITS{"$w$_"} for split //, $perms;
0.000000,0,0.000000,if ( $action eq '=' ) {
0.000000,0,0.000000,$mode = ( $mode & ~$MODEBITS{"${w}m"} ) | $p;
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,$mode = $action eq "+" ? ( $mode | $p ) : ( $mode & ~$p );
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,Carp::croak("Invalid mode clause '$clause' for chmod()");
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,return $mode;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# flock doesn't work on NFS on BSD or on some filesystems like lustre.
0.000000,0,0.000000,# Since program authors often can't control or detect that, we warn once
0.000000,0,0.000000,# instead of being fatal if we can detect it and people who need it strict
0.000000,0,0.000000,# can fatalize the 'flock' category
0.000000,0,0.000000,
0.000000,0,0.000000,#<<< No perltidy
0.004479,2,0.002239,{ package flock; use warnings::register }
0.000000,0,0.000000,#>>>
0.000000,0,0.000000,
0.000001,2,0.000000,my $WARNED_NO_FLOCK = 0;
0.000000,0,0.000000,
0.000000,0,0.000000,sub _throw {
0.000000,0,0.000000,my ( $self, $function, $file, $msg ) = @_;
0.000000,0,0.000000,if (   $function =~ /^flock/
