# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Pod::Simple::BlackBox;
0.000000,0,0.000000,#
0.000000,0,0.000000,# "What's in the box?"  "Pain."
0.000000,0,0.000000,#
0.000000,0,0.000000,###########################################################################
0.000000,0,0.000000,#
0.000000,0,0.000000,# This is where all the scary things happen: parsing lines into
0.000000,0,0.000000,#  paragraphs; and then into directives, verbatims, and then also
0.000000,0,0.000000,#  turning formatting sequences into treelets.
0.000000,0,0.000000,#
0.000000,0,0.000000,# Are you really sure you want to read this code?
0.000000,0,0.000000,#
0.000000,0,0.000000,#-----------------------------------------------------------------------------
0.000000,0,0.000000,#
0.000000,0,0.000000,# The basic work of this module Pod::Simple::BlackBox is doing the dirty work
0.000000,0,0.000000,# of parsing Pod into treelets (generally one per non-verbatim paragraph), and
0.000000,0,0.000000,# to call the proper callbacks on the treelets.
0.000000,0,0.000000,#
0.000000,0,0.000000,# Every node in a treelet is a ['name', {attrhash}, ...children...]
0.000000,0,0.000000,
0.000027,2,0.000013,use integer; # vroom!
0.000020,2,0.000010,use strict;
0.000017,2,0.000008,use Carp ();
0.000134,2,0.000067,use vars qw($VERSION );
0.000001,1,0.000001,$VERSION = '3.43';
0.000000,0,0.000000,#use constant DEBUG => 7;
0.000000,0,0.000000,
0.000000,0,0.000000,sub my_qr ($$) {
0.000000,0,0.000000,
0.000000,0,0.000000,# $1 is a pattern to compile and return.  Older perls compile any
0.000000,0,0.000000,# syntactically valid property, even if it isn't legal.  To cope with
0.000000,0,0.000000,# this, return an empty string unless the compiled pattern also
0.000000,0,0.000000,# successfully matches $2, which the caller furnishes.
0.000000,0,0.000000,
0.000007,9,0.000001,my ($input_re, $should_match) = @_;
0.000000,0,0.000000,# XXX could have a third parameter $shouldnt_match for extra safety
0.000000,0,0.000000,
0.000021,9,0.000002,my $use_utf8 = ($] le 5.006002) ? 'use utf8;' : "";
0.000000,0,0.000000,
0.000493,9,0.000055,my $re = eval "no warnings; $use_utf8 qr/$input_re/";
0.000000,0,0.000000,#print STDERR  __LINE__, ": $input_re: $@\n" if $@;
0.000002,9,0.000000,return "" if $@;
0.000000,0,0.000000,
0.000477,9,0.000053,my $matches = eval "no warnings; $use_utf8 '$should_match' =~ /$re/";
0.000000,0,0.000000,#print STDERR  __LINE__, ": $input_re: $@\n" if $@;
0.000001,9,0.000000,return "" if $@;
0.000000,0,0.000000,
0.000000,0,0.000000,#print STDERR  __LINE__, ": SUCCESS: $re\n" if $matches;
0.000021,9,0.000002,return $re if $matches;
0.000000,0,0.000000,
0.000000,0,0.000000,#print STDERR  __LINE__, ": $re: didn't match\n";
0.000000,0,0.000000,return "";
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000001,1,0.000001,require Pod::Simple;
0.000005,1,0.000005,*DEBUG = \&Pod::Simple::DEBUG unless defined &DEBUG
0.000071,1,0.000071,}
0.000000,0,0.000000,
0.000000,0,0.000000,# Matches a character iff the character will have a different meaning
0.000000,0,0.000000,# if we choose CP1252 vs UTF-8 if there is no =encoding line.
0.000000,0,0.000000,# This is broken for early Perls on non-ASCII platforms.
0.000004,1,0.000004,my $non_ascii_re = my_qr('[[:^ascii:]]', "\xB6");
0.000000,1,0.000000,$non_ascii_re = qr/[\x80-\xFF]/ unless $non_ascii_re;
0.000000,0,0.000000,
0.000000,0,0.000000,# Use patterns understandable by Perl 5.6, if possible
0.000720,4,0.000180,my $cs_re = do { no warnings; my_qr('\p{IsCs}', "\x{D800}") };
0.000000,1,0.000000,my $cn_re = my_qr('\p{IsCn}', "\x{09E4}");  # <reserved> code point unlikely
0.000000,0,0.000000,# to get assigned
0.000002,1,0.000002,my $rare_blocks_re = my_qr('[\p{InIPAExtensions}\p{InSpacingModifierLetters}]',
0.000000,0,0.000000,"\x{250}");
0.000000,1,0.000000,$rare_blocks_re = my_qr('[\x{0250}-\x{02FF}]', "\x{250}") unless $rare_blocks_re;
0.000000,0,0.000000,
0.000034,1,0.000034,my $script_run_re = eval 'no warnings "experimental::script_run";
0.000000,0,0.000000,qr/(*script_run: ^ .* $ )/x';
0.000000,1,0.000000,my $latin_re = my_qr('[\p{IsLatin}\p{IsInherited}\p{IsCommon}]', "\x{100}");
0.000001,1,0.000001,unless ($latin_re) {
0.000000,0,0.000000,# This was machine generated to be the ranges of the union of the above
0.000000,0,0.000000,# three properties, with things that were undefined by Unicode 4.1 filling
0.000000,0,0.000000,# gaps.  That is the version in use when Perl advanced enough to
0.000000,0,0.000000,# successfully compile and execute the above pattern.
0.000000,0,0.000000,$latin_re = my_qr('[\x00-\x{02E9}\x{02EC}-\x{0374}\x{037E}\x{0385}\x{0387}\x{0485}\x{0486}\x{0589}\x{060C}\x{061B}\x{061F}\x{0640}\x{064B}-\x{0655}\x{0670}\x{06DD}\x{0951}-\x{0954}\x{0964}\x{0965}\x{0E3F}\x{10FB}\x{16EB}-\x{16ED}\x{1735}\x{1736}\x{1802}\x{1803}\x{1805}\x{1D00}-\x{1D25}\x{1D2C}-\x{1D5C}\x{1D62}-\x{1D65}\x{1D6B}-\x{1D77}\x{1D79}-\x{1DBE}\x{1DC0}-\x{1EF9}\x{2000}-\x{2125}\x{2127}-\x{27FF}\x{2900}-\x{2B13}\x{2E00}-\x{2E1D}\x{2FF0}-\x{3004}\x{3006}\x{3008}-\x{3020}\x{302A}-\x{302D}\x{3030}-\x{3037}\x{303C}-\x{303F}\x{3099}-\x{309C}\x{30A0}\x{30FB}\x{30FC}\x{3190}-\x{319F}\x{31C0}-\x{31CF}\x{3220}-\x{325F}\x{327F}-\x{32CF}\x{3358}-\x{33FF}\x{4DC0}-\x{4DFF}\x{A700}-\x{A716}\x{FB00}-\x{FB06}\x{FD3E}\x{FD3F}\x{FE00}-\x{FE6B}\x{FEFF}-\x{FF65}\x{FF70}\x{FF9E}\x{FF9F}\x{FFE0}-\x{FFFD}\x{10100}-\x{1013F}\x{1D000}-\x{1D1DD}\x{1D300}-\x{1D7FF}]', "\x{100}");
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000001,1,0.000001,my $every_char_is_latin_re = my_qr("^(?:$latin_re)*\\z", "A");
0.000000,0,0.000000,
0.000000,0,0.000000,# Latin script code points not in the first release of Unicode
0.000001,1,0.000001,my $later_latin_re = my_qr('[^\P{IsLatin}\p{IsAge=1.1}]', "\x{1F6}");
0.000000,0,0.000000,
0.000000,0,0.000000,# If this perl doesn't have the Deprecated property, there's only one code
0.000000,0,0.000000,# point in it that we need be concerned with.
0.000000,1,0.000000,my $deprecated_re = my_qr('\p{IsDeprecated}', "\x{149}");
0.000000,1,0.000000,$deprecated_re = qr/\x{149}/ unless $deprecated_re;
0.000000,0,0.000000,
0.000000,1,0.000000,my $utf8_bom;
0.000001,1,0.000001,if (($] ge 5.007_003)) {
0.000000,1,0.000000,$utf8_bom = "\x{FEFF}";
0.000005,1,0.000005,utf8::encode($utf8_bom);
0.000000,0,0.000000,} else {
0.000000,0,0.000000,$utf8_bom = "\xEF\xBB\xBF";   # No EBCDIC BOM detection for early Perls.
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# This is used so that the 'content_seen' method doesn't return true on a
0.000000,0,0.000000,# file that just happens to have a line that matches /^=[a-zA-z]/.  Only if
0.000000,0,0.000000,# there is a valid =foo line will we return that content was seen.
0.000000,1,0.000000,my $seen_legal_directive = 0;
0.000000,0,0.000000,
0.000000,0,0.000000,#@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@
0.000000,0,0.000000,
0.000000,0,0.000000,sub parse_line { shift->parse_lines(@_) } # alias
0.000000,0,0.000000,
0.000000,0,0.000000,# - - -  Turn back now!  Run away!  - - -
0.000000,0,0.000000,
0.000000,0,0.000000,sub parse_lines {             # Usage: $parser->parse_lines(@lines)
0.000000,0,0.000000,# an undef means end-of-stream
0.000000,0,0.000000,my $self = shift;
0.000000,0,0.000000,
0.000000,0,0.000000,my $code_handler = $self->{'code_handler'};
0.000000,0,0.000000,my $cut_handler  = $self->{'cut_handler'};
0.000000,0,0.000000,my $wl_handler   = $self->{'whiteline_handler'};
0.000000,0,0.000000,$self->{'line_count'} ||= 0;
0.000000,0,0.000000,
0.000000,0,0.000000,my $scratch;
0.000000,0,0.000000,
0.000000,0,0.000000,DEBUG > 4 and
0.000000,0,0.000000,print STDERR "# Parsing starting at line ", $self->{'line_count'}, ".\n";
0.000000,0,0.000000,
0.000000,0,0.000000,DEBUG > 5 and
0.000000,0,0.000000,print STDERR "#  About to parse lines: ",
0.000000,0,0.000000,join(' ', map defined($_) ? "[$_]" : "EOF", @_), "\n";
0.000000,0,0.000000,
0.000000,0,0.000000,my $paras = ($self->{'paras'} ||= []);
0.000000,0,0.000000,# paragraph buffer.  Because we need to defer processing of =over
0.000000,0,0.000000,# directives and verbatim paragraphs.  We call _ponder_paragraph_buffer
0.000000,0,0.000000,# to process this.
0.000000,0,0.000000,
0.000000,0,0.000000,$self->{'pod_para_count'} ||= 0;
0.000000,0,0.000000,
0.000000,0,0.000000,# An attempt to match the pod portions of a line.  This is not fool proof,
0.000000,0,0.000000,# but is good enough to serve as part of the heuristic for guessing the pod
0.000000,0,0.000000,# encoding if not specified.
0.000000,0,0.000000,my $codes = join '', grep { / ^ [A-Za-z] $/x } sort keys %{$self->{accept_codes}};
0.000000,0,0.000000,my $pod_chars_re = qr/ ^ = [A-Za-z]+ | [\Q$codes\E] < /x;
0.000000,0,0.000000,
0.000000,0,0.000000,my $line;
0.000000,0,0.000000,foreach my $source_line (@_) {
0.000000,0,0.000000,if( $self->{'source_dead'} ) {
0.000000,0,0.000000,DEBUG > 4 and print STDERR "# Source is dead.\n";
0.000000,0,0.000000,last;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,unless( defined $source_line ) {
