# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,
0.000011,1,0.000011,require 5;
0.000000,0,0.000000,package Pod::Simple;
0.000036,2,0.000018,use strict;
0.000047,2,0.000024,use Carp ();
0.000021,1,0.000021,BEGIN           { *DEBUG = sub () {0} unless defined &DEBUG }
0.000032,2,0.000016,use integer;
0.000326,3,0.000109,use Pod::Escapes 1.04 ();
0.000250,2,0.000125,use Pod::Simple::LinkSection ();
0.000017,2,0.000008,use Pod::Simple::BlackBox ();
0.000291,2,0.000146,use Pod::Simple::TiedOutFH;
0.000000,0,0.000000,#use utf8;
0.000000,0,0.000000,
0.000000,1,0.000000,use vars qw(
0.000000,0,0.000000,$VERSION @ISA
0.000000,0,0.000000,@Known_formatting_codes  @Known_directives
0.000000,0,0.000000,%Known_formatting_codes  %Known_directives
0.000000,0,0.000000,$NL
0.000181,1,0.000181,);
0.000000,0,0.000000,
0.000011,1,0.000011,@ISA = ('Pod::Simple::BlackBox');
0.000000,1,0.000000,$VERSION = '3.43';
0.000000,0,0.000000,
0.000002,1,0.000002,@Known_formatting_codes = qw(I B C L E F S X Z); 
0.000006,1,0.000006,%Known_formatting_codes = map(($_=>1), @Known_formatting_codes);
0.000001,1,0.000001,@Known_directives       = qw(head1 head2 head3 head4 head5 head6 item over back); 
0.000005,1,0.000005,%Known_directives       = map(($_=>'Plain'), @Known_directives);
0.000002,1,0.000002,$NL = $/ unless defined $NL;
0.000000,0,0.000000,
0.000000,0,0.000000,#-----------------------------------------------------------------------------
0.000000,0,0.000000,# Set up some constants:
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000001,1,0.000001,if(defined &ASCII)    { }
0.000000,0,0.000000,elsif(chr(65) eq 'A') { *ASCII = sub () {1}  }
0.000000,0,0.000000,else                  { *ASCII = sub () {''} }
0.000000,0,0.000000,
0.000001,1,0.000001,unless(defined &MANY_LINES) { *MANY_LINES = sub () {20} }
0.000000,0,0.000000,DEBUG > 4 and print STDERR "MANY_LINES is ", MANY_LINES(), "\n";
0.000028,1,0.000028,unless(MANY_LINES() >= 1) {
0.000000,0,0.000000,die "MANY_LINES is too small (", MANY_LINES(), ")!\nAborting";
0.000000,0,0.000000,}
0.000002,1,0.000002,if(defined &UNICODE) { }
0.000000,0,0.000000,elsif($] >= 5.008)   { *UNICODE = sub() {1}  }
0.000000,0,0.000000,else                 { *UNICODE = sub() {''} }
0.000245,1,0.000245,}
0.000000,0,0.000000,if(DEBUG > 2) {
0.000000,0,0.000000,print STDERR "# We are ", ASCII ? '' : 'not ', "in ASCII-land\n";
0.000000,0,0.000000,print STDERR "# We are under a Unicode-safe Perl.\n";
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# The NO BREAK SPACE and SOFT HYHPEN are used in several submodules.
0.000005,1,0.000005,if ($] ge 5.007_003) {  # On sufficiently modern Perls we can handle any
