# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,#
0.000000,0,0.000000,#  Copyright (c) 1995-2001, Raphael Manfredi
0.000000,0,0.000000,#  Copyright (c) 2002-2014 by the Perl 5 Porters
0.000000,0,0.000000,#  Copyright (c) 2015-2016 cPanel Inc
0.000000,0,0.000000,#  Copyright (c) 2017 Reini Urban
0.000000,0,0.000000,#
0.000000,0,0.000000,#  You may redistribute only under the same terms as Perl 5, as specified
0.000000,0,0.000000,#  in the README file that comes with the distribution.
0.000000,0,0.000000,#
0.000000,0,0.000000,
0.000073,1,0.000073,BEGIN { require XSLoader }
0.000001,1,0.000001,require Exporter;
0.000000,0,0.000000,package Storable;
0.000000,0,0.000000,
0.000008,1,0.000008,our @ISA = qw(Exporter);
0.000001,1,0.000001,our @EXPORT = qw(store retrieve);
0.000002,1,0.000002,our @EXPORT_OK = qw(
0.000000,0,0.000000,nstore store_fd nstore_fd fd_retrieve
0.000000,0,0.000000,freeze nfreeze thaw
0.000000,0,0.000000,dclone
0.000000,0,0.000000,retrieve_fd
0.000000,0,0.000000,lock_store lock_nstore lock_retrieve
0.000000,0,0.000000,file_magic read_magic
0.000000,0,0.000000,BLESS_OK TIE_OK FLAGS_COMPAT
0.000000,0,0.000000,stack_depth stack_depth_hash
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,our ($canonical, $forgive_me);
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000003,1,0.000003,our $VERSION = '3.26';
0.000035,1,0.000035,}
0.000000,0,0.000000,
0.000000,0,0.000000,our $recursion_limit;
0.000000,0,0.000000,our $recursion_limit_hash;
0.000000,0,0.000000,
0.000000,1,0.000000,$recursion_limit = 512
0.000000,0,0.000000,unless defined $recursion_limit;
0.000000,1,0.000000,$recursion_limit_hash = 256
0.000000,0,0.000000,unless defined $recursion_limit_hash;
0.000000,0,0.000000,
0.000086,2,0.000043,use Carp;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000001,1,0.000001,if (eval {
0.000001,1,0.000001,local $SIG{__DIE__};
0.000001,1,0.000001,local @INC = @INC;
0.000001,1,0.000001,pop @INC if $INC[-1] eq '.';
0.000085,1,0.000085,require Log::Agent;
0.000000,0,0.000000,1;
0.000000,0,0.000000,}) {
