# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Try::Tiny; # git description: v0.30-11-g1b81d0a
0.000050,2,0.000025,use 5.006;
0.000000,0,0.000000,# ABSTRACT: Minimal try/catch with proper preservation of $@
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.31';
0.000000,0,0.000000,
0.000019,2,0.000010,use strict;
0.000017,2,0.000008,use warnings;
0.000000,0,0.000000,
0.000044,3,0.000015,use Exporter 5.57 'import';
0.000001,1,0.000001,our @EXPORT = our @EXPORT_OK = qw(try catch finally);
0.000000,0,0.000000,
0.000166,2,0.000083,use Carp;
0.000000,1,0.000000,$Carp::Internal{+__PACKAGE__}++;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000001,1,0.000001,my $su = $INC{'Sub/Util.pm'} && defined &Sub::Util::set_subname;
0.000000,1,0.000000,my $sn = $INC{'Sub/Name.pm'} && eval { Sub::Name->VERSION(0.08) };
0.000000,1,0.000000,unless ($su || $sn) {
0.000000,0,0.000000,$su = eval { require Sub::Util; } && defined &Sub::Util::set_subname;
0.000000,0,0.000000,unless ($su) {
0.000000,0,0.000000,$sn = eval { require Sub::Name; Sub::Name->VERSION(0.08) };
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,*_subname = $su ? \&Sub::Util::set_subname
0.000000,0,0.000000,: $sn ? \&Sub::Name::subname
0.000001,1,0.000001,: sub { $_[1] };
0.000007,1,0.000007,*_HAS_SUBNAME = ($su || $sn) ? sub(){1} : sub(){0};
0.000278,1,0.000278,}
0.000000,0,0.000000,
0.000000,1,0.000000,my %_finally_guards;
0.000000,0,0.000000,
0.000000,0,0.000000,# Need to prototype as @ not $$ because of the way Perl evaluates the prototype.
0.000000,0,0.000000,# Keeping it at $$ means you only ever get 1 sub because we need to eval in a list
0.000000,0,0.000000,# context & not a scalar one
0.000000,0,0.000000,
0.000000,0,0.000000,sub try (&;@) {
0.000002,2,0.000001,my ( $try, @code_refs ) = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,# we need to save this here, the eval block will be in scalar context due
0.000000,0,0.000000,# to $failed
0.000001,2,0.000000,my $wantarray = wantarray;
0.000000,0,0.000000,
0.000000,0,0.000000,# work around perl bug by explicitly initializing these, due to the likelyhood
0.000000,0,0.000000,# this will be used in global destruction (perl rt#119311)
0.000000,2,0.000000,my ( $catch, @finally ) = ();
0.000000,0,0.000000,
0.000000,0,0.000000,# find labeled blocks in the argument list.
0.000000,0,0.000000,# catch and finally tag the blocks by blessing a scalar reference to them.
0.000000,2,0.000000,foreach my $code_ref (@code_refs) {
0.000000,0,0.000000,
0.000002,2,0.000001,if ( ref($code_ref) eq 'Try::Tiny::Catch' ) {
0.000002,2,0.000001,croak 'A try() may not be followed by multiple catch() blocks'
0.000000,0,0.000000,if $catch;
0.000000,2,0.000000,$catch = ${$code_ref};
0.000000,0,0.000000,} elsif ( ref($code_ref) eq 'Try::Tiny::Finally' ) {
0.000000,0,0.000000,push @finally, ${$code_ref};
0.000000,0,0.000000,} else {
0.000000,0,0.000000,croak(
0.000000,0,0.000000,'try() encountered an unexpected argument ('
0.000000,0,0.000000,. ( defined $code_ref ? $code_ref : 'undef' )
0.000000,0,0.000000,. ') - perhaps a missing semi-colon before or'
0.000000,0,0.000000,);
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# FIXME consider using local $SIG{__DIE__} to accumulate all errors. It's
0.000000,0,0.000000,# not perfect, but we could provide a list of additional errors for
0.000000,0,0.000000,# $catch->();
0.000000,0,0.000000,
0.000000,0,0.000000,# name the blocks if we have Sub::Name installed
0.000037,2,0.000018,_subname(caller().'::try {...} ' => $try)
0.000000,0,0.000000,if _HAS_SUBNAME;
0.000000,0,0.000000,
0.000000,0,0.000000,# set up scope guards to invoke the finally blocks at the end.
0.000000,0,0.000000,# this should really be a function scope lexical variable instead of
0.000000,0,0.000000,# file scope + local but that causes issues with perls < 5.20 due to
0.000000,0,0.000000,# perl rt#119311
0.000000,0,0.000000,local $_finally_guards{guards} = [
0.000004,2,0.000002,map Try::Tiny::ScopeGuard->_new($_),
0.000000,0,0.000000,@finally
0.000000,0,0.000000,];
0.000000,0,0.000000,
0.000000,0,0.000000,# save the value of $@ so we can set $@ back to it in the beginning of the eval
0.000000,0,0.000000,# and restore $@ after the eval finishes
0.000001,2,0.000000,my $prev_error = $@;
0.000000,0,0.000000,
0.000001,2,0.000000,my ( @ret, $error );
0.000000,0,0.000000,
0.000000,0,0.000000,# failed will be true if the eval dies, because 1 will not be returned
0.000000,0,0.000000,# from the eval body
0.000002,2,0.000001,my $failed = not eval {
0.000001,2,0.000000,$@ = $prev_error;
