# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,# INTERNAL MODULE: guts for Dict type from Types::Standard.
0.000000,0,0.000000,
0.000000,0,0.000000,package Types::Standard::Dict;
0.000000,0,0.000000,
0.000074,2,0.000037,use 5.008001;
0.000031,2,0.000016,use strict;
0.000087,2,0.000044,use warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000000,1,0.000000,$Types::Standard::Dict::AUTHORITY = 'cpan:TOBYINK';
0.000005,1,0.000005,$Types::Standard::Dict::VERSION   = '2.000001';
0.000090,1,0.000090,}
0.000000,0,0.000000,
0.000002,1,0.000002,$Types::Standard::Dict::VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.000060,2,0.000030,use Types::Standard ();
0.000125,2,0.000063,use Types::TypeTiny ();
0.000000,0,0.000000,
0.000000,0,0.000000,sub _croak ($;@) {
0.000000,0,0.000000,require Carp;
0.000000,0,0.000000,goto \&Carp::confess;
0.000000,0,0.000000,require Error::TypeTiny;
0.000000,0,0.000000,goto \&Error::TypeTiny::croak;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000006,1,0.000006,my $_Slurpy   = Types::Standard::Slurpy;
0.000002,1,0.000002,my $_optional = Types::Standard::Optional;
0.000002,1,0.000002,my $_hash     = Types::Standard::HashRef;
0.000002,1,0.000002,my $_map      = Types::Standard::Map;
0.000002,1,0.000002,my $_any      = Types::Standard::Any;
0.000000,0,0.000000,
0.003272,2,0.001636,no warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,sub pair_iterator {
0.000009,8,0.000001,_croak( "Expected even-sized list" ) if @_ % 2;
0.000014,8,0.000002,my @array = @_;
0.000000,0,0.000000,sub {
0.000016,72,0.000000,return unless @array;
0.000138,64,0.000002,splice( @array, 0, 2 );
0.000031,8,0.000004,};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub __constraint_generator {
0.000035,4,0.000009,my $slurpy =
0.000000,0,0.000000,@_
0.000000,0,0.000000,&& Types::TypeTiny::is_TypeTiny( $_[-1] )
0.000000,0,0.000000,&& $_[-1]->is_strictly_a_type_of( $_Slurpy )
0.000000,0,0.000000,? pop->my_unslurpy
0.000000,0,0.000000,: undef;
0.000008,4,0.000002,my $iterator = pair_iterator @_;
0.000003,4,0.000001,my %constraints;
0.000000,0,0.000000,my %is_optional;
0.000000,0,0.000000,my @keys;
0.000000,0,0.000000,
0.000074,4,0.000018,while ( my ( $k, $v ) = $iterator->() ) {
0.000023,32,0.000001,$constraints{$k} = $v;
0.000037,32,0.000001,Types::TypeTiny::is_TypeTiny( $v )
0.000000,0,0.000000,or _croak(
0.000000,0,0.000000,"Parameter for Dict[...] with key '$k' expected to be a type constraint; got $v"
0.000000,0,0.000000,);
0.000030,32,0.000001,Types::TypeTiny::is_StringLike( $k )
0.000000,0,0.000000,or _croak( "Key for Dict[...] expected to be string; got $k" );
0.000014,32,0.000000,push @keys, $k;
0.000064,32,0.000002,$is_optional{$k} = !!$constraints{$k}->is_strictly_a_type_of( $_optional );
0.000000,0,0.000000,} #/ while ( my ( $k, $v ) = $iterator...)
0.000000,0,0.000000,
0.000000,0,0.000000,return sub {
0.000000,0,0.000000,my $value = $_[0];
0.000000,0,0.000000,if ( $slurpy ) {
0.000000,0,0.000000,my %tmp = map +( exists( $constraints{$_} ) ? () : ( $_ => $value->{$_} ) ),
0.000000,0,0.000000,keys %$value;
0.000000,0,0.000000,return unless $slurpy->check( \%tmp );
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,exists( $constraints{$_} ) || return for sort keys %$value;
0.000000,0,0.000000,}
0.000000,0,0.000000,for my $k ( @keys ) {
0.000000,0,0.000000,exists( $value->{$k} )                  or ( $is_optional{$k} ? next : return );
0.000000,0,0.000000,$constraints{$k}->check( $value->{$k} ) or return;
0.000000,0,0.000000,}
0.000000,0,0.000000,return !!1;
0.000037,4,0.000009,};
0.000000,0,0.000000,} #/ sub __constraint_generator
0.000000,0,0.000000,
0.000000,0,0.000000,sub __inline_generator {
0.000000,0,0.000000,
0.000000,0,0.000000,# We can only inline a parameterized Dict if all the
0.000000,0,0.000000,# constraints inside can be inlined.
0.000000,0,0.000000,
0.000025,4,0.000006,my $slurpy =
0.000000,0,0.000000,@_
0.000000,0,0.000000,&& Types::TypeTiny::is_TypeTiny( $_[-1] )
0.000000,0,0.000000,&& $_[-1]->is_strictly_a_type_of( $_Slurpy )
0.000000,0,0.000000,? pop->my_unslurpy
0.000000,0,0.000000,: undef;
0.000013,4,0.000003,return if $slurpy && !$slurpy->can_be_inlined;
0.000000,0,0.000000,
0.000000,0,0.000000,# Is slurpy a very loose type constraint?
0.000000,0,0.000000,# i.e. Any, Item, Defined, Ref, or HashRef
0.000012,4,0.000003,my $slurpy_is_any = $slurpy && $_hash->is_a_type_of( $slurpy );
0.000000,0,0.000000,
0.000000,0,0.000000,# Is slurpy a parameterized Map, or expressable as a parameterized Map?
0.000024,4,0.000006,my $slurpy_is_map =
0.000000,0,0.000000,$slurpy
0.000000,0,0.000000,&& $slurpy->is_parameterized
0.000000,0,0.000000,&& (
0.000000,0,0.000000,( $slurpy->parent->strictly_equals( $_map ) && $slurpy->parameters )
0.000000,0,0.000000,|| ( $slurpy->parent->strictly_equals( $_hash )
0.000000,0,0.000000,&& [ $_any, $slurpy->parameters->[0] ] )
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000004,4,0.000001,my $iterator = pair_iterator @_;
0.000002,4,0.000000,my %constraints;
0.000000,0,0.000000,my @keys;
0.000000,0,0.000000,
0.000037,4,0.000009,while ( my ( $k, $c ) = $iterator->() ) {
0.000015,32,0.000000,return unless $c->can_be_inlined;
0.000020,32,0.000001,$constraints{$k} = $c;
0.000012,32,0.000000,push @keys, $k;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000020,4,0.000005,my $regexp = join "|", map quotemeta, @keys;
0.000000,0,0.000000,return sub {
0.000019,24,0.000001,require B;
0.000007,24,0.000000,my $h = $_[1];
0.000000,0,0.000000,join " and ",
0.000000,0,0.000000,Types::Standard::HashRef->inline_check( $h ),
0.000000,0,0.000000,(
0.000000,0,0.000000,$slurpy_is_any
0.000000,0,0.000000,? ()
0.000000,0,0.000000,: $slurpy_is_map ? do {
0.000000,0,0.000000,'(not grep {' . "my \$v = ($h)->{\$_};" . sprintf(
0.000000,0,0.000000,'not((/\\A(?:%s)\\z/) or ((%s) and (%s)))',
0.000000,0,0.000000,$regexp,
0.000000,0,0.000000,$slurpy_is_map->[0]->inline_check( '$_' ),
0.000000,0,0.000000,$slurpy_is_map->[1]->inline_check( '$v' ),
0.000000,0,0.000000,) . "} keys \%{$h})";
0.000000,0,0.000000,}
0.000000,0,0.000000,: $slurpy ? do {
0.000000,0,0.000000,'do {'
0.000000,0,0.000000,. "my \$slurpy_tmp = +{ map /\\A(?:$regexp)\\z/ ? () : (\$_ => ($h)->{\$_}), keys \%{$h} };"
0.000000,0,0.000000,. $slurpy->inline_check( '$slurpy_tmp' ) . '}';
0.000000,0,0.000000,}
0.000000,0,0.000000,: "not(grep !/\\A(?:$regexp)\\z/, keys \%{$h})"
0.000000,0,0.000000,),
0.000000,0,0.000000,(
0.000000,0,0.000000,map {
0.000940,158,0.000006,my $k = B::perlstring( $_ );
0.000000,0,0.000000,$constraints{$_}->is_strictly_a_type_of( $_optional )
0.000000,0,0.000000,? sprintf(
0.000000,0,0.000000,'(!exists %s->{%s} or %s)', $h, $k,
0.000000,0,0.000000,$constraints{$_}->inline_check( "$h\->{$k}" )
0.000000,0,0.000000,)
0.000000,0,0.000000,: (
0.000000,0,0.000000,"exists($h\->{$k})",
0.000829,134,0.000006,$constraints{$_}->inline_check( "$h\->{$k}" )
0.000000,0,0.000000,)
0.000000,0,0.000000,} @keys
0.000000,0,0.000000,),
0.000000,0,0.000000,;
0.000000,0,0.000000,}
0.000029,4,0.000007,} #/ sub __inline_generator
0.000000,0,0.000000,
0.000000,0,0.000000,sub __deep_explanation {
0.000000,0,0.000000,require B;
0.000000,0,0.000000,my ( $type, $value, $varname ) = @_;
0.000000,0,0.000000,my @params = @{ $type->parameters };
0.000000,0,0.000000,
0.000000,0,0.000000,my $slurpy =
