# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Types::TypeTiny;
0.000000,0,0.000000,
0.000070,2,0.000035,use 5.008001;
0.000023,2,0.000012,use strict;
0.000044,2,0.000022,use warnings;
0.000000,0,0.000000,
0.000001,1,0.000001,our $AUTHORITY = 'cpan:TOBYINK';
0.000000,1,0.000000,our $VERSION   = '2.000001';
0.000000,0,0.000000,
0.000002,1,0.000002,$VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.000068,2,0.000034,use Scalar::Util qw< blessed refaddr weaken >;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000000,0,0.000000,*__XS = eval {
0.000084,1,0.000084,require Type::Tiny::XS;
0.000000,0,0.000000,'Type::Tiny::XS'->VERSION( '0.022' );
0.000000,0,0.000000,1;
0.000000,0,0.000000,}
0.000000,0,0.000000,? sub () { !!1 }
0.000000,1,0.000000,: sub () { !!0 };
0.000089,1,0.000089,}
0.000000,0,0.000000,
0.000000,0,0.000000,our @EXPORT_OK = (
0.000009,1,0.000009,map( @{ [ $_, "is_$_", "assert_$_" ] }, __PACKAGE__->type_names ),
0.000000,0,0.000000,qw/to_TypeTiny/
0.000000,0,0.000000,);
0.000005,1,0.000005,our %EXPORT_TAGS = (
0.000000,0,0.000000,types  => [ __PACKAGE__->type_names ],
0.000000,0,0.000000,is     => [ map "is_$_",     __PACKAGE__->type_names ],
0.000000,0,0.000000,assert => [ map "assert_$_", __PACKAGE__->type_names ],
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,1,0.000000,my %cache;
0.000000,0,0.000000,
0.000000,0,0.000000,# This `import` method is designed to avoid loading Exporter::Tiny.
0.000000,0,0.000000,# This is so that if you stick to only using the purely OO parts of
0.000000,0,0.000000,# Type::Tiny, you can skip loading the exporter.
0.000000,0,0.000000,#
0.000000,0,0.000000,sub import {
0.000000,0,0.000000,
0.000000,0,0.000000,# If this sub succeeds, it will replace itself.
0.000000,0,0.000000,# uncoverable subroutine
0.000000,0,0.000000,return unless @_ > 1;                               # uncoverable statement
0.000111,2,0.000056,no warnings "redefine";                             # uncoverable statement
0.000000,0,0.000000,our @ISA = qw( Exporter::Tiny );                    # uncoverable statement
0.000000,0,0.000000,require Exporter::Tiny;                             # uncoverable statement
0.000000,0,0.000000,my $next = \&Exporter::Tiny::import;                # uncoverable statement
0.000000,0,0.000000,*import = $next;                                    # uncoverable statement
0.000000,0,0.000000,my $class = shift;                                  # uncoverable statement
0.000000,0,0.000000,my $opts  = { ref( $_[0] ) ? %{ +shift } : () };    # uncoverable statement
0.000000,0,0.000000,$opts->{into} ||= scalar( caller );                 # uncoverable statement
0.000000,0,0.000000,_mkall();                                           # uncoverable statement
0.000000,0,0.000000,return $class->$next( $opts, @_ );                  # uncoverable statement
0.000000,0,0.000000,} #/ sub import
0.000000,0,0.000000,
0.000001,1,0.000001,for ( __PACKAGE__->type_names ) {    # uncoverable statement
0.001307,6,0.000218,eval qq{                                          # uncoverable statement
0.000000,0,0.000000,sub is_$_     { $_()->check(shift) }           # uncoverable statement
0.000000,0,0.000000,sub assert_$_ { $_()->assert_return(shift) }   # uncoverable statement
0.000000,0,0.000000,};                                  # uncoverable statement
0.000000,0,0.000000,}    # uncoverable statement
0.000000,0,0.000000,
0.000000,0,0.000000,sub _reinstall_subs {
0.000000,0,0.000000,
0.000000,0,0.000000,# uncoverable subroutine
0.000000,0,0.000000,my $type = shift;                                        # uncoverable statement
0.000022,2,0.000011,no strict 'refs';                                        # uncoverable statement
0.000110,2,0.000055,no warnings 'redefine';                                  # uncoverable statement
0.000000,0,0.000000,*{ 'is_' . $type->name }     = $type->compiled_check;    # uncoverable statement
0.000000,0,0.000000,*{ 'assert_' . $type->name } = \&$type;                  # uncoverable statement
0.000000,0,0.000000,$type;                                                   # uncoverable statement
0.000000,0,0.000000,}    # uncoverable statement
0.000000,0,0.000000,
0.000000,0,0.000000,sub _mkall {
0.000000,0,0.000000,
0.000000,0,0.000000,# uncoverable subroutine
0.000000,0,0.000000,return unless $INC{'Type/Tiny.pm'};                         # uncoverable statement
0.000000,0,0.000000,__PACKAGE__->get_type( $_ ) for __PACKAGE__->type_names;    # uncoverable statement
0.000000,0,0.000000,}    # uncoverable statement
0.000000,0,0.000000,
0.000000,0,0.000000,sub meta {
0.000000,0,0.000000,return $_[0];
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub type_names {
0.000008,5,0.000002,qw( CodeLike StringLike TypeTiny HashLike ArrayLike _ForeignTypeConstraint );
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub has_type {
0.000000,0,0.000000,my %has = map +( $_ => 1 ), shift->type_names;
0.000000,0,0.000000,!!$has{ $_[0] };
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub get_type {
0.000000,0,0.000000,my $self = shift;
0.000000,0,0.000000,return unless $self->has_type( @_ );
0.000058,2,0.000029,no strict qw(refs);
0.000000,0,0.000000,&{ $_[0] }();
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub coercion_names {
0.000000,0,0.000000,qw();
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub has_coercion {
0.000000,0,0.000000,my %has = map +( $_ => 1 ), shift->coercion_names;
0.000000,0,0.000000,!!$has{ $_[0] };
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub get_coercion {
0.000000,0,0.000000,my $self = shift;
0.000000,0,0.000000,return unless $self->has_coercion( @_ );
0.000055,2,0.000028,no strict qw(refs);
0.000000,0,0.000000,&{ $_[0] }();    # uncoverable statement
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,1,0.000000,my ( $__get_linear_isa_dfs, $tried_mro );
0.000000,0,0.000000,$__get_linear_isa_dfs = sub {
0.000000,0,0.000000,if ( !$tried_mro && eval { require mro } ) {
0.000000,0,0.000000,$__get_linear_isa_dfs = \&mro::get_linear_isa;
0.000000,0,0.000000,goto $__get_linear_isa_dfs;
0.000000,0,0.000000,}
0.002336,2,0.001168,no strict 'refs';
0.000000,0,0.000000,my $classname = shift;
0.000000,0,0.000000,my @lin       = ( $classname );
0.000000,0,0.000000,my %stored;
0.000000,0,0.000000,foreach my $parent ( @{"$classname\::ISA"} ) {
0.000000,0,0.000000,my $plin = $__get_linear_isa_dfs->( $parent );
0.000000,0,0.000000,foreach ( @$plin ) {
0.000000,0,0.000000,next if exists $stored{$_};
0.000000,0,0.000000,push( @lin, $_ );
0.000000,0,0.000000,$stored{$_} = 1;
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,return \@lin;
0.000002,1,0.000002,};
0.000000,0,0.000000,
0.000000,0,0.000000,sub _check_overload {
0.000000,0,0.000000,my $package = shift;
0.000000,0,0.000000,if ( ref $package ) {
0.000000,0,0.000000,$package = blessed( $package );
0.000000,0,0.000000,return !!0 if !defined $package;
0.000000,0,0.000000,}
0.000000,0,0.000000,my $op  = shift;
0.000000,0,0.000000,my $mro = $__get_linear_isa_dfs->( $package );
0.000000,0,0.000000,foreach my $p ( @$mro ) {
0.000000,0,0.000000,my $fqmeth = $p . q{::(} . $op;
