# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,# ABSTRACT: Writer class for YAML::PP representing output data
0.000033,2,0.000017,use strict;
0.000236,2,0.000118,use warnings;
0.000000,0,0.000000,package YAML::PP::Writer;
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.035'; # VERSION
0.000000,0,0.000000,
0.000000,0,0.000000,sub output { return $_[0]->{output} }
0.000005,1,0.000005,sub set_output { $_[0]->{output} = $_[1] }
0.000000,0,0.000000,
0.000000,0,0.000000,sub new {
0.000000,1,0.000000,my ($class, %args) = @_;
0.000000,1,0.000000,my $output = delete $args{output};
0.000001,1,0.000001,$output = '' unless defined $output;
0.000004,1,0.000004,return bless {
0.000000,0,0.000000,output => $output,
0.000000,0,0.000000,}, $class;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub write {
0.000000,0,0.000000,my ($self, $line) = @_;
0.000000,0,0.000000,$self->{output} .= $line;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub init {
0.000005,1,0.000005,$_[0]->set_output('');
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub finish {
0.000000,0,0.000000,my ($self) = @_;
0.000000,0,0.000000,$_[0]->set_output(undef);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000003,1,0.000003,1;
0.000000,0,0.000000,
0.000000,0,0.000000,__END__
