# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,# ABSTRACT: YAML 1.2 Processor
0.000037,2,0.000018,use strict;
0.000050,2,0.000025,use warnings;
0.000000,0,0.000000,package YAML::PP;
0.000000,0,0.000000,
0.000002,1,0.000002,our $VERSION = '0.035'; # VERSION
0.000000,0,0.000000,
0.000561,2,0.000281,use YAML::PP::Schema;
0.000629,2,0.000315,use YAML::PP::Schema::JSON;
0.000619,2,0.000309,use YAML::PP::Loader;
0.000412,2,0.000206,use YAML::PP::Dumper;
0.000037,2,0.000018,use Scalar::Util qw/ blessed /;
0.000022,2,0.000011,use Carp qw/ croak /;
0.000000,0,0.000000,
0.001154,2,0.000577,use base 'Exporter';
0.000002,1,0.000002,our @EXPORT_OK = qw/ Load LoadFile Dump DumpFile /;
0.000000,0,0.000000,
0.000003,1,0.000003,my %YAML_VERSIONS = ('1.1' => 1, '1.2' => 1);
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,sub new {
0.000003,1,0.000003,my ($class, %args) = @_;
0.000000,0,0.000000,
0.000002,1,0.000002,my $bool = delete $args{boolean};
0.000000,1,0.000000,$bool = 'perl' unless defined $bool;
0.000001,1,0.000001,my $schemas = delete $args{schema} || ['+'];
0.000000,1,0.000000,my $cyclic_refs = delete $args{cyclic_refs} || 'allow';
0.000000,1,0.000000,my $indent = delete $args{indent};
0.000001,1,0.000001,my $width = delete $args{width};
0.000000,1,0.000000,my $writer = delete $args{writer};
0.000001,1,0.000001,my $header = delete $args{header};
0.000000,1,0.000000,my $footer = delete $args{footer};
0.000001,1,0.000001,my $duplicate_keys = delete $args{duplicate_keys};
0.000002,1,0.000002,my $yaml_version = $class->_arg_yaml_version(delete $args{yaml_version});
0.000000,1,0.000000,my $default_yaml_version = $yaml_version->[0];
0.000001,1,0.000001,my $version_directive = delete $args{version_directive};
0.000000,1,0.000000,my $preserve = delete $args{preserve};
0.000000,1,0.000000,my $parser = delete $args{parser};
0.000000,0,0.000000,my $emitter = delete $args{emitter} || {
0.000003,1,0.000003,indent => $indent,
0.000000,0,0.000000,width => $width,
0.000000,0,0.000000,writer => $writer,
0.000000,0,0.000000,};
0.000001,1,0.000001,if (keys %args) {
0.000000,0,0.000000,die "Unexpected arguments: " . join ', ', sort keys %args;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,1,0.000000,my %schemas;
0.000002,1,0.000002,for my $v (@$yaml_version) {
0.000001,1,0.000001,my $schema;
0.000007,1,0.000007,if (blessed($schemas) and $schemas->isa('YAML::PP::Schema')) {
0.000000,0,0.000000,$schema = $schemas;
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000004,1,0.000004,$schema = YAML::PP::Schema->new(
0.000000,0,0.000000,boolean => $bool,
0.000000,0,0.000000,yaml_version => $v,
0.000000,0,0.000000,);
0.000003,1,0.000003,$schema->load_subschemas(@$schemas);
0.000000,0,0.000000,}
