# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package parent;
0.000083,2,0.000041,use strict;
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.238';
0.000000,0,0.000000,
0.000000,0,0.000000,sub import {
0.000001,5,0.000000,my $class = shift;
0.000000,0,0.000000,
0.000009,5,0.000002,my $inheritor = caller(0);
0.000000,0,0.000000,
0.000004,5,0.000001,if ( @_ and $_[0] eq '-norequire' ) {
0.000000,0,0.000000,shift @_;
0.000000,0,0.000000,} else {
0.000026,5,0.000005,for ( my @filename = @_ ) {
0.000044,6,0.000007,s{::|'}{/}g;
0.000129,6,0.000021,require "$_.pm"; # dies if the file is not found
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,{
0.000095,7,0.000014,no strict 'refs';
0.000032,5,0.000006,push @{"$inheritor\::ISA"}, @_; # dies if a loop is detected
0.000000,0,0.000000,};
0.000000,0,0.000000,};
0.000000,0,0.000000,
0.000002,1,0.000002,1;
0.000000,0,0.000000,
0.000000,0,0.000000,__END__
