# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,Profile data that couldn't be associated with a specific line:
0.004801,4,0.001200,use strict; use warnings;
0.000411,2,0.000205,use OpenAPI::Modern;
0.001711,2,0.000856,use YAML::PP;
0.000000,0,0.000000,
0.000002,1,0.000002,my $file = '/Users/ether/git/fastly/Heavenly/docs/heavenly-api.yaml';
0.000019,1,0.000019,my $openapi = OpenAPI::Modern->new(
0.000000,0,0.000000,openapi_uri    => 'docs/heavenly-api.yaml',
0.000000,0,0.000000,openapi_schema => YAML::PP->new( boolean => 'JSON::PP' )->load_file( $file ),
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,
