# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,# -*- buffer-read-only: t -*-
0.000000,0,0.000000,# !!!!!!!   DO NOT EDIT THIS FILE   !!!!!!!
0.000000,0,0.000000,# This file is built by regen/warnings.pl.
0.000000,0,0.000000,# Any changes made here will be lost!
0.000000,0,0.000000,
0.000000,0,0.000000,package warnings;
0.000000,0,0.000000,
0.000001,1,0.000001,our $VERSION = "1.58";
0.000000,0,0.000000,
0.000000,0,0.000000,# Verify that we're called correctly so that warnings will work.
0.000000,0,0.000000,# Can't use Carp, since Carp uses us!
0.000000,0,0.000000,# String regexps because constant folding = smaller optree = less memory vs regexp literal
0.000000,0,0.000000,# see also strict.pm.
0.000043,1,0.000043,die sprintf "Incorrect use of pragma '%s' at %s line %d.\n", __PACKAGE__, +(caller)[1,2]
0.000000,0,0.000000,if __FILE__ !~ ( '(?x) \b     '.__PACKAGE__.'  \.pmc? \z' )
0.000000,0,0.000000,&& __FILE__ =~ ( '(?x) \b (?i:'.__PACKAGE__.') \.pmc? \z' );
0.000000,0,0.000000,
0.000051,1,0.000051,our %Offsets = (
0.000000,0,0.000000,# Warnings Categories added in Perl 5.008
0.000000,0,0.000000,'all'				=> 0,
0.000000,0,0.000000,'closure'				=> 2,
0.000000,0,0.000000,'deprecated'			=> 4,
0.000000,0,0.000000,'exiting'				=> 6,
0.000000,0,0.000000,'glob'				=> 8,
0.000000,0,0.000000,'io'				=> 10,
0.000000,0,0.000000,'closed'				=> 12,
0.000000,0,0.000000,'exec'				=> 14,
0.000000,0,0.000000,'layer'				=> 16,
0.000000,0,0.000000,'newline'				=> 18,
0.000000,0,0.000000,'pipe'				=> 20,
0.000000,0,0.000000,'unopened'				=> 22,
0.000000,0,0.000000,'misc'				=> 24,
0.000000,0,0.000000,'numeric'				=> 26,
0.000000,0,0.000000,'once'				=> 28,
0.000000,0,0.000000,'overflow'				=> 30,
0.000000,0,0.000000,'pack'				=> 32,
0.000000,0,0.000000,'portable'				=> 34,
0.000000,0,0.000000,'recursion'				=> 36,
0.000000,0,0.000000,'redefine'				=> 38,
0.000000,0,0.000000,'regexp'				=> 40,
0.000000,0,0.000000,'severe'				=> 42,
0.000000,0,0.000000,'debugging'				=> 44,
0.000000,0,0.000000,'inplace'				=> 46,
0.000000,0,0.000000,'internal'				=> 48,
0.000000,0,0.000000,'malloc'				=> 50,
0.000000,0,0.000000,'signal'				=> 52,
0.000000,0,0.000000,'substr'				=> 54,
0.000000,0,0.000000,'syntax'				=> 56,
0.000000,0,0.000000,'ambiguous'				=> 58,
0.000000,0,0.000000,'bareword'				=> 60,
0.000000,0,0.000000,'digit'				=> 62,
0.000000,0,0.000000,'parenthesis'			=> 64,
0.000000,0,0.000000,'precedence'			=> 66,
0.000000,0,0.000000,'printf'				=> 68,
0.000000,0,0.000000,'prototype'				=> 70,
