# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,{
0.000001,2,0.000000,my $_UNQUOTED = ${$_[1]->{"\$_UNQUOTED"}};
0.000001,1,0.000001,my $_QUOTED = ${$_[1]->{"\$_QUOTED"}};
0.000000,0,0.000000,package JSON::Schema::Modern;
0.000074,2,0.000037,no warnings 'closure';
0.000000,0,0.000000,sub add_encoding {
0.000000,0,0.000000,($_QUOTED,$_UNQUOTED) if 0;
0.000000,0,0.000000,# BEGIN quote_sub PRELUDE
0.000000,0,0.000000,package Method::Generate::Accessor::_Generated;
0.000000,0,0.000000,BEGIN {
0.000001,1,0.000001,$^H = 2018;
0.000001,1,0.000001,${^WARNING_BITS} = "UUUUUUUUUUUUUUUUUUUU";
0.000015,1,0.000015,%^H = (
0.000000,0,0.000000,);
0.000064,1,0.000064,}
0.000000,0,0.000000,# END quote_sub PRELUDE
0.000000,0,0.000000,shift->_assert__encoding->${\Data::Perl::Collection::Hash::MooseLike->can("set")}(@_);  }
0.000001,1,0.000001,$$_UNQUOTED = \&add_encoding;
0.000000,0,0.000000,}
0.000005,1,0.000005,1;
0.000000,0,0.000000,
0.000000,0,0.000000,;
