# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Carp;
0.000000,0,0.000000,
0.000031,2,0.000016,{ use 5.006; }
0.000013,3,0.000004,use strict;
0.000038,2,0.000019,use warnings;
0.000000,0,0.000000,BEGIN {
0.000000,0,0.000000,# Very old versions of warnings.pm load Carp.  This can go wrong due
0.000000,0,0.000000,# to the circular dependency.  If warnings is invoked before Carp,
0.000000,0,0.000000,# then warnings starts by loading Carp, then Carp (above) tries to
0.000000,0,0.000000,# invoke warnings, and gets nothing because warnings is in the process
0.000000,0,0.000000,# of loading and hasn't defined its import method yet.  If we were
0.000000,0,0.000000,# only turning on warnings ("use warnings" above) this wouldn't be too
0.000000,0,0.000000,# bad, because Carp would just gets the state of the -w switch and so
0.000000,0,0.000000,# might not get some warnings that it wanted.  The real problem is
0.000000,0,0.000000,# that we then want to turn off Unicode warnings, but "no warnings
0.000000,0,0.000000,# 'utf8'" won't be effective if we're in this circular-dependency
0.000000,0,0.000000,# situation.  So, if warnings.pm is an affected version, we turn
0.000000,0,0.000000,# off all warnings ourselves by directly setting ${^WARNING_BITS}.
0.000000,0,0.000000,# On unaffected versions, we turn off just Unicode warnings, via
0.000000,0,0.000000,# the proper API.
0.000014,1,0.000014,if(!defined($warnings::VERSION) || eval($warnings::VERSION) < 1.06) {
0.000000,0,0.000000,${^WARNING_BITS} = "";
0.000000,0,0.000000,} else {
0.000002,1,0.000002,"warnings"->unimport("utf8");
0.000000,0,0.000000,}
0.000101,1,0.000101,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _fetch_sub { # fetch sub without autovivifying
0.000001,3,0.000000,my($pack, $sub) = @_;
0.000002,3,0.000001,$pack .= '::';
0.000000,0,0.000000,# only works with top-level packages
0.000001,3,0.000000,return unless exists($::{$pack});
0.000000,3,0.000000,for ($::{$pack}) {
0.000002,3,0.000001,return unless ref \$_ eq 'GLOB' && *$_{HASH} && exists $$_{$sub};
0.000001,3,0.000000,for ($$_{$sub}) {
0.000000,0,0.000000,return ref \$_ eq 'GLOB' ? *$_{CODE} : undef
0.000012,3,0.000004,}
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# UTF8_REGEXP_PROBLEM is a compile-time constant indicating whether Carp
0.000000,0,0.000000,# must avoid applying a regular expression to an upgraded (is_utf8)
0.000000,0,0.000000,# string.  There are multiple problems, on different Perl versions,
0.000000,0,0.000000,# that require this to be avoided.  All versions prior to 5.13.8 will
0.000000,0,0.000000,# load utf8_heavy.pl for the swash system, even if the regexp doesn't
0.000000,0,0.000000,# use character classes.  Perl 5.6 and Perls [5.11.2, 5.13.11) exhibit
0.000000,0,0.000000,# specific problems when Carp is being invoked in the aftermath of a
0.000000,0,0.000000,# syntax error.
0.000000,0,0.000000,BEGIN {
0.000004,1,0.000004,if("$]" < 5.013011) {
0.000000,0,0.000000,*UTF8_REGEXP_PROBLEM = sub () { 1 };
0.000000,0,0.000000,} else {
0.000000,1,0.000000,*UTF8_REGEXP_PROBLEM = sub () { 0 };
0.000000,0,0.000000,}
0.000047,1,0.000047,}
0.000000,0,0.000000,
0.000000,0,0.000000,# is_utf8() is essentially the utf8::is_utf8() function, which indicates
0.000000,0,0.000000,# whether a string is represented in the upgraded form (using UTF-8
0.000000,0,0.000000,# internally).  As utf8::is_utf8() is only available from Perl 5.8
0.000000,0,0.000000,# onwards, extra effort is required here to make it work on Perl 5.6.
0.000000,0,0.000000,BEGIN {
0.000003,1,0.000003,if(defined(my $sub = _fetch_sub utf8 => 'is_utf8')) {
0.000000,0,0.000000,*is_utf8 = $sub;
0.000000,0,0.000000,} else {
0.000000,0,0.000000,# black magic for perl 5.6
0.000000,0,0.000000,*is_utf8 = sub { unpack("C", "\xaa".$_[0]) != 170 };
0.000000,0,0.000000,}
0.000073,1,0.000073,}
0.000000,0,0.000000,
0.000000,0,0.000000,# The downgrade() function defined here is to be used for attempts to
0.000000,0,0.000000,# downgrade where it is acceptable to fail.  It must be called with a
0.000000,0,0.000000,# second argument that is a true value.
0.000000,0,0.000000,BEGIN {
0.000004,1,0.000004,if(defined(my $sub = _fetch_sub utf8 => 'downgrade')) {
0.000000,0,0.000000,*downgrade = \&{"utf8::downgrade"};
0.000000,0,0.000000,} else {
0.000000,0,0.000000,*downgrade = sub {
0.000000,0,0.000000,my $r = "";
0.000000,0,0.000000,my $l = length($_[0]);
0.000000,0,0.000000,for(my $i = 0; $i != $l; $i++) {
0.000000,0,0.000000,my $o = ord(substr($_[0], $i, 1));
0.000000,0,0.000000,return if $o > 255;
0.000000,0,0.000000,$r .= chr($o);
0.000000,0,0.000000,}
0.000000,0,0.000000,$_[0] = $r;
0.000000,0,0.000000,};
0.000000,0,0.000000,}
0.000070,1,0.000070,}
0.000000,0,0.000000,
0.000000,0,0.000000,# is_safe_printable_codepoint() indicates whether a character, specified
0.000000,0,0.000000,# by integer codepoint, is OK to output literally in a trace.  Generally
0.000000,0,0.000000,# this is if it is a printable character in the ancestral character set
0.000000,0,0.000000,# (ASCII or EBCDIC).  This is used on some Perls in situations where a
0.000000,0,0.000000,# regexp can't be used.
0.000000,0,0.000000,BEGIN {
0.000000,0,0.000000,*is_safe_printable_codepoint =
0.000000,0,0.000000,"$]" >= 5.007_003 ?
0.000000,0,0.000000,eval(q(sub ($) {
0.000000,0,0.000000,my $u = utf8::native_to_unicode($_[0]);
0.000000,0,0.000000,$u >= 0x20 && $u <= 0x7e;
0.000000,0,0.000000,}))
0.000000,0,0.000000,: ord("A") == 65 ?
0.000000,0,0.000000,sub ($) { $_[0] >= 0x20 && $_[0] <= 0x7e }
0.000000,0,0.000000,:
0.000000,0,0.000000,sub ($) {
0.000000,0,0.000000,# Early EBCDIC
0.000000,0,0.000000,# 3 EBCDIC code pages supported then;  all controls but one
0.000000,0,0.000000,# are the code points below SPACE.  The other one is 0x5F on
0.000000,0,0.000000,# POSIX-BC; FF on the other two.
0.000000,0,0.000000,# FIXME: there are plenty of unprintable codepoints other
0.000000,0,0.000000,# than those that this code and the comment above identifies
0.000000,0,0.000000,# as "controls".
0.000000,0,0.000000,$_[0] >= ord(" ") && $_[0] <= 0xff &&
0.000000,0,0.000000,$_[0] != (ord ("^") == 106 ? 0x5f : 0xff);
0.000000,0,0.000000,}
0.000030,1,0.000030,;
0.000107,1,0.000107,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _univ_mod_loaded {
0.000001,1,0.000001,return 0 unless exists($::{"UNIVERSAL::"});
0.000000,1,0.000000,for ($::{"UNIVERSAL::"}) {
0.000008,1,0.000008,return 0 unless ref \$_ eq "GLOB" && *$_{HASH} && exists $$_{"$_[0]::"};
0.000000,0,0.000000,for ($$_{"$_[0]::"}) {
0.000000,0,0.000000,return 0 unless ref \$_ eq "GLOB" && *$_{HASH} && exists $$_{"VERSION"};
0.000000,0,0.000000,for ($$_{"VERSION"}) {
0.000000,0,0.000000,return 0 unless ref \$_ eq "GLOB";
0.000000,0,0.000000,return ${*$_{SCALAR}};
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# _maybe_isa() is usually the UNIVERSAL::isa function.  We have to avoid
0.000000,0,0.000000,# the latter if the UNIVERSAL::isa module has been loaded, to avoid infi-
0.000000,0,0.000000,# nite recursion; in that case _maybe_isa simply returns true.
0.000001,1,0.000001,my $isa;
0.000000,0,0.000000,BEGIN {
0.000002,1,0.000002,if (_univ_mod_loaded('isa')) {
0.000000,0,0.000000,*_maybe_isa = sub { 1 }
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,# Since we have already done the check, record $isa for use below
0.000000,0,0.000000,# when defining _StrVal.
0.000000,1,0.000000,*_maybe_isa = $isa = _fetch_sub(UNIVERSAL => "isa");
0.000000,0,0.000000,}
0.000069,1,0.000069,}
0.000000,0,0.000000,
