# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000051,2,0.000025,use strict;
0.000056,2,0.000028,use warnings;
0.000000,0,0.000000,package Class::Method::Modifiers; # git description: v2.12-17-gbc38636
0.000000,0,0.000000,# ABSTRACT: Provides Moose-like method modifiers
0.000000,0,0.000000,# KEYWORDS: method wrap modification patch
0.000000,0,0.000000,# vim: set ts=8 sts=4 sw=4 tw=115 et :
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '2.13';
0.000000,0,0.000000,
0.000108,2,0.000054,use base 'Exporter';
0.000000,0,0.000000,
0.000001,1,0.000001,our @EXPORT = qw(before after around);
0.000000,1,0.000000,our @EXPORT_OK = (@EXPORT, qw(fresh install_modifier));
0.000003,1,0.000003,our %EXPORT_TAGS = (
0.000000,0,0.000000,moose => [qw(before after around)],
0.000000,0,0.000000,all   => \@EXPORT_OK,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000005,1,0.000005,*_HAS_READONLY = $] >= 5.008 ? sub(){1} : sub(){0};
0.000185,1,0.000185,}
0.000000,0,0.000000,
0.000000,0,0.000000,our %MODIFIER_CACHE;
0.000000,0,0.000000,
0.000000,0,0.000000,# for backward compatibility
0.000000,0,0.000000,sub _install_modifier; # -w
0.000002,1,0.000002,*_install_modifier = \&install_modifier;
0.000000,0,0.000000,
0.000000,0,0.000000,sub install_modifier {
0.000008,19,0.000000,my $into  = shift;
0.000011,19,0.000001,my $type  = shift;
0.000009,19,0.000000,my $code  = pop;
0.000007,19,0.000000,my @names = @_;
0.000000,0,0.000000,
0.000015,19,0.000001,@names = @{ $names[0] } if ref($names[0]) eq 'ARRAY';
0.000000,0,0.000000,
0.000006,19,0.000000,return _fresh($into, $code, @names) if $type eq 'fresh';
0.000000,0,0.000000,
0.000073,19,0.000004,for my $name (@names) {
0.000204,35,0.000006,my $hit = $into->can($name) or do {
0.000000,0,0.000000,require Carp;
0.000000,0,0.000000,Carp::confess("The method '$name' is not found in the inheritance hierarchy for class $into");
0.000000,0,0.000000,};
0.000000,0,0.000000,
0.000021,35,0.000001,my $qualified = $into.'::'.$name;
0.000087,35,0.000002,my $cache = $MODIFIER_CACHE{$into}{$name} ||= {
0.000000,0,0.000000,before => [],
0.000000,0,0.000000,after  => [],
0.000000,0,0.000000,around => [],
0.000000,0,0.000000,};
0.000000,0,0.000000,
0.000000,0,0.000000,# this must be the first modifier we're installing
0.000017,35,0.000000,if (!exists($cache->{"orig"})) {
0.000220,2,0.000110,no strict 'refs';
0.000000,0,0.000000,
