# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Data::Perl::Role::Collection::Hash;
0.000001,1,0.000001,$Data::Perl::Role::Collection::Hash::VERSION = '0.002011';
0.000000,0,0.000000,# ABSTRACT: Wrapping class for Perl's built in hash structure.
0.000000,0,0.000000,
0.000056,3,0.000019,use strictures 1;
0.000000,0,0.000000,
0.000027,2,0.000013,use Role::Tiny;
0.000016,2,0.000008,use Scalar::Util qw/blessed/;
0.000424,2,0.000212,use Module::Runtime qw/use_package_optimistically/;
0.000000,0,0.000000,
0.000000,0,0.000000,sub new { my $cl = shift; bless({ @_ }, $cl) }
0.000000,0,0.000000,
0.000000,0,0.000000,sub _array_class { 'Data::Perl::Collection::Array' }
0.000000,0,0.000000,
0.000000,0,0.000000,sub get {
0.012227,73648,0.000000,my $self = shift;
0.000000,0,0.000000,
0.208617,73648,0.000003,if (@_ > 1) {
0.000000,0,0.000000,my @res = @{$self}{@_};
0.000000,0,0.000000,
0.000000,0,0.000000,blessed($self) ? use_package_optimistically($self->_array_class)->new(@res) : @res;
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.139166,73648,0.000002,$self->{$_[0]};
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub set {
0.000009,65,0.000000,my $self = shift;
0.000132,65,0.000002,my @keys_idx = grep { ! ($_ % 2) } 0..$#_;
0.000076,65,0.000001,my @values_idx = grep { $_ % 2 } 0..$#_;
0.000000,0,0.000000,
0.000191,65,0.000003,@{$self}{@_[@keys_idx]} = @_[@values_idx];
0.000000,0,0.000000,
0.000096,65,0.000001,my @res = @{$self}{@_[@keys_idx]};
0.000000,0,0.000000,
0.000253,65,0.000004,blessed($self) ? use_package_optimistically($self->_array_class)->new(@res) : @res;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub delete {
0.000000,0,0.000000,my $self = shift;
0.000000,0,0.000000,my @res = CORE::delete @{$self}{@_};
0.000000,0,0.000000,
0.000000,0,0.000000,blessed($self) ? use_package_optimistically($self->_array_class)->new(@res) : @res;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub keys {
0.000000,0,0.000000,my ($self) = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,my @res = keys %{$self};
0.000000,0,0.000000,
0.000000,0,0.000000,blessed($self) ? use_package_optimistically($self->_array_class)->new(@res) : @res;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub exists { CORE::exists $_[0]->{$_[1]} }
0.000000,0,0.000000,
0.000000,0,0.000000,sub defined { CORE::defined $_[0]->{$_[1]} }
0.000000,0,0.000000,
0.000000,0,0.000000,sub values {
0.000015,29,0.000001,my ($self) = @_;
0.000000,0,0.000000,
0.000056,29,0.000002,my @res = CORE::values %{$_[0]};
0.000000,0,0.000000,
0.000140,29,0.000005,blessed($self) ? use_package_optimistically($self->_array_class)->new(@res) : @res;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub kv {
0.020853,39138,0.000001,my ($self) = @_;
0.000000,0,0.000000,
0.163653,39138,0.000004,my @res = CORE::map { [ $_, $self->{$_} ] } CORE::keys %{$self};
0.000000,0,0.000000,
0.211840,39138,0.000005,blessed($self) ? use_package_optimistically($self->_array_class)->new(@res) : @res;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,{
0.000285,3,0.000095,no warnings 'once';
0.000000,0,0.000000,
0.000000,0,0.000000,sub all {
0.000000,0,0.000000,my ($self) = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,my @res = CORE::map { $_, $self->{$_} } CORE::keys %{$self};
0.000000,0,0.000000,
0.000000,0,0.000000,@res;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000001,1,0.000001,*elements = *all;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub clear { %{$_[0]} = () }
0.000000,0,0.000000,
0.000000,0,0.000000,sub count { CORE::scalar CORE::keys %{$_[0]} }
0.000000,0,0.000000,
0.000000,0,0.000000,sub is_empty { CORE::scalar CORE::keys %{$_[0]} ? 0 : 1 }
0.000000,0,0.000000,
0.000000,0,0.000000,sub accessor {
0.000000,0,0.000000,if (@_ == 2) {
0.000000,0,0.000000,$_[0]->{$_[1]};
0.000000,0,0.000000,}
0.000000,0,0.000000,elsif (@_ > 2) {
0.000000,0,0.000000,$_[0]->{$_[1]} = $_[2];
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub shallow_clone { blessed($_[0]) ? bless({%{$_[0]}}, ref $_[0]) : {%{$_[0]}} }
0.000000,0,0.000000,
0.000009,1,0.000009,1;
0.000000,0,0.000000,
0.000000,0,0.000000,=pod
0.000000,0,0.000000,
0.000000,0,0.000000,=encoding UTF-8
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 NAME
0.000000,0,0.000000,
0.000000,0,0.000000,Data::Perl::Role::Collection::Hash - Wrapping class for Perl's built in hash structure.
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 VERSION
0.000000,0,0.000000,
0.000000,0,0.000000,version 0.002011
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 SYNOPSIS
0.000000,0,0.000000,
0.000000,0,0.000000,use Data::Perl qw/hash/;
0.000000,0,0.000000,
0.000000,0,0.000000,my $hash = hash(a => 1, b => 2);
0.000000,0,0.000000,
0.000000,0,0.000000,$hash->values; # (1, 2)
0.000000,0,0.000000,
0.000000,0,0.000000,$hash->set('foo', 'bar'); # (a => 1, b => 2, foo => 'bar')
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 DESCRIPTION
0.000000,0,0.000000,
0.000000,0,0.000000,This class provides a wrapper and methods for interacting with a hash.
0.000000,0,0.000000,All methods that return a list do so via a Data::Perl::Collection::Array
0.000000,0,0.000000,object.
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 PROVIDED METHODS
0.000000,0,0.000000,
0.000000,0,0.000000,=over 4
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<new($key, $value, ...)>
0.000000,0,0.000000,
0.000000,0,0.000000,Given an optional list of keys/values, constructs a new Data::Perl::Collection::Hash
0.000000,0,0.000000,object initalized with keys/values and returns it.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<get($key, $key2, $key3...)>
0.000000,0,0.000000,
0.000000,0,0.000000,Returns a list of values in the hash for the given keys.
0.000000,0,0.000000,
0.000000,0,0.000000,This method requires at least one argument.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<set($key =E<gt> $value, $key2 =E<gt> $value2...)>
0.000000,0,0.000000,
0.000000,0,0.000000,Sets the elements in the hash to the given values. It returns the new values
0.000000,0,0.000000,set for each key, in the same order as the keys passed to the method.
0.000000,0,0.000000,
0.000000,0,0.000000,This method requires at least two arguments, and expects an even number of
0.000000,0,0.000000,arguments.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<delete($key, $key2, $key3...)>
0.000000,0,0.000000,
0.000000,0,0.000000,Removes the elements with the given keys.
0.000000,0,0.000000,
0.000000,0,0.000000,Returns a list of values in the hash for the deleted keys.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<keys>
0.000000,0,0.000000,
0.000000,0,0.000000,Returns the list of keys in the hash.
0.000000,0,0.000000,
0.000000,0,0.000000,This method does not accept any arguments.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<exists($key)>
0.000000,0,0.000000,
0.000000,0,0.000000,Returns true if the given key is present in the hash.
0.000000,0,0.000000,
0.000000,0,0.000000,This method requires a single argument.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<defined($key)>
0.000000,0,0.000000,
0.000000,0,0.000000,Returns true if the value of a given key is defined.
0.000000,0,0.000000,
0.000000,0,0.000000,This method requires a single argument.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<values>
0.000000,0,0.000000,
0.000000,0,0.000000,Returns the list of values in the hash.
0.000000,0,0.000000,
0.000000,0,0.000000,This method does not accept any arguments.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<kv>
0.000000,0,0.000000,
0.000000,0,0.000000,Returns the key/value pairs in the hash as an array of array references.
0.000000,0,0.000000,
0.000000,0,0.000000,for my $pair ( $object->option_pairs ) {
0.000000,0,0.000000,print "$pair->[0] = $pair->[1]\n";
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,This method does not accept any arguments.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<elements/all>
0.000000,0,0.000000,
0.000000,0,0.000000,Returns the key/value pairs in the hash as a flattened list..
0.000000,0,0.000000,
0.000000,0,0.000000,This method does not accept any arguments.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<clear>
0.000000,0,0.000000,
0.000000,0,0.000000,Resets the hash to an empty value, like C<%hash = ()>.
0.000000,0,0.000000,
0.000000,0,0.000000,This method does not accept any arguments.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<count>
0.000000,0,0.000000,
0.000000,0,0.000000,Returns the number of elements in the hash. Also useful for not empty:
0.000000,0,0.000000,C<< has_options => 'count' >>.
0.000000,0,0.000000,
0.000000,0,0.000000,This method does not accept any arguments.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<is_empty>
0.000000,0,0.000000,
0.000000,0,0.000000,If the hash is populated, returns false. Otherwise, returns true.
0.000000,0,0.000000,
0.000000,0,0.000000,This method does not accept any arguments.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<accessor($key)>
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<accessor($key, $value)>
0.000000,0,0.000000,
0.000000,0,0.000000,If passed one argument, returns the value of the specified key. If passed two
0.000000,0,0.000000,arguments, sets the value of the specified key.
0.000000,0,0.000000,
0.000000,0,0.000000,When called as a setter, this method returns the value that was set.
0.000000,0,0.000000,
0.000000,0,0.000000,=item B<shallow_clone>
0.000000,0,0.000000,
