# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package IO::Compress::Gzip ;
0.000000,0,0.000000,
0.000006,1,0.000006,require 5.006 ;
0.000000,0,0.000000,
0.000035,2,0.000018,use strict ;
0.000015,2,0.000007,use warnings;
0.000022,2,0.000011,use bytes;
0.000000,0,0.000000,
0.000001,1,0.000001,require Exporter ;
0.000000,0,0.000000,
0.000578,3,0.000193,use IO::Compress::RawDeflate 2.106 () ;
0.000052,3,0.000017,use IO::Compress::Adapter::Deflate 2.106 ;
0.000000,0,0.000000,
0.000044,3,0.000015,use IO::Compress::Base::Common  2.106 qw(:Status );
0.000551,3,0.000184,use IO::Compress::Gzip::Constants 2.106 ;
0.000447,3,0.000149,use IO::Compress::Zlib::Extra 2.106 ;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN
0.000000,0,0.000000,{
0.000004,1,0.000004,if (defined &utf8::downgrade )
0.000000,0,0.000000,{ *noUTF8 = \&utf8::downgrade }
0.000000,0,0.000000,else
0.000000,0,0.000000,{ *noUTF8 = sub {} }
0.000420,1,0.000420,}
0.000000,0,0.000000,
0.000000,0,0.000000,our ($VERSION, @ISA, @EXPORT_OK, %EXPORT_TAGS, %DEFLATE_CONSTANTS, $GzipError);
0.000000,0,0.000000,
0.000001,1,0.000001,$VERSION = '2.106';
0.000000,1,0.000000,$GzipError = '' ;
0.000000,0,0.000000,
0.000011,1,0.000011,@ISA    = qw(IO::Compress::RawDeflate Exporter);
0.000000,1,0.000000,@EXPORT_OK = qw( $GzipError gzip ) ;
0.000003,1,0.000003,%EXPORT_TAGS = %IO::Compress::RawDeflate::DEFLATE_CONSTANTS ;
0.000000,0,0.000000,
0.000002,1,0.000002,push @{ $EXPORT_TAGS{all} }, @EXPORT_OK ;
0.000002,1,0.000002,Exporter::export_ok_tags('all');
0.000000,0,0.000000,
0.000000,0,0.000000,sub new
0.000000,0,0.000000,{
0.000000,0,0.000000,my $class = shift ;
0.000000,0,0.000000,
0.000000,0,0.000000,my $obj = IO::Compress::Base::Common::createSelfTiedObject($class, \$GzipError);
0.000000,0,0.000000,
0.000000,0,0.000000,$obj->_create(undef, @_);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,sub gzip
0.000000,0,0.000000,{
