# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package IO::Uncompress::RawInflate ;
0.000000,0,0.000000,# for RFC1951
0.000000,0,0.000000,
0.000036,2,0.000018,use strict ;
0.000053,2,0.000027,use warnings;
0.000027,2,0.000014,use bytes;
0.000000,0,0.000000,
0.000052,3,0.000017,use Compress::Raw::Zlib  2.103 ;
0.000040,3,0.000013,use IO::Compress::Base::Common  2.106 qw(:Status );
0.000000,0,0.000000,
0.000865,3,0.000288,use IO::Uncompress::Base  2.106 ;
0.001769,3,0.000590,use IO::Uncompress::Adapter::Inflate  2.106 ;
0.000000,0,0.000000,
0.000001,1,0.000001,require Exporter ;
0.000000,0,0.000000,our ($VERSION, @ISA, @EXPORT_OK, %EXPORT_TAGS, %DEFLATE_CONSTANTS, $RawInflateError);
0.000000,0,0.000000,
0.000000,1,0.000000,$VERSION = '2.106';
0.000001,1,0.000001,$RawInflateError = '';
0.000000,0,0.000000,
0.000027,1,0.000027,@ISA    = qw(IO::Uncompress::Base Exporter);
0.000002,1,0.000002,@EXPORT_OK = qw( $RawInflateError rawinflate ) ;
0.000001,1,0.000001,%DEFLATE_CONSTANTS = ();
0.000002,1,0.000002,%EXPORT_TAGS = %IO::Uncompress::Base::EXPORT_TAGS ;
0.000002,1,0.000002,push @{ $EXPORT_TAGS{all} }, @EXPORT_OK ;
0.000004,1,0.000004,Exporter::export_ok_tags('all');
0.000000,0,0.000000,
0.000000,0,0.000000,#{
0.000000,0,0.000000,#    # Execute at runtime
0.000000,0,0.000000,#    my %bad;
0.000000,0,0.000000,#    for my $module (qw(Compress::Raw::Zlib IO::Compress::Base::Common IO::Uncompress::Base IO::Uncompress::Adapter::Inflate))
0.000000,0,0.000000,#    {
0.000000,0,0.000000,#        my $ver = ${ $module . "::VERSION"} ;
0.000000,0,0.000000,#
0.000000,0,0.000000,#        $bad{$module} = $ver
0.000000,0,0.000000,#            if $ver ne $VERSION;
0.000000,0,0.000000,#    }
0.000000,0,0.000000,#
0.000000,0,0.000000,#    if (keys %bad)
0.000000,0,0.000000,#    {
0.000000,0,0.000000,#        my $string = join "\n", map { "$_ $bad{$_}" } keys %bad;
0.000000,0,0.000000,#        die caller(0)[0] . "needs version $VERSION mismatch\n$string\n";
0.000000,0,0.000000,#    }
0.000000,0,0.000000,#}
0.000000,0,0.000000,
0.000000,0,0.000000,sub new
0.000000,0,0.000000,{
0.000000,0,0.000000,my $class = shift ;
0.000000,0,0.000000,my $obj = IO::Compress::Base::Common::createSelfTiedObject($class, \$RawInflateError);
0.000000,0,0.000000,$obj->_create(undef, 0, @_);
