# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package JSON::PP::Boolean;
0.000000,0,0.000000,
0.000191,2,0.000095,use strict;
0.000000,1,0.000000,require overload;
0.000003,1,0.000003,local $^W;
0.000000,0,0.000000,overload::import('overload',
0.005011,2040,0.000002,"0+"     => sub { ${$_[0]} },
0.000000,0,0.000000,"++"     => sub { $_[0] = ${$_[0]} + 1 },
0.000000,0,0.000000,"--"     => sub { $_[0] = ${$_[0]} - 1 },
0.000010,1,0.000010,fallback => 1,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,1,0.000000,$JSON::PP::Boolean::VERSION = '4.07';
0.000000,0,0.000000,
0.000008,1,0.000008,1;
0.000000,0,0.000000,
0.000000,0,0.000000,__END__
