# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000034,2,0.000017,use strict;
0.000061,2,0.000030,use warnings;
0.000000,0,0.000000,package JSON::Schema::Modern::Vocabulary::Unevaluated;
0.000000,0,0.000000,# vim: set ts=8 sts=2 sw=2 tw=100 et :
0.000000,0,0.000000,# ABSTRACT: Implementation of the JSON Schema Unevaluated vocabulary
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.558';
0.000000,0,0.000000,
0.000049,2,0.000024,use 5.020;
0.000023,2,0.000012,use Moo;
0.000023,3,0.000008,use strictures 2;
0.000027,2,0.000013,use experimental qw(signatures postderef);
0.000022,2,0.000011,use if "$]" >= 5.022, experimental => 're_strict';
0.000018,2,0.000009,no if "$]" >= 5.031009, feature => 'indirect';
0.000014,2,0.000007,no if "$]" >= 5.033001, feature => 'multidimensional';
0.000018,2,0.000009,no if "$]" >= 5.033006, feature => 'bareword_filehandles';
0.000025,3,0.000008,use List::Util 1.45 qw(any max);
0.000014,2,0.000007,use JSON::Schema::Modern::Utilities qw(is_type jsonp local_annotations E A abort true);
0.001451,2,0.000726,use namespace::clean;
0.000000,0,0.000000,
0.000002,1,0.000002,with 'JSON::Schema::Modern::Vocabulary';
0.000000,0,0.000000,
0.000000,0,0.000000,sub vocabulary {
0.000003,1,0.000003,'https://json-schema.org/draft/2020-12/vocab/unevaluated' => 'draft2020-12';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000002,2,0.000001,sub evaluation_order { 7 }
0.000000,0,0.000000,
0.000000,0,0.000000,# This vocabulary should be evaluated after the Applicator vocabulary.
0.000001,6,0.000000,sub keywords ($self, $spec_version) {
0.000007,2,0.000003,die 'Unevaluated not implemented in '.$spec_version if $spec_version =~ /^draft[467]$/;
0.000004,2,0.000002,qw(unevaluatedItems unevaluatedProperties);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _traverse_keyword_unevaluatedItems ($self, $schema, $state) {
0.000000,0,0.000000,my $valid = $self->traverse_subschema($schema, $state);
0.000000,0,0.000000,
0.000000,0,0.000000,# remember that annotations need to be collected in order to evaluate this keyword
0.000000,0,0.000000,$state->{configs}{collect_annotations} = 1;
0.000000,0,0.000000,
0.000000,0,0.000000,return $valid;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _eval_keyword_unevaluatedItems ($self, $data, $schema, $state) {
0.000000,0,0.000000,abort($state, 'EXCEPTION: "unevaluatedItems" keyword present, but annotation collection is disabled')
0.000000,0,0.000000,if not $state->{collect_annotations};
0.000000,0,0.000000,
0.000000,0,0.000000,abort($state, 'EXCEPTION: "unevaluatedItems" keyword present, but short_circuit is enabled: results unreliable')
0.000000,0,0.000000,if $state->{short_circuit};
0.000000,0,0.000000,
0.000000,0,0.000000,return 1 if not is_type('array', $data);
0.000000,0,0.000000,
0.000000,0,0.000000,my @annotations = local_annotations($state);
0.000000,0,0.000000,
