# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,# Copyright (c) 1997-2009 Graham Barr <gbarr@pobox.com>. All rights reserved.
0.000000,0,0.000000,# This program is free software; you can redistribute it and/or
0.000000,0,0.000000,# modify it under the same terms as Perl itself.
0.000000,0,0.000000,#
0.000000,0,0.000000,# Maintained since 2013 by Paul Evans <leonerd@leonerd.org.uk>
0.000000,0,0.000000,
0.000000,0,0.000000,package List::Util;
0.000000,0,0.000000,
0.000019,2,0.000010,use strict;
0.000074,2,0.000037,use warnings;
0.000001,1,0.000001,require Exporter;
0.000000,0,0.000000,
0.000005,1,0.000005,our @ISA        = qw(Exporter);
0.000002,1,0.000002,our @EXPORT_OK  = qw(
0.000000,0,0.000000,all any first min max minstr maxstr none notall product reduce reductions sum sum0
0.000000,0,0.000000,sample shuffle uniq uniqint uniqnum uniqstr zip zip_longest zip_shortest mesh mesh_longest mesh_shortest
0.000000,0,0.000000,head tail pairs unpairs pairkeys pairvalues pairmap pairgrep pairfirst
0.000000,0,0.000000,);
0.000001,1,0.000001,our $VERSION    = "1.62";
0.000000,1,0.000000,our $XS_VERSION = $VERSION;
0.000001,1,0.000001,$VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.000000,1,0.000000,require XSLoader;
0.000368,1,0.000368,XSLoader::load('List::Util', $XS_VERSION);
0.000000,0,0.000000,
0.000000,0,0.000000,# Used by shuffle()
0.000000,0,0.000000,our $RAND;
0.000000,0,0.000000,
0.000000,0,0.000000,sub import
0.000000,0,0.000000,{
0.000012,10,0.000001,my $pkg = caller;
0.000000,0,0.000000,
0.000000,0,0.000000,# (RT88848) Touch the caller's $a and $b, to avoid the warning of
0.000000,0,0.000000,#   Name "main::a" used only once: possible typo" warning
0.000321,2,0.000160,no strict 'refs';
0.000043,10,0.000004,${"${pkg}::a"} = ${"${pkg}::a"};
0.000027,10,0.000003,${"${pkg}::b"} = ${"${pkg}::b"};
0.000000,0,0.000000,
0.000053,10,0.000005,goto &Exporter::import;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# For objects returned by pairs()
0.000000,0,0.000000,sub List::Util::_Pair::key   { shift->[0] }
0.000000,0,0.000000,sub List::Util::_Pair::value { shift->[1] }
0.000000,0,0.000000,sub List::Util::_Pair::TO_JSON { [ @{+shift} ] }
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 NAME
0.000000,0,0.000000,
0.000000,0,0.000000,List::Util - A selection of general-utility list subroutines
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 SYNOPSIS
0.000000,0,0.000000,
0.000000,0,0.000000,use List::Util qw(
0.000000,0,0.000000,reduce any all none notall first reductions
0.000000,0,0.000000,
0.000000,0,0.000000,max maxstr min minstr product sum sum0
0.000000,0,0.000000,
0.000000,0,0.000000,pairs unpairs pairkeys pairvalues pairfirst pairgrep pairmap
0.000000,0,0.000000,
0.000000,0,0.000000,shuffle uniq uniqint uniqnum uniqstr zip mesh
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 DESCRIPTION
0.000000,0,0.000000,
0.000000,0,0.000000,C<List::Util> contains a selection of subroutines that people have expressed
0.000000,0,0.000000,would be nice to have in the perl core, but the usage would not really be high
0.000000,0,0.000000,enough to warrant the use of a keyword, and the size so small such that being
0.000000,0,0.000000,individual extensions would be wasteful.
0.000000,0,0.000000,
0.000000,0,0.000000,By default C<List::Util> does not export any subroutines.
0.000000,0,0.000000,
0.000000,0,0.000000,=cut
0.000000,0,0.000000,
0.000000,0,0.000000,=head1 LIST-REDUCTION FUNCTIONS
0.000000,0,0.000000,
0.000000,0,0.000000,The following set of functions all apply a given block of code to a list of
0.000000,0,0.000000,values.
0.000000,0,0.000000,
0.000000,0,0.000000,=cut
0.000000,0,0.000000,
0.000000,0,0.000000,=head2 reduce
0.000000,0,0.000000,
0.000000,0,0.000000,$result = reduce { BLOCK } @list
0.000000,0,0.000000,
0.000000,0,0.000000,Reduces C<@list> by calling C<BLOCK> in a scalar context multiple times,
0.000000,0,0.000000,setting C<$a> and C<$b> each time. The first call will be with C<$a> and C<$b>
0.000000,0,0.000000,set to the first two elements of the list, subsequent calls will be done by
0.000000,0,0.000000,setting C<$a> to the result of the previous call and C<$b> to the next element
0.000000,0,0.000000,in the list.
0.000000,0,0.000000,
0.000000,0,0.000000,Returns the result of the last call to the C<BLOCK>. If C<@list> is empty then
0.000000,0,0.000000,C<undef> is returned. If C<@list> only contains one element then that element
0.000000,0,0.000000,is returned and C<BLOCK> is not executed.
0.000000,0,0.000000,
0.000000,0,0.000000,The following examples all demonstrate how C<reduce> could be used to implement
0.000000,0,0.000000,the other list-reduction functions in this module. (They are not in fact
0.000000,0,0.000000,implemented like this, but instead in a more efficient manner in individual C
0.000000,0,0.000000,functions).
0.000000,0,0.000000,
0.000000,0,0.000000,$foo = reduce { defined($a)            ? $a :
0.000000,0,0.000000,$code->(local $_ = $b) ? $b :
0.000000,0,0.000000,undef } undef, @list # first
0.000000,0,0.000000,
0.000000,0,0.000000,$foo = reduce { $a > $b ? $a : $b } 1..10       # max
0.000000,0,0.000000,$foo = reduce { $a gt $b ? $a : $b } 'A'..'Z'   # maxstr
0.000000,0,0.000000,$foo = reduce { $a < $b ? $a : $b } 1..10       # min
0.000000,0,0.000000,$foo = reduce { $a lt $b ? $a : $b } 'aa'..'zz' # minstr
0.000000,0,0.000000,$foo = reduce { $a + $b } 1 .. 10               # sum
0.000000,0,0.000000,$foo = reduce { $a . $b } @bar                  # concat
0.000000,0,0.000000,
0.000000,0,0.000000,$foo = reduce { $a || $code->(local $_ = $b) } 0, @bar   # any
0.000000,0,0.000000,$foo = reduce { $a && $code->(local $_ = $b) } 1, @bar   # all
0.000000,0,0.000000,$foo = reduce { $a && !$code->(local $_ = $b) } 1, @bar  # none
0.000000,0,0.000000,$foo = reduce { $a || !$code->(local $_ = $b) } 0, @bar  # notall
0.000000,0,0.000000,# Note that these implementations do not fully short-circuit
0.000000,0,0.000000,
0.000000,0,0.000000,If your algorithm requires that C<reduce> produce an identity value, then make
0.000000,0,0.000000,sure that you always pass that identity value as the first argument to prevent
0.000000,0,0.000000,C<undef> being returned
0.000000,0,0.000000,
0.000000,0,0.000000,$foo = reduce { $a + $b } 0, @values;             # sum with 0 identity value
0.000000,0,0.000000,
0.000000,0,0.000000,The above example code blocks also suggest how to use C<reduce> to build a
0.000000,0,0.000000,more efficient combined version of one of these basic functions and a C<map>
0.000000,0,0.000000,block. For example, to find the total length of all the strings in a list,
0.000000,0,0.000000,we could use
0.000000,0,0.000000,
0.000000,0,0.000000,$total = sum map { length } @strings;
0.000000,0,0.000000,
0.000000,0,0.000000,However, this produces a list of temporary integer values as long as the
0.000000,0,0.000000,original list of strings, only to reduce it down to a single value again. We
0.000000,0,0.000000,can compute the same result more efficiently by using C<reduce> with a code
0.000000,0,0.000000,block that accumulates lengths by writing this instead as:
0.000000,0,0.000000,
0.000000,0,0.000000,$total = reduce { $a + length $b } 0, @strings
0.000000,0,0.000000,
