# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Module::Implementation;
0.000000,0,0.000000,# git description: v0.08-2-gd599347
0.000001,1,0.000001,$Module::Implementation::VERSION = '0.09';
0.000000,0,0.000000,
0.000030,2,0.000015,use strict;
0.000052,2,0.000026,use warnings;
0.000000,0,0.000000,
0.000070,3,0.000023,use Module::Runtime 0.012 qw( require_module );
0.000533,2,0.000267,use Try::Tiny;
0.000000,0,0.000000,
0.000000,0,0.000000,# This is needed for the benefit of Test::CleanNamespaces, which in turn loads
0.000000,0,0.000000,# Package::Stash, which in turn loads this module and expects a minimum
0.000000,0,0.000000,# version.
0.000000,1,0.000000,unless ( exists $Module::Implementation::{VERSION}
0.000000,0,0.000000,&& ${ $Module::Implementation::{VERSION} } ) {
0.000000,0,0.000000,
0.000000,0,0.000000,$Module::Implementation::{VERSION} = \42;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000001,1,0.000001,my %Implementation;
0.000000,0,0.000000,
0.000000,0,0.000000,sub build_loader_sub {
0.000002,2,0.000001,my $caller = caller();
0.000000,0,0.000000,
0.000009,2,0.000005,return _build_loader( $caller, @_ );
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _build_loader {
0.000000,2,0.000000,my $package = shift;
0.000005,2,0.000002,my %args    = @_;
0.000000,0,0.000000,
0.000002,2,0.000001,my @implementations = @{ $args{implementations} };
0.000001,2,0.000000,my @symbols = @{ $args{symbols} || [] };
0.000000,0,0.000000,
0.000001,2,0.000000,my $implementation;
0.000001,2,0.000000,my $env_var = uc $package;
0.000008,2,0.000004,$env_var =~ s/::/_/g;
0.000000,2,0.000000,$env_var .= '_IMPLEMENTATION';
0.000000,0,0.000000,
0.000000,0,0.000000,return sub {
0.000000,0,0.000000,my ( $implementation, $loaded ) = _load_implementation(
0.000000,0,0.000000,$package,
0.000006,2,0.000003,$ENV{$env_var},
0.000000,0,0.000000,\@implementations,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000003,2,0.000002,$Implementation{$package} = $implementation;
0.000000,0,0.000000,
0.000005,2,0.000002,_copy_symbols( $loaded, $package, \@symbols );
0.000000,0,0.000000,
0.000004,2,0.000002,return $loaded;
0.000010,2,0.000005,};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub implementation_for {
0.000000,1,0.000000,my $package = shift;
0.000000,0,0.000000,
0.000002,1,0.000002,return $Implementation{$package};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _load_implementation {
0.000000,2,0.000000,my $package         = shift;
0.000002,2,0.000001,my $env_value       = shift;
0.000001,2,0.000000,my $implementations = shift;
0.000000,0,0.000000,
0.000001,2,0.000000,if ($env_value) {
0.000000,0,0.000000,die "$env_value is not a valid implementation for $package"
0.000000,0,0.000000,unless grep { $_ eq $env_value } @{$implementations};
0.000000,0,0.000000,
0.000000,0,0.000000,my $requested = "${package}::$env_value";
0.000000,0,0.000000,
0.000000,0,0.000000,# Values from the %ENV hash are tainted. We know it's safe to untaint
0.000000,0,0.000000,# this value because the value was one of our known implementations.
0.000000,0,0.000000,($requested) = $requested =~ /^(.+)$/;
0.000000,0,0.000000,
0.000000,0,0.000000,try {
0.000000,0,0.000000,require_module($requested);
0.000000,0,0.000000,}
0.000000,0,0.000000,catch {
0.000000,0,0.000000,require Carp;
0.000000,0,0.000000,Carp::croak("Could not load $requested: $_");
0.000000,0,0.000000,};
0.000000,0,0.000000,
0.000000,0,0.000000,return ( $env_value, $requested );
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,2,0.000000,my $err;
0.000002,2,0.000001,for my $possible ( @{$implementations} ) {
0.000001,2,0.000000,my $try = "${package}::$possible";
0.000000,0,0.000000,
0.000000,2,0.000000,my $ok;
0.000000,0,0.000000,try {
0.000005,2,0.000002,require_module($try);
0.000005,2,0.000002,$ok = 1;
0.000000,0,0.000000,}
0.000000,0,0.000000,catch {
0.000000,0,0.000000,$err .= $_ if defined $_;
0.000051,2,0.000025,};
0.000000,0,0.000000,
0.000012,2,0.000006,return ( $possible, $try ) if $ok;
0.000000,0,0.000000,}
