# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Mojo::Base;
0.000000,0,0.000000,
0.000034,2,0.000017,use strict;
0.000019,2,0.000010,use warnings;
0.000233,2,0.000116,use utf8;
0.000023,2,0.000012,use feature ':5.16';
0.000025,2,0.000013,use mro;
0.000000,0,0.000000,
0.000000,0,0.000000,# No imports because we get subclassed, a lot!
0.000016,2,0.000008,use Carp         ();
0.000063,2,0.000031,use Scalar::Util ();
0.000000,0,0.000000,
0.000000,0,0.000000,# Defer to runtime so Mojo::Util can use "-strict"
0.000551,1,0.000551,require Mojo::Util;
0.000000,0,0.000000,
0.000000,0,0.000000,# Role support requires Role::Tiny 2.000001+
0.000526,5,0.000105,use constant ROLES => !!(eval { require Role::Tiny; Role::Tiny->VERSION('2.000001'); 1 });
0.000000,0,0.000000,
0.000000,0,0.000000,# async/await support requires Future::AsyncAwait 0.52+
0.000000,0,0.000000,use constant ASYNC => $ENV{MOJO_NO_ASYNC}
0.000000,0,0.000000,? 0
0.000332,3,0.000111,: !!(eval { require Future::AsyncAwait; Future::AsyncAwait->VERSION('0.52'); 1 });
0.000000,0,0.000000,
0.000000,0,0.000000,# Protect subclasses using AUTOLOAD
0.000000,0,0.000000,sub DESTROY { }
0.000000,0,0.000000,
0.000000,0,0.000000,sub attr {
0.000007,5,0.000001,my ($self, $attrs, $value, %kv) = @_;
0.000003,5,0.000001,return unless (my $class = ref $self || $self) && $attrs;
0.000000,0,0.000000,
0.000003,5,0.000001,Carp::croak 'Default has to be a code reference or constant value' if ref $value && ref $value ne 'CODE';
0.000004,5,0.000001,Carp::croak 'Unsupported attribute option'                         if grep { $_ ne 'weak' } keys %kv;
0.000000,0,0.000000,
0.000000,0,0.000000,# Weaken
0.000003,5,0.000001,if ($kv{weak}) {
0.000000,0,0.000000,state %weak_names;
0.000000,0,0.000000,unless ($weak_names{$class}) {
0.000000,0,0.000000,my $names = $weak_names{$class} = [];
0.000000,0,0.000000,my $sub   = sub {
0.000000,0,0.000000,my $self = shift->next::method(@_);
0.000000,0,0.000000,ref $self->{$_} and Scalar::Util::weaken $self->{$_} for @$names;
0.000000,0,0.000000,return $self;
0.000000,0,0.000000,};
0.000000,0,0.000000,Mojo::Util::monkey_patch(my $base = $class . '::_Base', 'new', $sub);
0.000856,2,0.000428,no strict 'refs';
0.000000,0,0.000000,unshift @{"${class}::ISA"}, $base;
0.000000,0,0.000000,}
0.000000,0,0.000000,push @{$weak_names{$class}}, ref $attrs eq 'ARRAY' ? @$attrs : $attrs;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000023,5,0.000005,for my $attr (@{ref $attrs eq 'ARRAY' ? $attrs : [$attrs]}) {
0.000051,9,0.000006,Carp::croak qq{Attribute "$attr" invalid} unless $attr =~ /^[a-zA-Z_]\w*$/;
0.000000,0,0.000000,
0.000000,0,0.000000,# Very performance-sensitive code with lots of micro-optimizations
0.000001,9,0.000000,my $sub;
0.000009,9,0.000001,if ($kv{weak}) {
0.000000,0,0.000000,if (ref $value) {
0.000000,0,0.000000,$sub = sub {
0.000000,0,0.000000,return
0.000000,0,0.000000,exists $_[0]{$attr}
0.000000,0,0.000000,? $_[0]{$attr}
0.000000,0,0.000000,: (ref($_[0]{$attr} = $value->($_[0])) && Scalar::Util::weaken($_[0]{$attr}), $_[0]{$attr})
0.000000,0,0.000000,if @_ == 1;
0.000000,0,0.000000,ref($_[0]{$attr} = $_[1]) and Scalar::Util::weaken($_[0]{$attr});
0.000000,0,0.000000,$_[0];
0.000000,0,0.000000,};
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,$sub = sub {
0.000000,0,0.000000,return $_[0]{$attr} if @_ == 1;
0.000000,0,0.000000,ref($_[0]{$attr} = $_[1]) and Scalar::Util::weaken($_[0]{$attr});
0.000000,0,0.000000,$_[0];
0.000000,0,0.000000,};
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,elsif (ref $value) {
0.000000,0,0.000000,$sub = sub {
0.015654,33963,0.000000,return exists $_[0]{$attr} ? $_[0]{$attr} : ($_[0]{$attr} = $value->($_[0])) if @_ == 1;
0.035081,33963,0.000001,$_[0]{$attr} = $_[1];
