# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000022,2,0.000011,use strict;
0.000031,2,0.000016,use warnings;
0.000000,0,0.000000,package OpenAPI::Modern; # git description: v0.036-2-g96d001a
0.000000,0,0.000000,# vim: set ts=8 sts=2 sw=2 tw=100 et :
0.000000,0,0.000000,# ABSTRACT: Validate HTTP requests and responses against an OpenAPI document
0.000000,0,0.000000,# KEYWORDS: validation evaluation JSON Schema OpenAPI Swagger HTTP request response
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.037';
0.000000,0,0.000000,
0.000040,2,0.000020,use 5.020;
0.000474,2,0.000237,use Moo;
0.000615,3,0.000205,use strictures 2;
0.000628,2,0.000314,use experimental qw(signatures postderef);
0.000304,2,0.000152,use if "$]" >= 5.022, experimental => 're_strict';
0.000048,2,0.000024,no if "$]" >= 5.031009, feature => 'indirect';
0.000029,2,0.000015,no if "$]" >= 5.033001, feature => 'multidimensional';
0.000031,2,0.000016,no if "$]" >= 5.033006, feature => 'bareword_filehandles';
0.000024,2,0.000012,use Carp 'croak';
0.000547,2,0.000274,use Safe::Isa;
0.000646,2,0.000323,use Ref::Util qw(is_plain_hashref is_plain_arrayref is_ref);
0.000024,2,0.000012,use List::Util 'first';
0.000018,2,0.000009,use Scalar::Util 'looks_like_number';
0.000579,2,0.000290,use Feature::Compat::Try;
0.000373,3,0.000124,use Encode 2.89;
0.000190,2,0.000095,use URI::Escape ();
0.000538,3,0.000179,use JSON::Schema::Modern 0.557;
0.000042,3,0.000014,use JSON::Schema::Modern::Utilities 0.531 qw(jsonp unjsonp canonical_uri E abort is_equal is_elements_unique);
0.000289,2,0.000145,use JSON::Schema::Modern::Document::OpenAPI;
0.000020,2,0.000010,use MooX::HandlesVia;
0.000032,3,0.000011,use MooX::TypeTiny 0.002002;
0.000047,2,0.000023,use Types::Standard 'InstanceOf';
0.000025,2,0.000012,use constant { true => JSON::PP::true, false => JSON::PP::false };
0.004151,2,0.002076,use namespace::clean;
0.000000,0,0.000000,
0.000008,1,0.000008,has openapi_document => (
0.000000,0,0.000000,is => 'ro',
0.000000,0,0.000000,isa => InstanceOf['JSON::Schema::Modern::Document::OpenAPI'],
0.000000,0,0.000000,required => 1,
0.000000,0,0.000000,handles => {
0.000000,0,0.000000,openapi_uri => 'canonical_uri', # Mojo::URL
0.000000,0,0.000000,openapi_schema => 'schema',     # hashref
0.000000,0,0.000000,document_get => 'get',          # data access using a json pointer
0.000000,0,0.000000,},
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,# held separately because $document->evaluator is a weak ref
0.000005,1,0.000005,has evaluator => (
0.000000,0,0.000000,is => 'ro',
0.000000,0,0.000000,isa => InstanceOf['JSON::Schema::Modern'],
0.000000,0,0.000000,required => 1,
0.000000,0,0.000000,handles => [ qw(get_media_type add_media_type) ],
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000007,4,0.000002,around BUILDARGS => sub ($orig, $class, @args) {
0.000003,1,0.000003,my $args = $class->$orig(@args);
0.000000,0,0.000000,
0.000002,1,0.000002,if (exists $args->{openapi_document}) {
0.000000,0,0.000000,$args->{evaluator} = $args->{openapi_document}->evaluator;
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,# construct document out of openapi_uri, openapi_schema, evaluator, if provided.
0.000000,0,0.000000,croak 'missing required constructor arguments: either openapi_document, or openapi_uri'
0.000001,1,0.000001,if not exists $args->{openapi_uri};
