# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Package::Stash; # git description: v0.39-2-ga9a8cce
0.000025,2,0.000012,use strict;
0.000015,2,0.000008,use warnings;
0.000039,2,0.000019,use 5.008001;
0.000000,0,0.000000,# ABSTRACT: Routines for manipulating stashes
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.40';
0.000003,1,0.000003,our $IMPLEMENTATION;
0.000000,0,0.000000,
0.000075,3,0.000025,use Module::Implementation 0.06;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000000,0,0.000000,local $ENV{PACKAGE_STASH_IMPLEMENTATION} = $IMPLEMENTATION
0.000000,1,0.000000,if ( $IMPLEMENTATION and not $ENV{PACKAGE_STASH_IMPLEMENTATION} );
0.000000,0,0.000000,
0.000006,1,0.000006,Module::Implementation::build_loader_sub(
0.000000,0,0.000000,implementations => [ 'XS', 'PP' ],
0.000000,0,0.000000,symbols         => [qw(
0.000000,0,0.000000,new
0.000000,0,0.000000,name
0.000000,0,0.000000,namespace
0.000000,0,0.000000,add_symbol
0.000000,0,0.000000,remove_glob
0.000000,0,0.000000,has_symbol
0.000000,0,0.000000,get_symbol
0.000000,0,0.000000,get_or_add_symbol
0.000000,0,0.000000,remove_symbol
0.000000,0,0.000000,list_all_symbols
0.000000,0,0.000000,get_all_symbols
0.000000,0,0.000000,)],
0.000000,0,0.000000,)->();
0.000003,1,0.000003,$IMPLEMENTATION = Module::Implementation::implementation_for(__PACKAGE__);
0.000078,1,0.000078,}
0.000000,0,0.000000,
0.000000,0,0.000000,__END__
