# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Safe::Isa;
0.000000,0,0.000000,
0.000049,2,0.000024,use strict;
0.000060,2,0.000030,use warnings FATAL => 'all';
0.000029,2,0.000015,use Scalar::Util ();
0.000368,3,0.000123,use Exporter 5.57 qw(import);
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '1.000010';
0.000000,0,0.000000,
0.000001,1,0.000001,our @EXPORT = qw($_call_if_object $_isa $_can $_does $_DOES $_call_if_can);
0.000000,0,0.000000,
0.000000,0,0.000000,our $_call_if_object = sub {
0.002986,4269,0.000001,my ($obj, $method) = (shift, shift);
0.000000,0,0.000000,# This is intentionally a truth test, not a defined test, otherwise
0.000000,0,0.000000,# we gratuitously break modules like Scalar::Defer, which would be
0.000000,0,0.000000,# un-perlish.
0.018952,4269,0.000004,return unless Scalar::Util::blessed($obj);
0.030422,4246,0.000007,return $obj->$method(@_);
0.000003,1,0.000003,};
0.000000,0,0.000000,
0.000000,0,0.000000,our ($_isa, $_can) = map {
0.000003,3,0.000001,my $method = $_;
0.017555,8538,0.000002,sub { my $obj = shift; $obj->$_call_if_object($method => @_) }
0.000003,2,0.000002,} qw(isa can);
0.000000,0,0.000000,
0.000000,0,0.000000,our $_call_if_can = sub {
0.000000,0,0.000000,my ($obj, $method) = (shift, shift);
0.000000,0,0.000000,return unless $obj->$_call_if_object(can => $method);
0.000000,0,0.000000,return $obj->$method(@_);
0.000002,1,0.000002,};
0.000000,0,0.000000,
0.000000,0,0.000000,our $_does = sub {
0.000000,0,0.000000,my $obj = shift;
0.000000,0,0.000000,$obj->$_call_if_can(does => @_);
0.000001,1,0.000001,};
0.000000,0,0.000000,
0.000000,0,0.000000,our $_DOES = sub {
0.000000,0,0.000000,my $obj = shift;
0.000000,0,0.000000,return unless Scalar::Util::blessed($obj);
0.000000,0,0.000000,return $obj->DOES(@_)
0.000000,0,0.000000,if $obj->can('DOES');
0.000000,0,0.000000,return $obj->isa(@_);
0.000001,1,0.000001,};
0.000000,0,0.000000,
0.000007,1,0.000007,1;
0.000000,0,0.000000,__END__
