# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Type::Tiny;
0.000000,0,0.000000,
0.000069,2,0.000034,use 5.008001;
0.000017,2,0.000008,use strict;
0.000046,2,0.000023,use warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000002,1,0.000002,if ( $] < 5.010 ) { require Devel::TypeTiny::Perl58Compat }
0.000021,1,0.000021,}
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000000,1,0.000000,$Type::Tiny::AUTHORITY  = 'cpan:TOBYINK';
0.000000,1,0.000000,$Type::Tiny::VERSION    = '2.000001';
0.000004,1,0.000004,$Type::Tiny::XS_VERSION = '0.016';
0.000026,1,0.000026,}
0.000000,0,0.000000,
0.000002,1,0.000002,$Type::Tiny::VERSION    =~ tr/_//d;
0.000000,1,0.000000,$Type::Tiny::XS_VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.000016,2,0.000008,use Scalar::Util qw( blessed );
0.000783,2,0.000392,use Types::TypeTiny ();
0.000000,0,0.000000,
0.000001,1,0.000001,our $SafePackage = sprintf 'package %s;', __PACKAGE__;
0.000000,0,0.000000,
0.000000,0,0.000000,sub _croak ($;@) { require Error::TypeTiny; goto \&Error::TypeTiny::croak }
0.000000,0,0.000000,
0.000003,1,0.000003,sub _swap { $_[2] ? @_[ 1, 0 ] : @_[ 0, 1 ] }
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000001,1,0.000001,my $support_smartmatch = 0+ !!( $] >= 5.010001 );
0.000027,1,0.000027,eval qq{ sub SUPPORT_SMARTMATCH () { !! $support_smartmatch } };
0.000000,0,0.000000,
0.000000,1,0.000000,my $fixed_precedence = 0+ !!( $] >= 5.014 );
0.000017,1,0.000017,eval qq{ sub _FIXED_PRECEDENCE () { !! $fixed_precedence } };
0.000000,0,0.000000,
0.000000,0,0.000000,my $try_xs =
0.000000,0,0.000000,exists( $ENV{PERL_TYPE_TINY_XS} ) ? !!$ENV{PERL_TYPE_TINY_XS}
0.000000,0,0.000000,: exists( $ENV{PERL_ONLY} )       ? !$ENV{PERL_ONLY}
0.000001,1,0.000001,:                                   1;
0.000000,0,0.000000,
0.000000,1,0.000000,my $use_xs = 0;
0.000001,1,0.000001,$try_xs and eval {
0.000098,1,0.000098,require Type::Tiny::XS;
0.000000,0,0.000000,'Type::Tiny::XS'->VERSION( $Type::Tiny::XS_VERSION );
