# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000043,2,0.000022,use strict;
0.000040,2,0.000020,use warnings;
0.000000,0,0.000000,package YAML::PP::Common;
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.035'; # VERSION
0.000000,0,0.000000,
0.000088,2,0.000044,use base 'Exporter';
0.000000,0,0.000000,
0.000001,1,0.000001,my @p = qw/
0.000000,0,0.000000,PRESERVE_ALL PRESERVE_ORDER PRESERVE_SCALAR_STYLE PRESERVE_FLOW_STYLE
0.000000,0,0.000000,PRESERVE_ALIAS
0.000000,0,0.000000,/;
0.000003,1,0.000003,my @s = qw/
0.000000,0,0.000000,YAML_ANY_SCALAR_STYLE YAML_PLAIN_SCALAR_STYLE
0.000000,0,0.000000,YAML_SINGLE_QUOTED_SCALAR_STYLE YAML_DOUBLE_QUOTED_SCALAR_STYLE
0.000000,0,0.000000,YAML_LITERAL_SCALAR_STYLE YAML_FOLDED_SCALAR_STYLE
0.000000,0,0.000000,YAML_QUOTED_SCALAR_STYLE
0.000000,0,0.000000,
0.000000,0,0.000000,YAML_ANY_SEQUENCE_STYLE
0.000000,0,0.000000,YAML_BLOCK_SEQUENCE_STYLE YAML_FLOW_SEQUENCE_STYLE
0.000000,0,0.000000,
0.000000,0,0.000000,YAML_ANY_MAPPING_STYLE
0.000000,0,0.000000,YAML_BLOCK_MAPPING_STYLE YAML_FLOW_MAPPING_STYLE
0.000000,0,0.000000,/;
0.000001,1,0.000001,our @EXPORT_OK = (@s, @p);
0.000000,0,0.000000,
0.000003,1,0.000003,our %EXPORT_TAGS = (
0.000000,0,0.000000,PRESERVE => [@p],
0.000000,0,0.000000,STYLES => [@s],
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,use constant {
0.000001,1,0.000001,YAML_ANY_SCALAR_STYLE           => 0,
0.000000,0,0.000000,YAML_PLAIN_SCALAR_STYLE         => 1,
0.000000,0,0.000000,YAML_SINGLE_QUOTED_SCALAR_STYLE => 2,
0.000000,0,0.000000,YAML_DOUBLE_QUOTED_SCALAR_STYLE => 3,
0.000000,0,0.000000,YAML_LITERAL_SCALAR_STYLE       => 4,
0.000000,0,0.000000,YAML_FOLDED_SCALAR_STYLE        => 5,
0.000000,0,0.000000,YAML_QUOTED_SCALAR_STYLE        => 'Q', # deprecated
0.000000,0,0.000000,
0.000000,0,0.000000,YAML_ANY_SEQUENCE_STYLE   => 0,
0.000000,0,0.000000,YAML_BLOCK_SEQUENCE_STYLE => 1,
0.000000,0,0.000000,YAML_FLOW_SEQUENCE_STYLE  => 2,
0.000000,0,0.000000,
0.000000,0,0.000000,YAML_ANY_MAPPING_STYLE   => 0,
0.000000,0,0.000000,YAML_BLOCK_MAPPING_STYLE => 1,
0.000000,0,0.000000,YAML_FLOW_MAPPING_STYLE  => 2,
0.000000,0,0.000000,
0.000000,0,0.000000,PRESERVE_ORDER        => 2,
0.000000,0,0.000000,PRESERVE_SCALAR_STYLE => 4,
0.000000,0,0.000000,PRESERVE_FLOW_STYLE   => 8,
0.000000,0,0.000000,PRESERVE_ALIAS        => 16,
0.000000,0,0.000000,
0.000000,0,0.000000,PRESERVE_ALL          => 31,
0.000662,1,0.000662,};
0.000000,0,0.000000,
0.000003,1,0.000003,my %scalar_style_to_string = (
0.000000,0,0.000000,YAML_PLAIN_SCALAR_STYLE() => ':',
