# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,# ABSTRACT: Construct data structure from Parser Events
0.000039,2,0.000019,use strict;
0.000069,2,0.000034,use warnings;
0.000000,0,0.000000,package YAML::PP::Constructor;
0.000000,0,0.000000,
0.000002,1,0.000002,our $VERSION = '0.035'; # VERSION
0.000000,0,0.000000,
0.000086,2,0.000043,use YAML::PP;
0.000002,1,0.000002,use YAML::PP::Common qw/
0.000000,0,0.000000,PRESERVE_ORDER PRESERVE_SCALAR_STYLE PRESERVE_FLOW_STYLE PRESERVE_ALIAS
0.000047,1,0.000047,/;
0.000029,2,0.000015,use Scalar::Util qw/ reftype /;
0.000057,2,0.000029,use Carp qw/ croak /;
0.000000,0,0.000000,
0.000046,2,0.000023,use constant DEBUG => ($ENV{YAML_PP_LOAD_DEBUG} or $ENV{YAML_PP_LOAD_TRACE}) ? 1 : 0;
0.004248,2,0.002124,use constant TRACE => $ENV{YAML_PP_LOAD_TRACE} ? 1 : 0;
0.000000,0,0.000000,
0.000008,1,0.000008,my %cyclic_refs = qw/ allow 1 ignore 1 warn 1 fatal 1 /;
0.000000,0,0.000000,
0.000000,0,0.000000,sub new {
0.000002,1,0.000002,my ($class, %args) = @_;
0.000000,0,0.000000,
0.000001,1,0.000001,my $default_yaml_version = delete $args{default_yaml_version};
0.000000,1,0.000000,my $duplicate_keys = delete $args{duplicate_keys};
0.000001,1,0.000001,unless (defined $duplicate_keys) {
0.000000,0,0.000000,$duplicate_keys = 0;
0.000000,0,0.000000,}
0.000001,1,0.000001,my $preserve = delete $args{preserve} || 0;
0.000001,1,0.000001,if ($preserve == 1) {
0.000000,0,0.000000,$preserve = PRESERVE_ORDER | PRESERVE_SCALAR_STYLE | PRESERVE_FLOW_STYLE | PRESERVE_ALIAS;
0.000000,0,0.000000,}
0.000001,1,0.000001,my $cyclic_refs = delete $args{cyclic_refs} || 'allow';
0.000000,0,0.000000,die "Invalid value for cyclic_refs: $cyclic_refs"
0.000001,1,0.000001,unless $cyclic_refs{ $cyclic_refs };
0.000000,1,0.000000,my $schemas = delete $args{schemas};
0.000000,0,0.000000,
0.000000,1,0.000000,if (keys %args) {
0.000000,0,0.000000,die "Unexpected arguments: " . join ', ', sort keys %args;
0.000000,0,0.000000,}
0.000000,0,0.000000,
