# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,# ABSTRACT: YAML Parser
0.000020,2,0.000010,use strict;
0.000033,2,0.000017,use warnings;
0.000000,0,0.000000,package YAML::PP::Parser;
0.000000,0,0.000000,
0.000004,1,0.000004,our $VERSION = '0.035'; # VERSION
0.000000,0,0.000000,
0.000027,2,0.000013,use constant TRACE => $ENV{YAML_PP_TRACE} ? 1 : 0;
0.000024,2,0.000012,use constant DEBUG => ($ENV{YAML_PP_DEBUG} || $ENV{YAML_PP_TRACE}) ? 1 : 0;
0.000000,0,0.000000,
0.000000,1,0.000000,use YAML::PP::Common qw/
0.000000,0,0.000000,YAML_PLAIN_SCALAR_STYLE YAML_SINGLE_QUOTED_SCALAR_STYLE
0.000000,0,0.000000,YAML_DOUBLE_QUOTED_SCALAR_STYLE
0.000000,0,0.000000,YAML_LITERAL_SCALAR_STYLE YAML_FOLDED_SCALAR_STYLE
0.000000,0,0.000000,YAML_FLOW_SEQUENCE_STYLE YAML_FLOW_MAPPING_STYLE
0.000017,1,0.000017,/;
0.000442,2,0.000221,use YAML::PP::Render;
0.000520,2,0.000260,use YAML::PP::Lexer;
0.000097,2,0.000048,use YAML::PP::Grammar qw/ $GRAMMAR /;
0.002590,2,0.001295,use YAML::PP::Exception;
0.000437,2,0.000218,use YAML::PP::Reader;
0.000737,2,0.000369,use Carp qw/ croak /;
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,sub new {
0.000003,1,0.000003,my ($class, %args) = @_;
0.000004,1,0.000004,my $reader = delete $args{reader} || YAML::PP::Reader->new;
0.000001,1,0.000001,my $default_yaml_version = delete $args{default_yaml_version};
0.000005,1,0.000005,my $self = bless {
0.000000,0,0.000000,default_yaml_version => $default_yaml_version || '1.2',
0.000000,0,0.000000,lexer => YAML::PP::Lexer->new(
0.000000,0,0.000000,reader => $reader,
0.000000,0,0.000000,),
0.000000,0,0.000000,}, $class;
0.000001,1,0.000001,my $receiver = delete $args{receiver};
0.000000,1,0.000000,if ($receiver) {
0.000000,0,0.000000,$self->set_receiver($receiver);
0.000000,0,0.000000,}
0.000003,1,0.000003,return $self;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub clone {
0.000000,0,0.000000,my ($self) = @_;
0.000000,0,0.000000,my $clone = {
0.000000,0,0.000000,default_yaml_version => $self->default_yaml_version,
0.000000,0,0.000000,lexer => YAML::PP::Lexer->new(),
0.000000,0,0.000000,};
0.000000,0,0.000000,return bless $clone, ref $self;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000009,1,0.000009,sub receiver { return $_[0]->{receiver} }
0.000000,0,0.000000,sub set_receiver {
0.000000,1,0.000000,my ($self, $receiver) = @_;
0.000001,1,0.000001,my $callback;
0.000002,1,0.000002,if (ref $receiver eq 'CODE') {
0.000000,0,0.000000,$callback = $receiver;
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,$callback = sub {
0.010232,36113,0.000000,my ($self, $event, $info) = @_;
0.102653,36113,0.000003,return $receiver->$event($info);
0.000008,1,0.000008,};
0.000000,0,0.000000,}
0.000000,1,0.000000,$self->{callback} = $callback;
0.000015,1,0.000015,$self->{receiver} = $receiver;
0.000000,0,0.000000,}
0.000000,0,0.000000,sub reader { return $_[0]->lexer->{reader} }
0.000000,0,0.000000,sub set_reader {
0.000000,1,0.000000,my ($self, $reader) = @_;
0.000005,1,0.000005,$self->lexer->set_reader($reader);
0.000000,0,0.000000,}
0.077661,55337,0.000001,sub lexer { return $_[0]->{lexer} }
0.046656,36113,0.000001,sub callback { return $_[0]->{callback} }
0.000000,0,0.000000,sub set_callback { $_[0]->{callback} = $_[1] }
0.016115,6993,0.000002,sub level { return $#{ $_[0]->{offset} } }
0.046756,31969,0.000001,sub offset { return $_[0]->{offset} }
0.000003,1,0.000003,sub set_offset { $_[0]->{offset} = $_[1] }
0.090255,62745,0.000001,sub events { return $_[0]->{events} }
0.000002,1,0.000002,sub set_events { $_[0]->{events} = $_[1] }
0.038336,27450,0.000001,sub new_node { return $_[0]->{new_node} }
0.055458,36237,0.000002,sub set_new_node { $_[0]->{new_node} = $_[1] }
0.000000,0,0.000000,sub tagmap { return $_[0]->{tagmap} }
0.000006,2,0.000003,sub set_tagmap { $_[0]->{tagmap} = $_[1] }
0.021396,13450,0.000002,sub tokens { return $_[0]->{tokens} }
0.000002,1,0.000002,sub set_tokens { $_[0]->{tokens} = $_[1] }
0.105946,70379,0.000002,sub event_stack { return $_[0]->{event_stack} }
0.000002,1,0.000002,sub set_event_stack { $_[0]->{event_stack} = $_[1] }
0.000002,1,0.000002,sub default_yaml_version { return $_[0]->{default_yaml_version} }
0.000003,1,0.000003,sub yaml_version { return $_[0]->{yaml_version} }
0.000002,1,0.000002,sub set_yaml_version { $_[0]->{yaml_version} = $_[1] }
0.000003,1,0.000003,sub yaml_version_directive { return $_[0]->{yaml_version_directive} }
0.000005,2,0.000002,sub set_yaml_version_directive { $_[0]->{yaml_version_directive} = $_[1] }
0.000000,0,0.000000,
