# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package overloading;
0.000206,2,0.000103,use warnings;
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.02';
0.000000,0,0.000000,
0.000000,1,0.000000,my $HINT_NO_AMAGIC = 0x01000000; # see perl.h
0.000000,0,0.000000,
0.000005,1,0.000005,require 5.010001;
0.000000,0,0.000000,
0.000000,0,0.000000,sub _ops_to_nums {
0.000000,0,0.000000,require overload::numbers;
0.000000,0,0.000000,
0.000000,0,0.000000,map { exists $overload::numbers::names{"($_"}
0.000000,0,0.000000,? $overload::numbers::names{"($_"}
0.000000,0,0.000000,: do { require Carp; Carp::croak("'$_' is not a valid overload") }
0.000000,0,0.000000,} @_;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub import {
0.000000,0,0.000000,my ( $class, @ops ) = @_;
0.000000,0,0.000000,
0.000000,0,0.000000,if ( @ops ) {
0.000000,0,0.000000,if ( $^H{overloading} ) {
0.000000,0,0.000000,vec($^H{overloading} , $_, 1) = 0 for _ops_to_nums(@ops);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,if ( $^H{overloading} !~ /[^\0]/ ) {
0.000000,0,0.000000,delete $^H{overloading};
0.000000,0,0.000000,$^H &= ~$HINT_NO_AMAGIC;
0.000000,0,0.000000,}
0.000000,0,0.000000,} else {
0.000000,0,0.000000,delete $^H{overloading};
0.000000,0,0.000000,$^H &= ~$HINT_NO_AMAGIC;
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub unimport {
0.000001,3,0.000000,my ( $class, @ops ) = @_;
0.000000,0,0.000000,
0.000006,3,0.000002,if ( exists $^H{overloading} or not $^H & $HINT_NO_AMAGIC ) {
0.000000,0,0.000000,if ( @ops ) {
0.000000,0,0.000000,vec($^H{overloading} ||= '', $_, 1) = 1 for _ops_to_nums(@ops);
0.000000,0,0.000000,} else {
0.000005,3,0.000002,delete $^H{overloading};
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000008,3,0.000003,$^H |= $HINT_NO_AMAGIC;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000003,1,0.000003,1;
0.000000,0,0.000000,__END__
