# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package re;
0.000000,0,0.000000,
0.000000,0,0.000000,# pragma for controlling the regexp engine
0.000018,2,0.000009,use strict;
0.000847,2,0.000424,use warnings;
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION     = "0.43";
0.000006,1,0.000006,our @ISA         = qw(Exporter);
0.000001,1,0.000001,our @EXPORT_OK   = qw{
0.000000,0,0.000000,is_regexp regexp_pattern
0.000000,0,0.000000,regname regnames regnames_count
0.000000,0,0.000000,regmust optimization
0.000000,0,0.000000,};
0.000007,1,0.000007,our %EXPORT_OK = map { $_ => 1 } @EXPORT_OK;
0.000000,0,0.000000,
0.000001,1,0.000001,my %bitmask = (
0.000000,0,0.000000,taint   => 0x00100000, # HINT_RE_TAINT
0.000000,0,0.000000,eval    => 0x00200000, # HINT_RE_EVAL
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,1,0.000000,my $flags_hint = 0x02000000; # HINT_RE_FLAGS
0.000000,1,0.000000,my $PMMOD_SHIFT = 0;
0.000004,1,0.000004,my %reflags = (
0.000000,0,0.000000,m => 1 << ($PMMOD_SHIFT + 0),
0.000000,0,0.000000,s => 1 << ($PMMOD_SHIFT + 1),
0.000000,0,0.000000,i => 1 << ($PMMOD_SHIFT + 2),
0.000000,0,0.000000,x => 1 << ($PMMOD_SHIFT + 3),
0.000000,0,0.000000,xx => 1 << ($PMMOD_SHIFT + 4),
0.000000,0,0.000000,n => 1 << ($PMMOD_SHIFT + 5),
0.000000,0,0.000000,p => 1 << ($PMMOD_SHIFT + 6),
0.000000,0,0.000000,strict => 1 << ($PMMOD_SHIFT + 10),
0.000000,0,0.000000,# special cases:
0.000000,0,0.000000,d => 0,
0.000000,0,0.000000,l => 1,
0.000000,0,0.000000,u => 2,
0.000000,0,0.000000,a => 3,
0.000000,0,0.000000,aa => 4,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,sub setcolor {
0.000000,0,0.000000,eval {				# Ignore errors
0.000000,0,0.000000,require Term::Cap;
0.000000,0,0.000000,
0.000000,0,0.000000,my $terminal = Tgetent Term::Cap ({OSPEED => 9600}); # Avoid warning.
