# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,sub {
0.000093,2,0.000046,no strict 'refs';
0.000044,556,0.000000,return !!0 if ref $_[0];
0.000062,556,0.000000,return !!0 if not $_[0];
0.000347,1668,0.000000,return !!0 if ref(do { my $tmpstr = $_[0]; \$tmpstr }) ne 'SCALAR';
0.000643,556,0.000001,my $stash = \%{"$_[0]\::"};
0.001576,556,0.000003,return !!1 if exists($stash->{'ISA'}) && *{$stash->{'ISA'}}{ARRAY} && @{$_[0].'::ISA'};
0.000000,0,0.000000,return !!1 if exists($stash->{'VERSION'});
0.000000,0,0.000000,foreach my $globref (values %$stash) {
0.000000,0,0.000000,return !!1
0.000000,0,0.000000,if ref \$globref eq 'GLOB'
0.000000,0,0.000000,? *{$globref}{CODE}
0.000000,0,0.000000,: ref $globref; # const or sub ref
0.000000,0,0.000000,}
0.000000,0,0.000000,return !!0;
0.000003,1,0.000003,}
0.000000,0,0.000000,;
