# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Eval::TypeTiny::Sandbox;
0.000000,0,0.000000,sub {
0.000003,20,0.000000,my $type = ${ $_[0] };
0.000000,0,0.000000,
0.000000,0,0.000000,sub (;$) {
0.000079,177,0.000000,if (ref($_[0]) eq 'Type::Tiny::_HalfOp') {
0.000000,0,0.000000,my $complete_type = shift->complete($type);
0.000000,0,0.000000,@_ && wantarray ? return($complete_type, @_) : return $complete_type;
0.000000,0,0.000000,}
0.000102,354,0.000000,my $params; $params = shift if ref($_[0]) eq q(ARRAY);
0.000131,177,0.000001,my $t = $params ? $type->parameterize(@$params) : $type;
0.000407,177,0.000002,@_ && wantarray ? return($t, @_) : return $t;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000108,40,0.000003,}
0.000000,0,0.000000,;
