# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package File::Spec;
0.000000,0,0.000000,
0.000108,2,0.000054,use strict;
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '3.84';
0.000001,1,0.000001,$VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.000003,1,0.000003,my %module = (
0.000000,0,0.000000,MSWin32 => 'Win32',
0.000000,0,0.000000,os2     => 'OS2',
0.000000,0,0.000000,VMS     => 'VMS',
0.000000,0,0.000000,NetWare => 'Win32', # Yes, File::Spec::Win32 works on NetWare.
0.000000,0,0.000000,symbian => 'Win32', # Yes, File::Spec::Win32 works on symbian.
0.000000,0,0.000000,dos     => 'OS2',   # Yes, File::Spec::OS2 works on DJGPP.
0.000000,0,0.000000,cygwin  => 'Cygwin',
0.000000,0,0.000000,amigaos => 'AmigaOS');
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000002,1,0.000002,my $module = $module{$^O} || 'Unix';
0.000000,0,0.000000,
0.000470,1,0.000470,require "File/Spec/$module.pm";
0.000008,1,0.000008,our @ISA = ("File::Spec::$module");
0.000000,0,0.000000,
0.000010,1,0.000010,1;
0.000000,0,0.000000,
0.000000,0,0.000000,__END__
