# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000048,2,0.000024,use strict;
0.000044,2,0.000022,use warnings;
0.000000,0,0.000000,package JSON::Schema::Modern::Vocabulary::FormatAnnotation;
0.000000,0,0.000000,# vim: set ts=8 sts=2 sw=2 tw=100 et :
0.000000,0,0.000000,# ABSTRACT: Implementation of the JSON Schema Format-Annotation vocabulary
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.559';
0.000000,0,0.000000,
0.000027,2,0.000013,use 5.020;
0.000031,2,0.000016,use Moo;
0.000028,3,0.000009,use strictures 2;
0.000031,2,0.000015,use experimental qw(signatures postderef);
0.000020,2,0.000010,use if "$]" >= 5.022, experimental => 're_strict';
0.000017,2,0.000008,no if "$]" >= 5.031009, feature => 'indirect';
0.000017,2,0.000008,no if "$]" >= 5.033001, feature => 'multidimensional';
0.000018,2,0.000009,no if "$]" >= 5.033006, feature => 'bareword_filehandles';
0.000015,2,0.000008,use JSON::Schema::Modern::Utilities qw(is_type E A assert_keyword_type);
0.000013,2,0.000006,use Feature::Compat::Try;
0.000184,2,0.000092,use namespace::clean;
0.000000,0,0.000000,
0.000001,1,0.000001,with 'JSON::Schema::Modern::Vocabulary';
0.000000,0,0.000000,
0.000000,0,0.000000,sub vocabulary {
0.000002,1,0.000002,'https://json-schema.org/draft/2019-09/vocab/format' => 'draft2019-09',
0.000000,0,0.000000,'https://json-schema.org/draft/2020-12/vocab/format-annotation' => 'draft2020-12';
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000005,5,0.000001,sub evaluation_order { 3 }
0.000000,0,0.000000,
0.000000,0,0.000000,sub keywords {
0.000002,1,0.000002,qw(format);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000065,200,0.000000,sub _traverse_keyword_format ($self, $schema, $state) {
0.000042,50,0.000001,return if not assert_keyword_type($state, $schema, 'string');
0.000082,50,0.000002,return 1;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _eval_keyword_format ($self, $data, $schema, $state) {
0.000000,0,0.000000,return A($state, $schema->{format});
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000003,1,0.000003,1;
0.000015,1,0.000015,__END__
