# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,#! perl
0.000000,0,0.000000,
0.000000,0,0.000000,# Getopt::Long.pm -- Universal options parsing
0.000000,0,0.000000,# Author          : Johan Vromans
0.000000,0,0.000000,# Created On      : Tue Sep 11 15:00:12 1990
0.000000,0,0.000000,# Last Modified By: Johan Vromans
0.000000,0,0.000000,# Last Modified On: Tue Aug 18 14:48:05 2020
0.000000,0,0.000000,# Update Count    : 1739
0.000000,0,0.000000,# Status          : Released
0.000000,0,0.000000,
0.000000,0,0.000000,################ Module Preamble ################
0.000000,0,0.000000,
0.000055,2,0.000028,use 5.004;
0.000000,0,0.000000,
0.000021,2,0.000010,use strict;
0.000021,2,0.000011,use warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,package Getopt::Long;
0.000000,0,0.000000,
0.000020,2,0.000010,use vars qw($VERSION);
0.000001,1,0.000001,$VERSION        =  2.52;
0.000000,0,0.000000,# For testing versions only.
0.000015,2,0.000008,use vars qw($VERSION_STRING);
0.000000,1,0.000000,$VERSION_STRING = "2.52";
0.000000,0,0.000000,
0.000017,2,0.000008,use Exporter;
0.000058,2,0.000029,use vars qw(@ISA @EXPORT @EXPORT_OK);
0.000010,1,0.000010,@ISA = qw(Exporter);
0.000000,0,0.000000,
0.000000,0,0.000000,# Exported subroutines.
0.000000,0,0.000000,sub GetOptions(@);		# always
0.000000,0,0.000000,sub GetOptionsFromArray(@);	# on demand
0.000000,0,0.000000,sub GetOptionsFromString(@);	# on demand
0.000000,0,0.000000,sub Configure(@);		# on demand
0.000000,0,0.000000,sub HelpMessage(@);		# on demand
0.000000,0,0.000000,sub VersionMessage(@);		# in demand
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000000,0,0.000000,# Init immediately so their contents can be used in the 'use vars' below.
0.000001,1,0.000001,@EXPORT    = qw(&GetOptions $REQUIRE_ORDER $PERMUTE $RETURN_IN_ORDER);
0.000003,1,0.000003,@EXPORT_OK = qw(&HelpMessage &VersionMessage &Configure
0.000000,0,0.000000,&GetOptionsFromArray &GetOptionsFromString);
0.000013,1,0.000013,}
0.000000,0,0.000000,
0.000000,0,0.000000,# User visible variables.
0.000014,2,0.000007,use vars @EXPORT, @EXPORT_OK;
0.000014,2,0.000007,use vars qw($error $debug $major_version $minor_version);
0.000000,0,0.000000,# Deprecated visible variables.
0.000000,1,0.000000,use vars qw($autoabbrev $getopt_compat $ignorecase $bundling $order
0.000012,1,0.000012,$passthrough);
0.000000,0,0.000000,# Official invisible variables.
0.000395,2,0.000198,use vars qw($genprefix $caller $gnu_compat $auto_help $auto_version $longprefix);
0.000000,0,0.000000,
0.000000,0,0.000000,# Really invisible variables.
0.000000,1,0.000000,my $bundling_values;
0.000000,0,0.000000,
0.000000,0,0.000000,# Public subroutines.
0.000000,0,0.000000,sub config(@);			# deprecated name
0.000000,0,0.000000,
0.000000,0,0.000000,# Private subroutines.
0.000000,0,0.000000,sub ConfigDefaults();
0.000000,0,0.000000,sub ParseOptionSpec($$);
0.000000,0,0.000000,sub OptCtl($);
0.000000,0,0.000000,sub FindOption($$$$$);
0.000000,0,0.000000,sub ValidValue ($$$$$);
0.000000,0,0.000000,
0.000000,0,0.000000,################ Local Variables ################
0.000000,0,0.000000,
0.000000,0,0.000000,# $requested_version holds the version that was mentioned in the 'use'
0.000000,0,0.000000,# or 'require', if any. It can be used to enable or disable specific
0.000000,0,0.000000,# features.
0.000000,1,0.000000,my $requested_version = 0;
0.000000,0,0.000000,
0.000000,0,0.000000,################ Resident subroutines ################
0.000000,0,0.000000,
0.000000,0,0.000000,sub ConfigDefaults() {
0.000000,0,0.000000,# Handle POSIX compliancy.
0.000001,1,0.000001,if ( defined $ENV{"POSIXLY_CORRECT"} ) {
0.000000,0,0.000000,$genprefix = "(--|-)";
0.000000,0,0.000000,$autoabbrev = 0;		# no automatic abbrev of options
0.000000,0,0.000000,$bundling = 0;			# no bundling of single letter switches
0.000000,0,0.000000,$getopt_compat = 0;		# disallow '+' to start options
0.000000,0,0.000000,$order = $REQUIRE_ORDER;
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,1,0.000000,$genprefix = "(--|-|\\+)";
0.000000,1,0.000000,$autoabbrev = 1;		# automatic abbrev of options
0.000000,1,0.000000,$bundling = 0;			# bundling off by default
0.000000,1,0.000000,$getopt_compat = 1;		# allow '+' to start options
0.000000,1,0.000000,$order = $PERMUTE;
0.000000,0,0.000000,}
0.000000,0,0.000000,# Other configurable settings.
0.000001,1,0.000001,$debug = 0;			# for debugging
0.000000,1,0.000000,$error = 0;			# error tally
0.000000,1,0.000000,$ignorecase = 1;		# ignore case when matching options
0.000000,1,0.000000,$passthrough = 0;		# leave unrecognized options alone
0.000000,1,0.000000,$gnu_compat = 0;		# require --opt=val if value is optional
0.000000,1,0.000000,$longprefix = "(--)";       # what does a long prefix look like
0.000002,1,0.000002,$bundling_values = 0;	# no bundling of values
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,# Override import.
0.000000,0,0.000000,sub import {
0.000000,1,0.000000,my $pkg = shift;		# package
0.000000,1,0.000000,my @syms = ();		# symbols to import
