# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,#
0.000000,0,0.000000,
0.000000,0,0.000000,package IO;
0.000000,0,0.000000,
0.000022,2,0.000011,use XSLoader ();
0.000028,2,0.000014,use Carp;
0.000022,2,0.000011,use strict;
0.000230,2,0.000115,use warnings;
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = "1.50";
0.003817,1,0.003817,XSLoader::load 'IO', $VERSION;
0.000000,0,0.000000,
0.000000,0,0.000000,sub import {
0.000000,0,0.000000,shift;
0.000000,0,0.000000,
0.000000,0,0.000000,warnings::warnif('deprecated', qq{Parameterless "use IO" deprecated})
0.000000,0,0.000000,if @_ == 0 ;
0.000000,0,0.000000,
0.000000,0,0.000000,my @l = @_ ? @_ : qw(Handle Seekable File Pipe Socket Dir);
0.000000,0,0.000000,
0.000000,0,0.000000,local @INC = @INC;
0.000000,0,0.000000,pop @INC if $INC[-1] eq '.';
0.000000,0,0.000000,eval join("", map { "require IO::" . (/(\w+)/)[0] . ";\n" } @l)
0.000000,0,0.000000,or croak $@;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000006,1,0.000006,1;
0.000000,0,0.000000,
0.000000,0,0.000000,__END__
