# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package JSON::PP::Boolean;
0.000000,0,0.000000,
0.000120,2,0.000060,use strict;
0.000000,1,0.000000,require overload;
0.000002,1,0.000002,local $^W;
0.000002,1,0.000002,overload::unimport('overload', qw(0+ ++ -- fallback));
0.000000,0,0.000000,overload::import('overload',
0.004605,2030,0.000002,"0+"     => sub { ${$_[0]} },
0.000000,0,0.000000,"++"     => sub { $_[0] = ${$_[0]} + 1 },
0.000000,0,0.000000,"--"     => sub { $_[0] = ${$_[0]} - 1 },
0.000004,1,0.000004,fallback => 1,
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,1,0.000000,$JSON::PP::Boolean::VERSION = '4.12';
0.000000,0,0.000000,
0.000005,1,0.000005,1;
0.000000,0,0.000000,
0.000000,0,0.000000,__END__
