# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000025,2,0.000013,use strict;
0.000037,2,0.000018,use warnings;
0.000000,0,0.000000,package JSON::Schema::Modern::Vocabulary::OpenAPI;
0.000000,0,0.000000,# vim: set ts=8 sts=2 sw=2 tw=100 et :
0.000000,0,0.000000,# ABSTRACT: Implementation of the JSON Schema OpenAPI vocabulary
0.000000,0,0.000000,
0.000001,1,0.000001,our $VERSION = '0.037';
0.000000,0,0.000000,
0.000026,2,0.000013,use 5.020;
0.000023,2,0.000012,use Moo;
0.000033,3,0.000011,use strictures 2;
0.000028,2,0.000014,use experimental qw(signatures postderef);
0.000022,2,0.000011,use if "$]" >= 5.022, experimental => 're_strict';
0.000018,2,0.000009,no if "$]" >= 5.031009, feature => 'indirect';
0.000018,2,0.000009,no if "$]" >= 5.033001, feature => 'multidimensional';
0.000019,2,0.000010,no if "$]" >= 5.033006, feature => 'bareword_filehandles';
0.000027,3,0.000009,use JSON::Schema::Modern::Utilities 0.524 qw(assert_keyword_type annotate_self E is_type jsonp);
0.000440,2,0.000220,use namespace::clean;
0.000000,0,0.000000,
0.000002,1,0.000002,with 'JSON::Schema::Modern::Vocabulary';
0.000000,0,0.000000,
0.000000,0,0.000000,sub vocabulary {
0.000003,1,0.000003,'https://spec.openapis.org/oas/3.1/vocab/base' => 'draft2020-12',
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub keywords {
0.000003,1,0.000003,qw(discriminator example externalDocs xml);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _traverse_keyword_discriminator ($self, $schema, $state) {
0.000000,0,0.000000,return if not assert_keyword_type($state, $schema, 'object');
0.000000,0,0.000000,
0.000000,0,0.000000,# "the discriminator field MUST be a required field"
0.000000,0,0.000000,return E($state, 'missing required field propertyName')
0.000000,0,0.000000,if not exists $schema->{discriminator}{propertyName};
0.000000,0,0.000000,return E({ %$state, _schema_path_suffix => 'propertyName' }, 'discriminator propertyName is not a string')
0.000000,0,0.000000,if not is_type('string', $schema->{discriminator}{propertyName});
0.000000,0,0.000000,
0.000000,0,0.000000,my $valid = 1;
0.000000,0,0.000000,if (exists $schema->{discriminator}{mapping}) {
0.000000,0,0.000000,return if not assert_keyword_type({ %$state, _schema_path_suffix => 'mapping' }, $schema, 'object');
