# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package MIME::Base64;
0.000000,0,0.000000,
0.000025,2,0.000013,use strict;
0.000169,2,0.000084,use warnings;
0.000000,0,0.000000,
0.000001,1,0.000001,require Exporter;
0.000005,1,0.000005,our @ISA = qw(Exporter);
0.000001,1,0.000001,our @EXPORT = qw(encode_base64 decode_base64);
0.000000,1,0.000000,our @EXPORT_OK = qw(encode_base64url decode_base64url encoded_base64_length decoded_base64_length);
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '3.16';
0.000000,0,0.000000,
0.000000,1,0.000000,require XSLoader;
0.005363,1,0.005363,XSLoader::load('MIME::Base64', $VERSION);
0.000000,0,0.000000,
0.000002,1,0.000002,*encode = \&encode_base64;
0.000000,1,0.000000,*decode = \&decode_base64;
0.000000,0,0.000000,
0.000000,0,0.000000,sub encode_base64url {
0.000000,0,0.000000,my $e = encode_base64(shift, "");
0.000000,0,0.000000,$e =~ s/=+\z//;
0.000000,0,0.000000,$e =~ tr[+/][-_];
0.000000,0,0.000000,return $e;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub decode_base64url {
0.000000,0,0.000000,my $s = shift;
0.000000,0,0.000000,$s =~ tr[-_][+/];
0.000000,0,0.000000,$s .= '=' while length($s) % 4;
0.000000,0,0.000000,return decode_base64($s);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000009,1,0.000009,1;
0.000000,0,0.000000,
0.000000,0,0.000000,__END__
