# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Method::Generate::Accessor;
0.000026,2,0.000013,use strict;
0.000018,2,0.000009,use warnings;
0.000000,0,0.000000,
0.000015,2,0.000007,use Moo::_Utils qw(_maybe_load_module _install_coderef _module_name_rx);
0.000020,2,0.000010,use Moo::Object ();
0.000021,1,0.000021,BEGIN { our @ISA = qw(Moo::Object) }
0.001147,2,0.000573,use Sub::Quote qw(quote_sub quoted_from_sub quotify sanitize_identifier);
0.000027,2,0.000013,use Scalar::Util 'blessed';
0.000067,2,0.000034,use Carp qw(croak);
0.000000,0,0.000000,BEGIN {
0.000014,1,0.000014,our @CARP_NOT = qw(
0.000000,0,0.000000,Moo::_Utils
0.000000,0,0.000000,Moo::Object
0.000000,0,0.000000,Moo::Role
0.000000,0,0.000000,);
0.000204,1,0.000204,}
0.000000,0,0.000000,BEGIN {
0.000000,0,0.000000,*_CAN_WEAKEN_READONLY = (
0.000000,0,0.000000,"$]" < 5.008_003 or $ENV{MOO_TEST_PRE_583}
0.000005,1,0.000005,) ? sub(){0} : sub(){1};
0.000000,0,0.000000,our $CAN_HAZ_XS =
0.000000,0,0.000000,!$ENV{MOO_XS_DISABLE}
0.000000,0,0.000000,&&
0.000000,0,0.000000,_maybe_load_module('Class::XSAccessor')
0.000000,0,0.000000,&&
0.000010,1,0.000010,(eval { Class::XSAccessor->VERSION('1.07') })
0.000000,0,0.000000,;
0.000000,0,0.000000,our $CAN_HAZ_XS_PRED =
0.000000,0,0.000000,$CAN_HAZ_XS &&
0.000004,1,0.000004,(eval { Class::XSAccessor->VERSION('1.17') })
0.000000,0,0.000000,;
0.000046,1,0.000046,}
0.000000,0,0.000000,BEGIN {
0.000000,0,0.000000,package
0.000000,0,0.000000,Method::Generate::Accessor::_Generated;
0.000002,1,0.000002,$Carp::Internal{+__PACKAGE__} = 1;
0.002445,1,0.002445,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _die_overwrite {
0.000000,0,0.000000,my ($pkg, $method, $type) = @_;
0.000000,0,0.000000,croak "You cannot overwrite a locally defined method ($method) with "
0.000000,0,0.000000,. ( $type || 'an accessor' );
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub generate_method {
0.000023,49,0.000000,my ($self, $into, $name, $spec, $quote_opts) = @_;
0.000000,0,0.000000,$quote_opts = {
0.000000,0,0.000000,no_defer => 1,
0.000000,0,0.000000,package => 'Method::Generate::Accessor::_Generated',
0.000096,49,0.000002,%{ $quote_opts||{} },
0.000000,0,0.000000,};
0.000070,49,0.000001,$spec->{allow_overwrite}++ if $name =~ s/^\+//;
0.000026,49,0.000001,croak "Must have an is" unless my $is = $spec->{is};
0.000084,49,0.000002,if ($is eq 'ro') {
0.000000,0,0.000000,$spec->{reader} = $name unless exists $spec->{reader};
