# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000017,2,0.000008,use strict;
0.000041,2,0.000021,use warnings;
0.000000,0,0.000000,package JSON::Schema::Modern;
0.000000,0,0.000000,# vim: set ts=8 sts=2 sw=2 tw=100 et :
0.000000,0,0.000000,# ABSTRACT: Validate data against a schema
0.000000,0,0.000000,# KEYWORDS: JSON Schema validator data validation structure specification
0.000000,0,0.000000,
0.000001,1,0.000001,our $VERSION = '0.559';
0.000000,0,0.000000,
0.000022,2,0.000011,use 5.020;  # for fc, unicode_strings features
0.000021,2,0.000010,use Moo;
0.000025,3,0.000008,use strictures 2;
0.000027,2,0.000013,use experimental qw(signatures postderef);
0.000022,2,0.000011,use if "$]" >= 5.022, experimental => 're_strict';
0.000016,2,0.000008,no if "$]" >= 5.031009, feature => 'indirect';
0.000014,2,0.000007,no if "$]" >= 5.033001, feature => 'multidimensional';
0.000015,2,0.000007,no if "$]" >= 5.033006, feature => 'bareword_filehandles';
0.001218,2,0.000609,use JSON::MaybeXS;
0.000023,2,0.000012,use Carp qw(croak carp);
0.000029,3,0.000010,use List::Util 1.55 qw(pairs first uniqint pairmap uniq any);
0.000024,3,0.000008,use Ref::Util 0.100 qw(is_ref is_plain_hashref);
0.000012,2,0.000006,use Scalar::Util 'refaddr';
0.001652,2,0.000826,use Mojo::URL;
0.000019,2,0.000010,use Safe::Isa;
0.001016,2,0.000508,use Path::Tiny;
0.000020,2,0.000010,use Storable 'dclone';
0.001533,2,0.000766,use File::ShareDir 'dist_dir';
0.001822,2,0.000911,use Module::Runtime qw(use_module require_module);
0.001134,3,0.000378,use MooX::TypeTiny 0.002002;
0.001140,2,0.000570,use MooX::HandlesVia;
0.001331,3,0.000444,use Types::Standard 1.016003 qw(Bool Int Str HasMethods Enum InstanceOf HashRef Dict CodeRef Optional Slurpy ArrayRef Undef ClassName Tuple Map);
0.000020,2,0.000010,use Feature::Compat::Try;
0.000546,2,0.000273,use JSON::Schema::Modern::Error;
