# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Module::Load;
0.000000,0,0.000000,
0.000024,2,0.000012,use strict;
0.000013,2,0.000007,use warnings;
0.000063,2,0.000031,use File::Spec ();
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '0.36';
0.000000,0,0.000000,
0.000000,0,0.000000,
0.000000,0,0.000000,sub import {
0.000000,0,0.000000,my $who = _who();
0.000000,0,0.000000,my $h; shift;
0.000000,0,0.000000,
0.000410,2,0.000205,{   no strict 'refs';
0.000000,0,0.000000,
0.000000,0,0.000000,@_ or (
0.000000,0,0.000000,*{"${who}::load"} = \&load, # compat to prev version
0.000000,0,0.000000,*{"${who}::autoload"} = \&autoload,
0.000000,0,0.000000,return
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,0,0.000000,map { $h->{$_} = () if defined $_ } @_;
0.000000,0,0.000000,
0.000000,0,0.000000,(exists $h->{none} or exists $h->{''})
0.000000,0,0.000000,and shift, last;
0.000000,0,0.000000,
0.000000,0,0.000000,((exists $h->{autoload} and shift,1) or (exists $h->{all} and shift))
0.000000,0,0.000000,and *{"${who}::autoload"} = \&autoload;
0.000000,0,0.000000,
0.000000,0,0.000000,((exists $h->{load} and shift,1) or exists $h->{all})
0.000000,0,0.000000,and *{"${who}::load"} = \&load;
0.000000,0,0.000000,
0.000000,0,0.000000,((exists $h->{load_remote} and shift,1) or exists $h->{all})
0.000000,0,0.000000,and *{"${who}::load_remote"} = \&load_remote;
0.000000,0,0.000000,
0.000000,0,0.000000,((exists $h->{autoload_remote} and shift,1) or exists $h->{all})
0.000000,0,0.000000,and *{"${who}::autoload_remote"} = \&autoload_remote;
0.000000,0,0.000000,
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub load(*;@){
0.000005,1,0.000005,goto &_load;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub autoload(*;@){
0.000000,0,0.000000,unshift @_, 'autoimport';
0.000000,0,0.000000,goto &_load;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub load_remote($$;@){
