# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Mojo::Util;
0.000023,2,0.000012,use Mojo::Base -strict;
0.000000,0,0.000000,
0.000016,2,0.000008,use Carp           qw(carp croak);
0.001904,2,0.000952,use Data::Dumper   ();
0.001156,2,0.000578,use Digest::MD5    qw(md5 md5_hex);
0.000477,2,0.000238,use Digest::SHA    qw(hmac_sha1_hex sha1 sha1_hex);
0.000015,2,0.000008,use Encode         qw(find_encoding);
0.000013,2,0.000006,use Exporter       qw(import);
0.001722,2,0.000861,use File::Basename qw(dirname);
0.000681,2,0.000340,use Getopt::Long   qw(GetOptionsFromArray);
0.001553,2,0.000777,use IO::Compress::Gzip;
0.000653,2,0.000326,use IO::Poll qw(POLLIN POLLPRI);
0.000482,2,0.000241,use IO::Uncompress::Gunzip;
0.000016,2,0.000008,use List::Util         qw(min);
0.000610,2,0.000305,use MIME::Base64       qw(decode_base64 encode_base64);
0.002062,2,0.001031,use Pod::Usage         qw(pod2usage);
0.000550,2,0.000275,use Socket             qw(inet_pton AF_INET6 AF_INET);
0.000041,2,0.000021,use Sub::Util          qw(set_subname);
0.000032,2,0.000016,use Symbol             qw(delete_package);
0.002390,2,0.001195,use Time::HiRes        ();
0.001215,2,0.000607,use Unicode::Normalize ();
0.000000,0,0.000000,
0.000000,0,0.000000,# Check for monotonic clock support
0.000056,3,0.000019,use constant MONOTONIC => eval { !!Time::HiRes::clock_gettime(Time::HiRes::CLOCK_MONOTONIC()) };
0.000000,0,0.000000,
0.000000,0,0.000000,# Punycode bootstring parameters
0.000000,0,0.000000,use constant {
0.000000,1,0.000000,PC_BASE         => 36,
0.000000,0,0.000000,PC_TMIN         => 1,
0.000000,0,0.000000,PC_TMAX         => 26,
0.000000,0,0.000000,PC_SKEW         => 38,
0.000000,0,0.000000,PC_DAMP         => 700,
0.000000,0,0.000000,PC_INITIAL_BIAS => 72,
0.000000,0,0.000000,PC_INITIAL_N    => 128
0.001202,1,0.001202,};
0.000000,0,0.000000,
0.000000,0,0.000000,# To generate a new HTML entity table run this command
0.000000,0,0.000000,# perl examples/entities.pl > lib/Mojo/resources/html_entities.txt
0.000000,1,0.000000,my %ENTITIES;
0.000000,0,0.000000,{
