# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Moo::_Utils;
0.000022,2,0.000011,use strict;
0.000018,2,0.000009,use warnings;
0.000000,0,0.000000,
0.000000,0,0.000000,{
0.000017,2,0.000008,no strict 'refs';
0.000265,2,0.000133,no warnings 'once';
0.000537,206,0.000003,sub _getglob { \*{$_[0]} }
0.000118,41,0.000003,sub _getstash { \%{"$_[0]::"} }
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000001,1,0.000001,BEGIN {
0.000000,1,0.000000,my ($su, $sn);
0.000000,0,0.000000,$su = $INC{'Sub/Util.pm'} && defined &Sub::Util::set_subname
0.000000,0,0.000000,or $sn = $INC{'Sub/Name.pm'}
0.003235,1,0.003235,or $su = eval { require Sub::Util; } && defined &Sub::Util::set_subname
0.000002,1,0.000002,or $sn = eval { require Sub::Name; };
0.000000,0,0.000000,
0.000000,0,0.000000,*_subname = $su ? \&Sub::Util::set_subname
0.000000,0,0.000000,: $sn ? \&Sub::Name::subname
0.000002,1,0.000002,: sub { $_[1] };
0.000001,1,0.000001,*_CAN_SUBNAME = ($su || $sn) ? sub(){1} : sub(){0};
0.000000,0,0.000000,
0.000004,1,0.000004,*_WORK_AROUND_BROKEN_MODULE_STATE = "$]" < 5.009 ? sub(){1} : sub(){0};
0.000000,0,0.000000,*_WORK_AROUND_HINT_LEAKAGE
0.000000,0,0.000000,= "$]" < 5.011 && !("$]" >= 5.009004 && "$]" < 5.010001)
0.000001,1,0.000001,? sub(){1} : sub(){0};
0.000000,0,0.000000,
0.000006,1,0.000006,my $module_name_rx = qr/\A(?!\d)\w+(?:::\w+)*\z/;
0.000010,1,0.000010,*_module_name_rx = sub(){$module_name_rx};
0.000049,1,0.000049,}
0.000000,0,0.000000,
0.000023,2,0.000012,use Exporter ();
0.000014,1,0.000014,BEGIN { *import = \&Exporter::import }
0.001157,2,0.000578,use Config ();
0.000914,2,0.000457,use Scalar::Util qw(weaken);
0.001019,2,0.000509,use Carp qw(croak);
0.000000,0,0.000000,
0.000000,0,0.000000,# this should be empty, but some CPAN modules expect these
0.000001,1,0.000001,our @EXPORT = qw(
0.000000,0,0.000000,_install_coderef
0.000000,0,0.000000,_load_module
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000002,1,0.000002,our @EXPORT_OK = qw(
0.000000,0,0.000000,_check_tracked
0.000000,0,0.000000,_getglob
0.000000,0,0.000000,_getstash
0.000000,0,0.000000,_install_coderef
0.000000,0,0.000000,_install_modifier
0.000000,0,0.000000,_install_tracked
0.000000,0,0.000000,_load_module
0.000000,0,0.000000,_maybe_load_module
0.000000,0,0.000000,_module_name_rx
0.000000,0,0.000000,_name_coderef
0.000000,0,0.000000,_set_loaded
0.000000,0,0.000000,_unimport_coderefs
0.000000,0,0.000000,_linear_isa
0.000000,0,0.000000,_in_global_destruction
0.000000,0,0.000000,_in_global_destruction_code
0.000000,0,0.000000,);
0.000000,0,0.000000,
0.000000,1,0.000000,my %EXPORTS;
0.000000,0,0.000000,
0.000000,0,0.000000,sub _install_modifier {
0.000009,17,0.000001,my $target = $_[0];
0.000004,17,0.000000,my $type = $_[1];
0.000008,17,0.000000,my $code = $_[-1];
0.000034,17,0.000002,my @names = @_[2 .. $#_ - 1];
0.000000,0,0.000000,
0.000015,17,0.000001,@names = @{ $names[0] }
0.000000,0,0.000000,if ref($names[0]) eq 'ARRAY';
0.000000,0,0.000000,
0.000029,17,0.000002,my @tracked = _check_tracked($target, \@names);
0.000000,0,0.000000,
0.000014,17,0.000001,if ($INC{'Sub/Defer.pm'}) {
0.000000,0,0.000000,for my $name (@names) {
0.000000,0,0.000000,# CMM will throw for us if it doesn't exist
0.000108,25,0.000004,if (my $to_modify = $target->can($name)) {
0.000000,0,0.000000,Sub::Defer::undefer_sub($to_modify);
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000523,17,0.000031,require Class::Method::Modifiers;
0.000027,17,0.000002,Class::Method::Modifiers::install_modifier(@_);
0.000000,0,0.000000,
0.000006,17,0.000000,if (@tracked) {
0.000004,7,0.000001,my $exports = $EXPORTS{$target};
0.000000,0,0.000000,weaken($exports->{$_} = $target->can($_))
0.000077,7,0.000011,for @tracked;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000038,17,0.000002,return;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _install_tracked {
0.000021,119,0.000000,my ($target, $name, $code) = @_;
0.000025,119,0.000000,my $from = caller;
0.000263,119,0.000002,weaken($EXPORTS{$target}{$name} = $code);
0.000246,119,0.000002,_install_coderef("${target}::${name}", "${from}::${name}", $code);
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub Moo::_Util::__GUARD__::DESTROY {
0.000000,0,0.000000,delete $INC{$_[0]->[0]} if @{$_[0]};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _require {
0.000003,4,0.000001,my ($file) = @_;
0.000001,4,0.000000,my $guard = _WORK_AROUND_BROKEN_MODULE_STATE
0.000000,0,0.000000,&& bless([ $file ], 'Moo::_Util::__GUARD__');
0.000000,0,0.000000,local %^H if _WORK_AROUND_HINT_LEAKAGE;
0.002357,11,0.000214,if (!eval { require $file; 1 }) {
0.000000,1,0.000000,my $e = $@ || "Can't locate $file";
0.000000,1,0.000000,my $me = __FILE__;
0.000044,1,0.000044,$e =~ s{ at \Q$me\E line \d+\.\n\z}{};
0.000009,1,0.000009,return $e;
0.000000,0,0.000000,}
0.000000,0,0.000000,pop @$guard if _WORK_AROUND_BROKEN_MODULE_STATE;
0.000008,3,0.000003,return undef;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _load_module {
0.000010,26,0.000000,my ($module) = @_;
0.000139,26,0.000005,croak qq{"$module" is not a module name!}
0.000000,0,0.000000,unless $module =~ _module_name_rx;
0.000105,26,0.000004,(my $file = "$module.pm") =~ s{::}{/}g;
0.000000,0,0.000000,return 1
0.000045,26,0.000002,if $INC{$file};
0.000000,0,0.000000,
0.000004,3,0.000001,my $e = _require $file;
0.000008,3,0.000003,return 1
0.000000,0,0.000000,if !defined $e;
0.000000,0,0.000000,
0.000000,0,0.000000,croak $e
0.000000,0,0.000000,if $e !~ /\ACan't locate \Q$file\E /;
0.000000,0,0.000000,
0.000000,0,0.000000,# can't just ->can('can') because a sub-package Foo::Bar::Baz
0.000000,0,0.000000,# creates a 'Baz::' key in Foo::Bar's symbol table
0.000000,0,0.000000,my $stash = _getstash($module)||{};
0.000194,2,0.000097,no strict 'refs';
0.000000,0,0.000000,return 1 if grep +exists &{"${module}::$_"}, grep !/::\z/, keys %$stash;
0.000000,0,0.000000,return 1
0.000000,0,0.000000,if $INC{"Moose.pm"} && Class::MOP::class_of($module)
0.000000,0,0.000000,or Mouse::Util->can('find_meta') && Mouse::Util::find_meta($module);
0.000000,0,0.000000,
0.000000,0,0.000000,croak $e;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,our %MAYBE_LOADED;
0.000000,0,0.000000,sub _maybe_load_module {
0.000001,1,0.000001,my $module = $_[0];
0.000000,0,0.000000,return $MAYBE_LOADED{$module}
0.000001,1,0.000001,if exists $MAYBE_LOADED{$module};
0.000012,1,0.000012,(my $file = "$module.pm") =~ s{::}{/}g;
0.000000,0,0.000000,
0.000003,1,0.000003,my $e = _require $file;
0.000013,1,0.000013,if (!defined $e) {
0.000000,0,0.000000,return $MAYBE_LOADED{$module} = 1;
0.000000,0,0.000000,}
0.000000,0,0.000000,elsif ($e !~ /\ACan't locate \Q$file\E /) {
0.000000,0,0.000000,warn "$module exists but failed to load with error: $e";
0.000000,0,0.000000,}
0.000005,1,0.000005,return $MAYBE_LOADED{$module} = 0;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,BEGIN {
0.000000,0,0.000000,# optimize for newer perls
0.000000,0,0.000000,require mro
0.000693,1,0.000693,if "$]" >= 5.009_005;
0.000000,0,0.000000,
0.000005,1,0.000005,if (defined &mro::get_linear_isa) {
0.000000,0,0.000000,*_linear_isa = \&mro::get_linear_isa;
0.000000,0,0.000000,}
0.000000,0,0.000000,else {
0.000000,0,0.000000,my $e;
0.000000,0,0.000000,{
0.000000,0,0.000000,local $@;
0.000000,0,0.000000,eval <<'END_CODE' or $e = $@;
0.000000,0,0.000000,sub _linear_isa($;$) {
0.000000,0,0.000000,my $class = shift;
0.000000,0,0.000000,my $type = shift || exists $Class::C3::MRO{$class} ? 'c3' : 'dfs';
0.000000,0,0.000000,
0.000000,0,0.000000,if ($type eq 'c3') {
0.000000,0,0.000000,require Class::C3;
0.000000,0,0.000000,return [Class::C3::calculateMRO($class)];
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,my @check = ($class);
0.000000,0,0.000000,my @lin;
0.000000,0,0.000000,
0.000000,0,0.000000,my %found;
0.000000,0,0.000000,while (defined(my $check = shift @check)) {
0.000000,0,0.000000,push @lin, $check;
0.000000,0,0.000000,no strict 'refs';
0.000000,0,0.000000,unshift @check, grep !$found{$_}++, @{"$check\::ISA"};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,return \@lin;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,1;
