# Profile data generated by Devel::NYTProf::Reader
# Version: v6.12
# More information at http://metacpan.org/release/Devel-NYTProf/
# Format: time,calls,time/call,code
0.000000,0,0.000000,package Moo;
0.000022,2,0.000011,use strict;
0.000015,2,0.000008,use warnings;
0.000025,2,0.000012,no warnings 'once';
0.000000,0,0.000000,
0.000468,1,0.000468,use Moo::_Utils qw(
0.000000,0,0.000000,_check_tracked
0.000000,0,0.000000,_getglob
0.000000,0,0.000000,_getstash
0.000000,0,0.000000,_install_coderef
0.000000,0,0.000000,_install_modifier
0.000000,0,0.000000,_install_tracked
0.000000,0,0.000000,_linear_isa
0.000000,0,0.000000,_load_module
0.000000,0,0.000000,_set_loaded
0.000000,0,0.000000,_unimport_coderefs
0.000023,1,0.000023,);
0.000026,2,0.000013,use Carp qw(croak);
0.000000,0,0.000000,BEGIN {
0.000002,1,0.000002,our @CARP_NOT = qw(
0.000000,0,0.000000,Method::Generate::Constructor
0.000000,0,0.000000,Method::Generate::Accessor
0.000000,0,0.000000,Moo::sification
0.000000,0,0.000000,Moo::_Utils
0.000000,0,0.000000,Moo::Role
0.000000,0,0.000000,);
0.000170,1,0.000170,}
0.000000,0,0.000000,
0.000000,1,0.000000,our $VERSION = '2.005004';
0.000001,1,0.000001,$VERSION =~ tr/_//d;
0.000000,0,0.000000,
0.000535,1,0.000535,require Moo::sification;
0.000002,1,0.000002,Moo::sification->import;
0.000000,0,0.000000,
0.000000,0,0.000000,our %MAKERS;
0.000000,0,0.000000,
0.000000,0,0.000000,sub import {
0.000013,17,0.000001,my $target = caller;
0.000009,17,0.000001,my $class = shift;
0.000046,17,0.000003,if ($INC{'Role/Tiny.pm'} and Role::Tiny->is_role($target)) {
0.000000,0,0.000000,croak "Cannot import Moo into a role";
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000083,17,0.000005,_set_loaded(caller);
0.000000,0,0.000000,
0.000059,17,0.000003,strict->import;
0.000017,17,0.000001,warnings->import;
0.000000,0,0.000000,
0.000037,17,0.000002,$class->_install_subs($target, @_);
0.000029,17,0.000002,$class->make_class($target);
0.000050,17,0.000003,return;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub make_class {
0.000006,17,0.000000,my ($me, $target) = @_;
0.000000,0,0.000000,
0.000022,17,0.000001,my $makers = $MAKERS{$target} ||= {};
0.000004,17,0.000000,return $target if $makers->{is_class};
0.000000,0,0.000000,
0.000052,17,0.000003,my $stash = _getstash($target);
0.000000,0,0.000000,$makers->{non_methods} = {
0.000000,0,0.000000,map +($_ => \&{"${target}::${_}"}),
0.000498,17,0.000029,grep exists &{"${target}::${_}"},
0.000000,0,0.000000,grep !/::\z/ && !/\A\(/,
0.000000,0,0.000000,keys %$stash
0.000000,0,0.000000,};
0.000000,0,0.000000,
0.000004,17,0.000000,$makers->{is_class} = 1;
0.000000,0,0.000000,{
0.000444,19,0.000023,no strict 'refs';
0.000000,0,0.000000,@{"${target}::ISA"} = do {
0.000430,34,0.000013,require Moo::Object; ('Moo::Object');
0.000186,17,0.000011,} unless @{"${target}::ISA"};
0.000000,0,0.000000,}
0.000006,17,0.000000,if ($INC{'Moo/HandleMoose.pm'} && !$Moo::sification::disabled) {
0.000000,0,0.000000,Moo::HandleMoose::inject_fake_metaclass_for($target);
0.000000,0,0.000000,}
0.000036,17,0.000002,return $target;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub is_class {
0.000006,7,0.000001,my ($me, $class) = @_;
0.000026,7,0.000004,return $MAKERS{$class} && $MAKERS{$class}{is_class};
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _install_subs {
0.000009,17,0.000001,my ($me, $target) = @_;
0.000079,17,0.000005,my %install = $me->_gen_subs($target);
0.000000,0,0.000000,_install_tracked $target => $_ => $install{$_}
0.000249,17,0.000015,for sort keys %install;
0.000042,17,0.000002,return;
0.000000,0,0.000000,}
0.000000,0,0.000000,
0.000000,0,0.000000,sub _gen_subs {
